"gene","p-adj-1-[Unknown]","p-adj-2-[Unknown]","p-adj-2-1","p-adj-3-[Unknown]","p-adj-3-1","p-adj-3-2","p-adj-4-[Unknown]","p-adj-4-1","p-adj-4-2","p-adj-4-3","mean-[Unknown]","mean-1","mean-2","mean-3","mean-4","SEM-[Unknown]","SEM-1","SEM-2","SEM-3","SEM-4","Q1-[Unknown]","Q1-1","Q1-2","Q1-3","Q1-4","Q3-[Unknown]","Q3-1","Q3-2","Q3-3","Q3-4","count-[Unknown]","count-1","count-2","count-3","count-4"
"ZNF671",0.98530419905886,0.999063710769281,0.837246899250322,0.984485890104247,0.999998238762205,0.861071353488806,0.99999999520616,0.965153440097591,0.997268149683264,0.967723866242672,60.6972176470588,68.8326232142857,56.4930605263158,69.4689111111111,60.8973638888889,7.8733089473897,6.70246343484845,13.0433947644524,8.0839376051985,8.56421967733507,33.8428,28.7359,16.2192,42.4178,30.487575,70.4403,92.8075,68.9984,83.663025,72.009225,17,56,38,36,36
"ZNF416",0.917457070578926,0.999992592265806,0.853636850019704,0.557233056067918,0.859406880266936,0.367508967736586,0.999930040586956,0.893704153588599,0.999993530546295,0.424260421052739,98.7864882352941,111.444130357143,99.9833105263158,122.944194444444,100.905486111111,8.5775948880597,7.48577115817715,9.87335663672694,10.6560863206574,6.49764381787511,90.8074,71.209025,55.4255,79.031925,77.474075,106.3352,134.74835,121.29695,161.1623,125.2803,17,56,38,36,36
"ZNF586",0.877342600549451,0.430849325920265,0.794094094269187,0.750114982868936,0.99304861250141,0.971181325753943,0.999999935720796,0.715137949968188,0.19455472797342,0.544587911669418,243.988347058824,216.9735,192.695805263158,207.605030555556,244.684905555556,28.4016919998876,13.2777041276422,15.086045585943,16.6832856884928,18.8861418274882,170.7397,156.171175,131.220875,150.487325,181.060025,300.2096,256.202125,229.225375,242.668975,286.322175,17,56,38,36,36
"ZNF446",0.94771531214435,0.944610499935844,0.999994786137129,0.999941611061084,0.791090078456255,0.80672900810495,0.248674035007166,0.34073717791219,0.467998980614415,0.0560776250457309,171.017111764706,195.105951785714,196.821971052632,166.615808333333,242.146758333333,22.1280849751889,12.6606893225217,13.3246320518631,11.1836361057711,33.9288059230696,126.9469,131.7672,143.0095,116.104575,139.440925,172.2622,231.97465,231.4611,226.987275,235.88785,17,56,38,36,36
"ZNF8",0.999863452062367,0.974790819522147,0.970424237938273,0.999673524284645,0.999995730851457,0.986598602321851,0.999542002690065,0.999985207115703,0.988665906868723,0.999999948799324,243.353817647059,238.3975125,223.326989473684,236.7936,236.208230555556,28.1994388351084,13.1025869840691,24.2167998317042,15.634341570203,18.7827404454702,142.3679,166.826975,137.426725,166.16095,144.031825,371.5178,301.651875,268.948525,297.6872,301.34965,17,56,38,36,36
"ZNF264",0.855044222378983,0.999999321837228,0.715947150139648,0.892908979917527,0.999999197135804,0.806919303650038,0.937957323664637,0.999364472694534,0.886312712651164,0.999810821870095,1069.42897058824,1226.426175,1076.29163421053,1221.18521111111,1198.45603611111,120.763107663926,79.0923750079183,99.3369945270508,88.5557928723226,90.0513935618618,809.5467,780.8911,675.53145,885.6005,758.691975,1388.3589,1479.12005,1400.187175,1364.2374,1577.292825,17,56,38,36,36
"ZNF213",0.757441702339009,0.00836703086044621,0.0190082770250289,0.772853002681967,0.999997214269433,0.0514726868831525,0.319940623593853,0.817348138318398,0.371876678604287,0.887306994138735,593.758558823529,684.6901625,864.427044736842,688.174166666667,748.300852777778,56.1199725766345,32.2394826691066,63.4353680437419,36.6032495919981,41.4287655548239,414.1093,495.253475,613.9598,520.2945,602.654025,755.8753,828.3337,1012.4038,876.5302,891.977925,17,56,38,36,36
"ZNF343",0.922648609305714,0.493228040049476,0.780761740320694,0.821782630373352,0.994327144946575,0.963429198257623,0.967084845335856,0.999770727579681,0.750675881919429,0.984347030732781,275.574688235294,297.973666071429,321.630157894737,306.445947222222,294.233688888889,20.5332238047911,13.7682303382641,17.8684876318163,15.5579710931598,14.3421793383472,204.4493,212.760375,243.648575,241.0799,234.9468,310.5263,359.182575,387.954025,357.557575,332.257325,17,56,38,36,36
"ZNF302",0.902023894738204,0.229723792466219,0.416644970979238,0.602553648771962,0.91892568023342,0.931046160777625,0.679812007867111,0.96272235129378,0.876362328464923,0.999880758222218,491.115258823529,431.586525,343.158236842105,388.198138888889,396.866505555556,99.8004267924867,33.8154574891722,23.3629802843048,45.1689409057768,27.1114470478126,259.05,260.353525,232.8509,237.949175,291.721975,508.1332,531.469,410.9286,463.86025,500.542375,17,56,38,36,36
"ZNF268",0.804906077538873,0.34531085420126,0.794132586342581,0.0312279098065759,0.0740418030698107,0.64369506743989,0.889289122875645,0.999838215402048,0.771167086204499,0.0934846772909503,463.382252941176,400.967664285714,352.719963157895,287.299908333333,408.107927777778,61.1808983328335,27.607323785788,31.9962160550616,24.8012697580922,38.3786102177435,359.5618,274.895475,229.90015,202.323225,310.47125,513.014,534.63105,450.205925,365.526325,474.69825,17,56,38,36,36
"ZNF184",0.116057799145085,0.180757803890858,0.9999620218721,0.0144154241106131,0.714827455724528,0.714923789217191,0.712124513366116,0.637485779190557,0.768305816085877,0.120126994792834,289.1059,222.461066071429,224.841365789474,195.596072222222,251.966386111111,47.2866185345602,10.2294743393794,13.3643661031712,10.4299087002104,18.8804009230724,179.7207,177.0663,177.221675,152.89735,188.13925,284.1294,265.240425,278.817375,228.664525,292.622675,17,56,38,36,36
"ZNF500",0.573792075560143,0.171078057941921,0.779999114900261,0.9873209121818,0.730105188881665,0.194354053788106,0.218239516032929,0.859945807437442,0.999935129200705,0.262090157646994,214.494052941176,247.520801785714,266.924218421053,226.303158333333,264.495675,21.3018957739407,10.5072712194243,12.6662614636107,12.4597516885965,14.4767450309565,177.292,186.938125,214.8283,173.35385,199.365675,243.5589,296.028125,286.311725,260.45685,325.21685,17,56,38,36,36
"ZNF419",0.999994397706489,0.838842355539593,0.544735562905932,0.995929918016804,0.974559327571936,0.921388275623831,0.961961897475487,0.846601029658968,0.991700336765505,0.995670181354086,87.7136588235294,88.6674785714286,72.9308026315789,82.3676083333333,78.0166944444444,12.513362704872,7.62587413780358,8.19877951263084,7.10179621794014,6.09477753709271,57.961,50.21145,44.330925,54.6118,53.853275,124.9476,119.1462,95.7678,109.0801,98.529575,17,56,38,36,36
"ZNF175",0.84356626738489,0.999463411161667,0.834857613198854,0.636388655842475,0.977450012172837,0.578002250630703,0.999980194252389,0.588742074796396,0.994576664670145,0.346718560164744,128.013823529412,155.023853571429,134.158165789474,166.875211111111,125.310419444444,15.887368605125,15.3967521783909,14.581438740454,17.3052445094134,10.4260017792565,71.9947,80.0063,71.28375,122.488525,86.37525,158.7045,212.236075,179.190925,202.7192,172.414025,17,56,38,36,36
"ZNF14",0.99181911425785,0.954349714316139,0.518655449848901,0.74026755934676,0.164250298589912,0.965754830698283,0.999999947094531,0.982229650228427,0.890227309186106,0.5318066078668,164.230011764706,176.763066071429,143.204802631579,127.740952777778,164.886155555556,25.4447193023409,17.2921788037717,13.1299170199571,12.0137319644789,15.9344915035734,96.5627,111.545825,102.942225,77.105625,107.132075,226.8207,198.4879,174.473225,158.459425,215.597575,17,56,38,36,36
"ZNF85",0.654688973382485,0.999832180471453,0.524217916744286,0.99138308368428,0.785013965444031,0.996234221887608,0.946994364236774,0.945976885860291,0.949702286496694,0.996394316637255,41.5491058823529,66.7627964285714,44.7759789473684,50.4442416666667,56.124575,10.6096710932189,12.823290714416,8.17696404387934,8.468863076404,7.85257077019132,12.9235,14.5488,12.944075,15.72435,18.50665,38.3258,76.86895,71.46785,78.227375,80.158475,17,56,38,36,36
"ZKSCAN1",0.539967305850958,0.572948333394271,0.99999951845768,0.866992935220724,0.966135052405667,0.969522831017997,0.997632990296049,0.110378793841211,0.158691262283367,0.487942499237311,2425.90596470588,1751.01025357143,1738.31743421053,1971.78977222222,2576.54359166667,344.150513711086,117.957858490281,176.77412440718,207.628931850284,466.596216680515,1249.8335,1191.144,1008.07565,1218.805775,1330.07885,3265.9086,2118.753725,2190.7106,2444.4528,2405.0168,17,56,38,36,36
"ZNF862",0.989626464692624,0.999651131421845,0.996807580807072,0.769429206985005,0.857177931889843,0.734353416784225,0.82145971770341,0.910813207972698,0.803522718112858,0.999949365838789,349.215964705882,386.823166071429,365.819307894737,447.785238888889,439.531044444444,69.7182855557826,39.4607230903567,41.1849294258396,52.3132226771922,46.1235485308051,162.5243,173.871875,179.580125,228.18085,230.732925,445.3649,514.84455,493.735975,580.1378,556.51995,17,56,38,36,36
"ZNF684",0.915129606421776,0.99999533642953,0.844084450145319,0.804090443236821,0.993310738334009,0.683516288396804,0.999973444077709,0.874275970902451,0.999998869631687,0.722539571742346,63.5854764705882,56.2941089285714,62.9765184210526,53.4933916666667,62.6360305555556,5.75310314865026,3.7261804768712,6.49729815378789,3.87716140870058,5.74548043362811,48.9879,34.3574,34.944675,35.8316,41.4105,74.8902,71.9096,77.673425,68.35265,75.147425,17,56,38,36,36
"ZNF430",0.435097980116246,0.93290141365382,0.782544730422597,0.540913886148546,0.999983902658118,0.876720137183234,0.597267352056819,0.99955142145127,0.917734544985125,0.999968303775143,143.439364705882,186.061969642857,164.312057894737,184.291880555556,181.977422222222,18.0850053423815,14.8529770719453,13.0191535929036,14.0956830627266,12.5346230967694,92.8962,112.342025,114.269975,125.838275,122.659125,162.344,226.9937,188.3594,229.576475,234.13755,17,56,38,36,36
"ZFP30",0.997284310164053,0.914827520977117,0.947326837979397,0.668065350761305,0.157497985418856,0.0497985192731457,0.991889073789905,0.999772343641627,0.986977814986995,0.17546195393017,121.154617647059,130.797121428571,146.947126315789,80.1584472222222,134.761936111111,27.985540718364,14.1782110994821,19.2557859019543,11.3573611525039,18.1360421720651,35.4441,50.31645,49.97835,22.967175,60.22345,167.2065,167.566275,208.7298,120.969175,204.2728,17,56,38,36,36
"ZNF549",0.748181029043628,0.997279840109538,0.793702641499221,0.868085408357092,0.999419542269038,0.927787593806049,0.961676260416417,0.969432837391252,0.992578470623923,0.995993018637088,100.097847058824,135.385326785714,110.415147368421,130.288416666667,121.079944444444,22.8331998370135,15.9150472382908,14.08485845807,20.3634984369717,14.5159797183122,27.5696,51.98215,45.986875,52.930075,47.551125,172.6185,190.263025,159.56445,163.2105,188.437475,17,56,38,36,36
"ZNF211",0.99736298417924,0.58588309575757,0.101598254541909,0.990176761384498,0.999538049721329,0.112136079906202,0.998887842496432,0.931235811750601,0.562298590158066,0.890715470811377,209.049976470588,219.521703571429,160.305244736842,224.708055555556,200.123472222222,26.9127860710507,16.1190287859891,15.1680988556975,21.0493342522632,18.5243969039689,121.0526,119.9324,98.259375,161.98135,121.842425,279.1367,293.037625,198.869175,240.775225,245.245925,17,56,38,36,36
"ZNF205",0.999988921423595,0.847676826119323,0.691080005731242,0.99999850631623,0.999999494159891,0.745092369605001,0.928890532364792,0.854909884691324,0.999037012214412,0.880233456046098,254.641170588235,256.775698214286,282.026107894737,256.015011111111,276.513491666667,21.0672620528043,12.4162939076594,13.1995049322134,13.5578746015544,18.8204751906101,218.2669,192.174925,224.44945,195.649475,192.17365,299.8846,301.72015,345.81675,332.161175,362.7073,17,56,38,36,36
"ZNF45",0.619354529205193,0.999873155519229,0.467856871823393,0.784588412653981,0.998961564987935,0.721685201439449,0.999999767354437,0.333578848765521,0.999340240912846,0.587176960229195,207.873035294118,253.129105357143,213.060107894737,246.671175,206.793336111111,17.2387675533804,17.074593989593,12.7847943899782,28.2317541990255,11.4212554876661,166.7295,163.96305,159.730525,186.088775,152.364025,259.3101,294.931725,256.927625,256.919525,270.10055,17,56,38,36,36
"ZNF133",0.568952416188013,0.83000713495989,0.986909726558785,0.990408081313749,0.694649501772284,0.948238481602584,0.894333633138112,0.959245027503926,0.999787999778521,0.981606416617276,289.566252941176,350.8094625,335.115642105263,309.805558333333,329.081125,26.0852697822761,25.820222739188,18.8023572076574,15.8830622188121,26.0824688432231,186.7644,222.857175,253.30895,240.52715,244.158275,359.1093,427.55925,387.40315,372.364725,364.22525,17,56,38,36,36
"ZNF436",0.0465319841168613,0.0255032141562777,0.987677735535738,0.883834781243337,0.142613779498102,0.0782273957224188,0.162911932926177,0.987863009572265,0.896002277773457,0.463035184038341,484.451676470588,798.469932142857,840.928473684211,596.301241666667,755.487513888889,80.2107612357633,62.9507460313369,73.9523206191563,55.6427042806019,56.4197046653144,282.1577,416.1292,535.875975,367.676125,478.574675,563.4427,1128.824725,992.80375,696.15865,976.067075,17,56,38,36,36
"ZNF484",0.845702768656179,0.544820338131655,0.936440710556426,0.993561981441531,0.945036762036975,0.635001662940301,0.695650870178216,0.990795808745531,0.998600766155604,0.810015961634472,146.370682352941,168.609923214286,181.493257894737,156.05205,176.327225,12.3899784199423,10.3986092085829,15.544075169583,11.5011365391174,13.2577048779379,109.3117,122.304825,120.803825,110.589275,114.36505,179.4549,203.234275,232.0565,174.584425,215.463525,17,56,38,36,36
"ZNF780B",0.977064773289414,0.206176042088633,0.182486749398355,0.823798452660168,0.954232444701765,0.66556759342583,0.774429089849283,0.918461402958911,0.737820202274269,0.999957645157422,420.104752941176,386.911228571429,292.041778947368,355.911077777778,350.276547222222,51.6654580540364,33.8663675585326,25.2090734735496,34.347017340923,25.4860737866835,328.9325,200.316025,174.7801,220.358125,235.8528,490.7049,476.44935,358.8006,415.279475,417.160975,17,56,38,36,36
"ZNF557",0.989438692995956,0.999991918851125,0.985255731391449,0.996032267324556,0.99996774773328,0.995988346007589,0.911419586351471,0.979760965921354,0.85961151665962,0.973051262787759,183.708694117647,193.221158928571,185.332876315789,191.539266666667,201.950458333333,15.9098630574034,8.88672353420473,11.7223836476167,9.9765390951249,15.3428602997214,139.8393,156.42485,143.004,160.123925,143.14825,253.5881,218.82045,234.99865,210.822275,253.4341,17,56,38,36,36
"ZNF337",0.999498135034828,0.991462658922976,0.997164033268317,0.984835424747638,0.853379308701308,0.735372615498474,0.975830220482729,0.983446731706263,0.999723963760011,0.631152744554007,419.838594117647,432.058694642857,446.472747368421,388.565577777778,455.298722222222,56.1903956227321,35.9287761884394,25.8563250733681,19.9251298796114,28.8469673638391,234.0139,267.72865,358.34405,302.664425,373.4253,532.2906,496.2272,546.7024,427.808125,521.26735,17,56,38,36,36
"ZNF317",0.991540296310292,0.981127639056229,0.652218001298727,0.980276062156906,0.99969056485937,0.62310491283632,0.997685315198584,0.999913247593651,0.804745531028858,0.998193024732357,917.301317647059,947.021557142857,878.546384210526,956.855402777778,939.880780555556,50.1312617738828,36.1624207761985,33.9080754472499,29.8673952163752,46.4751658186594,719.9161,738.1849,730.9878,834.5473,721.38255,1055.4449,1049.232175,990.422675,1084.9664,1110.35225,17,56,38,36,36
"ZNF426",0.892592162549963,0.973851966502593,0.996499140985789,0.335669346313821,0.628415755872836,0.493921298626742,0.884356755577409,0.99997444312621,0.993616190441668,0.765261275596546,164.084305882353,215.545608928571,200.232847368421,276.59485,220.032433333333,35.5393946478468,25.2503798420907,20.8341068059759,53.17868715977,27.2431286679639,100.6289,103.381425,120.64675,124.15655,108.9584,163.0636,245.806325,268.79315,298.112575,266.6138,17,56,38,36,36
"ZNF331",0.990476419246908,0.97939440481165,0.628471579029479,0.985464240628657,0.682910923356388,0.999997363662791,0.995464320668466,0.792570047420769,0.999365794073228,0.999810011686002,289.642052941176,325.479621428571,243.25585,247.042705555556,258.258388888889,85.6605480808913,42.9486959226404,35.0702748210955,50.6719970272284,31.5947145819777,38.4392,76.700375,72.730175,54.599525,79.475325,379.992,453.111275,320.855725,282.68775,357.2665,17,56,38,36,36
"ZNF227",0.781026417819886,0.999749964124758,0.397303135986272,0.964802573656262,0.977892869689444,0.825463596606674,0.999837265851397,0.428683140645986,0.999999949126081,0.842642342220862,243.770564705882,281.7550875,237.404873684211,266.946280555556,238.008513888889,23.7773222725194,18.2671437380836,13.2912298971925,26.2085425813928,14.0524593763552,183.2491,187.102625,179.15985,185.9403,183.586375,295.605,306.515325,274.40995,300.0681,299.9804,17,56,38,36,36
"ZNF141",0.964557795171741,0.995516918480902,0.9970573718375,0.931217686106967,0.293346749143669,0.573123856351813,0.990587606315083,0.999480237064532,0.999970306531766,0.517671805681777,68.1928588235294,78.8725553571429,74.6804184210526,54.4885277777778,76.1325138888889,18.7490738405125,8.95719277374912,9.2678391132654,7.66276223567183,7.47144781227242,12.3726,44.996875,41.02225,19.37845,38.46745,80.3453,113.8268,92.63835,74.97835,103.1944,17,56,38,36,36
"ZNF304",0.860377762659777,0.980837240841145,0.984445159459254,0.967724944375155,0.994818684413361,0.999961770638057,0.984737330054586,0.980823297300106,0.999999622894077,0.999892174026006,276.665470588235,315.982869642857,300.053660526316,303.857658333333,298.8565,28.5770223296244,19.2037509267444,30.1497676227432,20.7803501118054,19.8136528719539,168.8639,221.676,160.769875,230.13065,221.79415,357.0397,379.691425,331.771425,352.3628,386.541425,17,56,38,36,36
"ZNF132",0.989896306130494,0.999952723014976,0.934269860699957,0.999077404305686,0.998984992995073,0.989781097950785,0.632338639850484,0.685045601169415,0.313488713548323,0.613376053105774,49.4510823529412,54.8234946428571,48.0062447368421,52.5320694444444,66.36995,13.4804419124911,3.69052583578812,5.22836489854823,5.99284524577621,10.0679207101302,23.4962,31.585425,27.618375,30.94515,34.8844,61.6352,73.439825,60.48185,63.0739,66.486475,17,56,38,36,36
"ZNF20",0.965431651834403,0.861457188798367,0.986794964656965,0.97872557607591,0.47389333233891,0.288609596426562,0.977977125706246,0.999998367532348,0.986910394737678,0.602944395695568,102.871894117647,95.85015,91.7443421052632,109.405025,96.2772805555555,13.6378277837501,4.40394437711772,5.43407233650801,5.38835645946369,7.86754154222878,68.0024,72.37925,71.30745,86.5579,62.025375,116.2019,112.626125,115.390575,123.68955,125.077775,17,56,38,36,36
"ZNF670",0.999998307895327,0.979621150914267,0.912333429133913,0.988796375917588,0.948400370669239,0.999977267125195,0.999999970751699,0.999999317232509,0.94791378590743,0.970532552177586,93.9997,94.6876660714286,86.1149736842105,87.2221833333333,94.2647222222222,8.32609600614414,7.26701817611119,6.77396277725065,7.28139713801548,8.50676318575366,70.639,61.054375,57.60415,56.738775,61.435325,120.5401,119.77115,109.106675,111.836,114.57165,17,56,38,36,36
"ZFP37",0.999342695427184,0.99817393054976,0.999963604922196,0.829031018963939,0.778668968792198,0.874201340163819,0.983639498229045,0.837140826146033,0.828904513156509,0.277572320498748,64.5233764705882,61.2780571428571,60.0891131578947,48.9002722222222,72.4395944444444,18.5288903356661,6.4025093474421,5.01008470229073,5.84676325504814,11.0043217158857,16.697,23.945625,37.040225,23.24055,32.5686,58.113,92.64635,75.519375,67.1483,88.64535,17,56,38,36,36
"ZNF189",0.940847069587588,0.448054158920197,0.673351724514593,0.999999564202108,0.836415479779061,0.201305792764791,0.990542564198059,0.483040708080784,0.0587595531907612,0.984076304846436,519.664458823529,472.467592857143,410.045121052632,522.106719444444,550.060588888889,46.8039017254132,28.5525294234267,28.5783555568334,44.4033481249792,41.2765611346424,423.4818,299.25025,306.36615,310.913625,372.81825,666.2474,631.556725,474.434475,731.210475,678.9121,17,56,38,36,36
"ZNF434",0.988250705092875,0.935470819319663,0.992094894613368,0.970992901150361,0.999420206152735,0.99969861466196,0.844381922037578,0.937518737328864,0.99789390730903,0.987478848922159,333.603617647059,346.16685,354.757236842105,350.634302777778,361.509769444444,19.2177710346903,12.6392767639621,13.4806158951794,16.1723526740494,16.6972847623897,299.4905,282.18485,290.271,287.43005,298.1316,377.6143,412.632775,415.69805,439.107125,435.438,17,56,38,36,36
"ZNF287",0.0678285412468933,0.102793308272237,0.999998528438431,0.563169986601781,0.658985763664383,0.753463476934291,0.297574402689122,0.94667532819985,0.969243745563179,0.981279721712717,31.8767588235294,66.6127053571429,66.1094815789474,52.879325,59.0919055555556,11.003030673791,7.35780908569539,7.89932283437759,7.7948103195839,5.52285119563636,6.0247,23.302425,32.549325,16.111875,29.140175,21.6463,89.903825,86.728675,87.03835,82.684575,17,56,38,36,36
"ZIM3",0.999997154547485,0.802117279507364,0.488765561944801,0.999982510547467,0.999998337957973,0.558291723061896,0.943770616133142,0.799732860735698,0.992235995730976,0.828898748652041,0.172676470588235,0.11315,1.34298157894737,0.0730083333333333,0.973455555555556,0.096393035631933,0.047259621366324,1.05127407364641,0.0730083333333333,0.77767348356415,0,0,0,0,0,0,0,0.21375,0,0,17,56,38,36,36
"ZFP14",0.932607185536645,0.999808674860477,0.928221717653758,0.980010869528838,0.374393234901225,0.885747656697372,0.995496856656223,0.987068685240515,0.998858238270667,0.762774480101411,145.516135294118,168.064780357143,150.632331578947,128.448402777778,157.038663888889,30.5977497458386,17.2838532904446,15.0122470933144,11.8183351336814,13.003027542444,74.6344,74.042325,82.464425,81.149275,96.96575,144.3502,205.63495,199.942025,151.1511,206.274025,17,56,38,36,36
"ZNF473",0.775265550561418,0.485337336632107,0.950134432501847,0.962742043544736,0.97802486301209,0.758179261055824,0.656722348214672,0.996111632147034,0.997722859865315,0.912024878541096,383.398588235294,335.454980357143,312.623642105263,353.947830555556,323.739325,34.7600821759196,19.4473439377877,28.1770314806614,26.3090333237274,19.8910300409065,305.036,228.822425,209.215075,239.009725,240.105075,457.8483,407.43285,360.1546,423.0055,399.390175,17,56,38,36,36
"ZNF614",0.990355539617071,0.37957341785813,0.33182612873012,0.997772789394955,0.99983413511613,0.348324712288229,0.907015698388604,0.975219448461316,0.779771210134184,0.95817526983607,297.884641176471,270.861933928571,187.876102631579,278.244658333333,244.0289,56.2297156322799,32.1091149580462,24.8447089508476,43.3130841402754,21.5164968058874,152.413,93.608725,85.091225,110.23185,153.894375,407.8694,340.773375,252.934875,334.943775,299.477625,17,56,38,36,36
"POGK",0.996384279475205,0.99643283951837,0.999999927341476,0.347650654599507,0.231658076105537,0.325129513915328,0.999999976323743,0.992037560819323,0.992995338426032,0.153242524046606,2113.60671764706,2044.44896071429,2040.98795789474,1735.5684,2109.94546111111,165.586137031437,104.773529643535,84.1882438211235,94.3390332117805,135.848771233273,1570.5835,1569.410025,1659.927875,1389.721925,1631.73325,2405.8869,2347.57305,2443.165975,2093.27355,2301.865975,17,56,38,36,36
"ZNF514",0.999051079236387,0.872235752223355,0.85639799352744,0.99232015935853,0.883170935660982,0.400737689828724,0.893640120590308,0.510966545571108,0.133095748922039,0.976891475483929,266.287217647059,256.6316375,228.051239473684,283.854275,302.719016666667,31.6680747465237,14.5620153315163,19.6159245875224,27.4113041869632,26.6846249904553,184.1366,178.872425,127.711175,174.42235,196.697475,336.9748,301.288075,302.24965,382.981225,367.522975,17,56,38,36,36
