"gene","p-adj-LIVING-DECEASED","mean-DECEASED","mean-LIVING","SEM-DECEASED","SEM-LIVING","Q1-DECEASED","Q1-LIVING","Q3-DECEASED","Q3-LIVING","count-DECEASED","count-LIVING"
"ZNF195",0.00249941102431317,528.618046753247,405.943174766355,36.1068096250135,21.8534652384003,293.631,242.86685,640.4382,477.4255,77,107
"ZNF263",0.849726049083596,559.421745454545,563.881127102804,17.1775580679934,15.6414816312915,473.3373,448.94305,643.7833,649.9572,77,107
"ZNF200",0.885596521844731,237.584019480519,235.752748598131,8.65059891834825,8.80132419762707,181.9066,172.09945,273.9032,268.45775,77,107
"ZNF582",0.839890519145066,10.5679844155844,11.0101093457944,1.55208946458973,1.47926172276376,2.9107,3.1584,12.6304,12.7127,77,107
"ZNF285",0.952572744818,14.3534428571429,14.5369672897196,2.50279665608501,1.89486194137267,2.7583,2.93045,16.1585,19.35995,77,107
"ZNF275",0.432934409906173,810.906416883117,766.569895327103,44.7198122262844,35.4233391891712,533.8386,493.1636,1010.9278,985.5715,77,107
"ZNF37A",0.66450951879761,538.203084415584,523.55583271028,26.7474976011715,21.160266692805,368.3213,350.91045,683.6391,691.4094,77,107
"ZNF510",0.572897035081322,323.966345454545,336.650508411215,14.1094025023898,16.113873505461,232.2923,237.73325,397.0402,404.7917,77,107
"ZNF506",0.2507513663098,454.426080519481,397.469680373832,41.5636341571419,29.4014187255483,245.1743,218.69545,545.3933,511.0464,77,107
"ZNF324",0.277714761408607,232.024590909091,208.413906542056,21.631927649598,9.82275186139075,154.5645,159.2417,240.473,247.5114,77,107
"ZNF671",0.392518211401826,67.9967428571429,60.8016242990654,7.47310064642613,4.67124358163672,32.9202,23.6996,76.4311,81.6792,77,107
"ZNF416",0.572350983320005,110.488105194805,105.875930841122,6.55116227745869,5.06278063941561,69.3511,71.19925,131.7525,133.87615,77,107
"ZNF586",0.0023636514137414,244.649698701299,198.081657009346,11.5415203612196,9.75395726118567,176.4274,134.3308,298.0107,243.83235,77,107
"ZNF446",0.665033656277055,192.380461038961,200.127010280374,13.9184558800858,11.3709832635316,127.8785,133.93865,223.056,235.6443,77,107
"ZNF8",0.272134377535519,245.19164025974,226.580743925234,14.7583602013013,9.63006853544783,152.4092,155.37765,303.2835,296.0653,77,107
"ZNF264",0.141783873971153,1241.80472207792,1117.23229626168,72.1417712758323,49.3531393081363,809.5467,728.111,1573.9661,1353.85775,77,107
"ZNF213",0.130412391393224,688.665932467532,752.950089719626,36.1787779218626,24.7172782042459,504.3577,533.9391,806.7717,905.06225,77,107
"ZNF343",0.883043274771508,301.226716883117,303.39206728972,9.82038671165519,10.269930303724,228.7807,222.4072,359.7144,359.55565,77,107
"ZNF302",0.347624490419725,422.227662337662,387.937770093458,31.7209677486464,20.8237326257636,277.6001,243.6899,496.2387,466.9659,77,107
"ZNF268",0.262742195430191,354.465006493507,389.481997196262,23.9241600966079,20.0694711779044,223.1214,278.38335,468.854,483.70145,77,107
"ZNF184",0.312231545906673,238.052209090909,222.60931588785,12.8909497042561,9.00691856897678,174.9871,164.0205,256.1511,265.51515,77,107
"ZNF500",0.0127346157999034,230.129574025974,260.244372897196,9.5660793858949,7.46481353507233,166.0835,211.0073,287.9274,301.86235,77,107
"ZNF419",0.291046919093432,86.3078012987013,78.6034635514019,5.68407840429209,4.62235159138878,52.5692,45.916,108.5187,104.1328,77,107
"ZNF175",0.413549244440768,151.253679220779,139.580012149533,11.1663596189254,9.02500330465448,88.3134,83.56505,198.1293,184.07735,77,107
"ZNF14",0.33353711188142,164.557032467532,149.70416635514,13.3510669912218,8.75438658719452,101.5483,93.761,201.0409,190.1327,77,107
"ZNF85",0.641597769327522,57.0385753246753,52.3746859813084,9.13372469270971,5.37145595221903,12.9665,14.1583,75.7932,76.01865,77,107
"ZKSCAN1",0.918559163697116,1997.58414415584,2022.16209158878,233.929073833191,114.743048276819,1030.9654,1300.0083,2148.1092,2348.546,77,107
"ZNF862",0.545102808030402,386.269192207792,412.137871028037,31.9484209450112,27.9567450024657,185.1316,204.36355,510.1202,513.5497,77,107
"ZNF684",0.886376790538576,59.2437766233766,58.5789981308411,3.23940369008832,3.17712825964999,37.6436,34.56465,74.7902,73.8028,77,107
"ZNF430",0.528901813677189,170.747385714286,179.310252336449,9.57003929691175,9.22540800642442,116.9231,114.13055,195.7799,227.0678,77,107
"ZFP30",0.57579497642406,128.909358441558,120.0707,12.7861783409804,9.71033101937529,35.4441,36.67145,159.8573,166.63035,77,107
"ZNF549",0.240790844774157,133.351223376623,114.880891588785,12.8840230803642,9.55717522116305,49.3684,45.3773,194.7698,162.45475,77,107
"ZNF211",0.18263877093737,216.085348051948,193.085473831776,13.750992805323,10.7155021842342,119.8402,109.53735,276.5914,243.26425,77,107
"ZNF205",0.0624736335234914,250.480992207792,276.037487850467,10.0941223326564,8.99980782863152,189.2177,209.28035,299.8846,338.1138,77,107
"ZNF45",0.833130064987446,231.914005194805,228.247,13.6592849449645,10.9895716606128,157.8116,164.39275,268.9128,264.4714,77,107
"ZNF133",0.522672660491885,321.449306493506,335.585544859813,14.8331605853924,15.3788872725969,238.3321,228.36765,380.6111,391.90025,77,107
