"gene","p-adj-G2-G1","p-adj-G3-G1","p-adj-G3-G2","p-adj-GX-G1","p-adj-GX-G2","p-adj-GX-G3","mean-G1","mean-G2","mean-G3","mean-GX","SEM-G1","SEM-G2","SEM-G3","SEM-GX","Q1-G1","Q1-G2","Q1-G3","Q1-GX","Q3-G1","Q3-G2","Q3-G3","Q3-GX","count-G1","count-G2","count-G3","count-GX"
"ZNF195",0.443089332521838,0.00152979972036493,0.00510966435371651,0.0255284902849529,0.158396154902808,0.695836953509458,306.38335,411.121254166667,585.151338095238,521.0804475,34.5725714491968,32.8127764267277,44.2288214292867,41.1660113439627,184.098475,246.187825,409.020825,295.4562,404.537,487.35485,671.2933,755.34225,18,72,42,40
"ZNF263",0.920631258899367,0.761986900526491,0.94430182466989,0.784631901518744,0.958701970495197,0.9999715009074,531.945233333333,558.877220833333,576.312211904762,574.785875,37.0707936208238,19.1914088035672,21.5986394263809,28.2714384117526,432.986575,453.581975,469.99025,441.5983,634.691175,633.18195,659.279125,727.06215,18,72,42,40
"ZNF200",0.967733416343611,0.950817777843584,0.998777979681467,0.995743600966662,0.991996701549979,0.980427851659376,248.208155555556,237.772772222222,235.251238095238,242.5996275,26.445848649523,9.8281987422705,12.6844639360113,13.0138227183332,185.375525,174.944825,181.21795,187.02555,259.009,278.755,272.988475,274.406175,18,72,42,40
"ZNF582",0.900814518458534,0.967639566995296,0.379434285252538,0.999213197300987,0.684470333710034,0.975124398353015,11.473,8.7689625,13.399080952381,12.021555,4.69395087924846,1.17015477145738,2.14969840167855,3.14775786842071,1.763975,3.17045,4.22405,2.2296,9.267075,10.9825,15.35095,14.025875,18,72,42,40
"ZNF285",0.998616301613807,0.950205740252727,0.755053102817529,0.919913148962069,0.894229514730661,0.438874678645257,14.7656333333333,13.9095722222222,17.8882238095238,11.0253575,5.14590453196438,2.28895021263894,4.04798917683031,2.37524386721223,2.8998,2.9361,3.228425,2.30075,20.97025,18.65065,21.16705,13.4077,18,72,42,40
"ZNF275",0.0434789644980165,0.19649127638558,0.89303174770622,0.0132619977226144,0.816799013826961,0.496915993354241,554.071083333333,802.258658333333,753.242761904762,863.7496675,53.6822889234388,43.1158096420155,52.657117289588,62.4336497895476,396.53625,536.471675,501.53725,600.9628,665.452975,1008.36065,895.9634,1114.901675,18,72,42,40
"ZNF37A",0.0264763811485241,0.00086680641970649,0.285691115201085,0.000280588131517656,0.12189423488696,0.9756640883,353.880094444444,513.058830555556,586.8637,606.4737375,31.5930516558217,21.9674120803949,39.3574396658616,37.6070995852283,284.19555,382.982725,389.42965,387.687325,414.925175,599.5841,757.01485,749.35345,18,72,42,40
"ZNF510",0.681045826659857,0.354223154386431,0.815396975697648,0.537560939841263,0.971060377408892,0.981467504180118,286.433233333333,331.204090277778,357.237661904762,344.4908425,26.912297938795,14.4851124403527,36.2354330972446,14.9328589028434,233.610425,238.112325,227.432725,269.006925,374.4143,404.6609,424.051375,417.77685,18,72,42,40
"ZNF506",0.185279407916616,0.220829251632461,0.99993702501524,0.163796506345018,0.99089472352651,0.996446529831845,270.017816666667,447.489540277778,451.111333333333,467.005355,54.4429672135208,34.8278167282424,55.7759341331551,63.2267668985999,98.98325,275.19845,275.412775,206.35395,325.8981,555.1205,544.95335,638.0089,18,72,42,40
"ZNF324",0.828122907377473,0.800055389963442,0.998559519774896,0.986815212227678,0.366588969496303,0.386147099703402,237.527783333333,204.006334722222,199.406345238095,251.7510125,45.7791771489233,9.21515456268165,15.5796292641752,37.8027331127375,155.209425,158.84165,145.6823,162.52595,231.368525,249.45755,215.955675,252.214325,18,72,42,40
"ZNF671",0.272803571337832,0.0846325564606109,0.749515082121737,0.327701908658095,0.999992546280037,0.828161094686377,38.0618833333333,64.5268930555556,75.308469047619,64.82736,8.48816296495444,7.86021962949546,8.87453076100475,5.33411320075288,14.558775,26.587475,33.74105,43.925925,47.70475,77.590025,102.2966,78.8524,18,72,42,40
"ZNF416",0.409902491182134,0.697763017670412,0.952527331429217,0.0364912813056846,0.260572104579496,0.15701788188407,87.2411,108.457788888889,103.147621428571,127.2503475,8.86081533861119,5.86449799154762,6.51390142062627,10.7450418079278,49.302025,71.6945,79.264625,76.29145,111.22555,138.5912,120.4175,173.1906,18,72,42,40
"ZNF586",0.717227199627807,0.118028082381714,0.271706556355174,0.118432826014383,0.274684353389464,0.999997408384909,177.152394444444,205.421476388889,241.175428571429,241.60887,27.4977407760687,9.67669463225605,18.0203899362918,17.3111387865422,105.625,148.516125,171.1748,171.999025,209.139925,257.397325,313.198625,271.147125,18,72,42,40
"ZNF446",0.872753843470147,0.995830066713712,0.897058604670191,0.876570199461159,0.99989954236022,0.907073248587744,212.969538888889,188.828583333333,205.229471428571,187.2731875,48.9979023690218,9.86700295439573,22.9314520667338,14.1066866617601,120.004925,133.480175,128.817075,130.213075,222.404875,231.50495,224.910675,225.717525,18,72,42,40
"ZNF8",0.755424073635609,0.178782716836489,0.374892860596808,0.02833452170437,0.0362198386814943,0.744228987955119,188.656377777778,217.306044444444,251.673173809524,276.1634225,29.9095088967102,10.9167197085471,15.2910223715376,21.7952627173707,121.9311,150.165775,172.7255,181.442325,196.27565,264.8246,319.788075,332.690225,18,72,42,40
"ZNF264",0.529004010579576,0.60708102238753,0.999950868514826,0.0933878017746171,0.407252271938013,0.480475664694045,970.406811111111,1153.81160694444,1148.68121428571,1311.2492725,127.236334336783,56.1193403774358,79.5064529405232,88.9581960724978,641.3332,742.733225,758.494775,1033.8689,1380.4335,1482.8477,1466.34275,1351.720575,18,72,42,40
"ZNF213",0.0904942740542035,0.00196623706917909,0.156265183019012,0.00128205377135604,0.106379562080321,0.997620095236264,931.010766666667,761.707686111111,650.188657142857,638.822575,121.408191655661,28.71906988955,34.642355492089,33.3501706421798,662.936325,574.68825,494.519725,473.587225,900.323575,957.948625,790.049875,791.992375,18,72,42,40
"ZNF343",0.950455204117529,0.770848871749995,0.907979410773341,0.800774791498492,0.934473481925008,0.999916785666092,283.665094444444,297.493833333333,310.273628571429,308.94353,27.482102024641,11.3383193313065,14.0296206544642,15.8169992149189,216.3599,220.597875,240.107875,222.056025,296.092125,351.939925,359.28085,386.911475,18,72,42,40
"ZNF302",0.127975027773242,0.0227104803223263,0.625371507212809,0.121114803890236,0.993624523176733,0.843376427254153,265.10675,404.540147222222,460.798635714286,417.0137,30.324332215926,28.2937249077292,41.8686468355142,38.7523125108653,177.333475,274.4137,307.074875,274.250175,313.565175,481.38805,550.465775,479.3732,18,72,42,40
"ZNF268",0.66781540954395,0.346110967602945,0.819148109455328,0.985106613477659,0.183547730035143,0.05293463886131,336.574027777778,397.415590277778,431.838669047619,316.32493,70.1791115638727,19.0071548194281,37.5900415793647,27.1755457948639,207.946075,309.978975,234.8088,195.5892,370.4768,485.158,578.9176,417.703325,18,72,42,40
"ZNF184",0.375113742329547,0.0393011583621979,0.320752839092948,0.670789521180013,0.952968982847557,0.202366715811372,188.380005555556,231.628241666667,265.483985714286,221.0840675,10.222860674688,11.1267130086929,22.5421747072043,11.4134386045334,166.44555,170.03595,180.140225,177.7204,219.98665,279.924475,291.1096,256.02475,18,72,42,40
"ZNF500",0.884504785088523,0.999984138343784,0.782795874236852,0.981538052713962,0.972746434396765,0.971320865426931,236.407188888889,252.320975,237.228652380952,245.2700925,14.7985243262904,9.97979508777931,12.5388815486373,13.8546517606045,201.907,192.13575,182.16075,179.712325,265.2642,317.345025,269.74005,287.542275,18,72,42,40
"ZNF419",0.53373403387447,0.50671379826147,0.997610256392113,0.165893977409421,0.638115494207746,0.809754515064664,64.6737444444444,81.4234513888889,83.1504880952381,92.4273325,7.5690219597172,5.74129192546824,7.45289554015516,7.67040163095427,38.517675,52.46915,44.887775,63.8834,93.659475,97.683925,117.321275,110.385225,18,72,42,40
"ZNF175",0.63853234858284,0.176209556937296,0.526064328354877,0.381778883241402,0.88851957645028,0.945994603043192,110.537183333333,139.507706944444,164.054516666667,152.7271175,14.807480142807,10.6222731821148,14.5152458891311,16.8811842576481,52.421925,71.20025,108.96445,89.160075,143.8315,186.290075,210.3497,185.561475,18,72,42,40
"ZNF14",0.00586654743193959,0.0235547099086543,0.985384104620862,0.114646804004505,0.620401875232978,0.86570947708066,86.8964944444444,175.667497222222,168.813276190476,151.4852125,12.5961866610221,14.5608716719348,13.7927315997516,12.9374392290183,52.214075,116.00995,102.96045,96.20045,130.258575,201.21875,203.4089,191.11275,18,72,42,40
"ZNF85",0.51235123853955,0.645342504507782,0.998080234731226,0.797533197860393,0.951256308858605,0.98857148747386,35.6082388888889,60.5306805555556,58.2019928571429,53.355735,9.56949470829918,9.62885234919126,8.56325889429038,10.0782013860186,9.093,13.572775,17.5434,13.48325,42.395225,82.42425,105.979375,65.548,18,72,42,40
"ZKSCAN1",0.626543279934584,0.452797999575441,0.955664299680166,0.0242429453928189,0.0613505260709868,0.280584769289332,1361.88857777778,1872.30155694444,2033.1276547619,2671.3191425,169.429492102392,134.494116840673,185.744699690984,420.379721858035,769.3447,1179.9513,1144.8293,1498.4827,2063.16345,2128.7211,2367.36065,2572.1138,18,72,42,40
"ZNF862",0.997146346852156,0.978207783152025,0.829010143674777,0.999987135341748,0.996216743008029,0.945666293771623,401.4168,416.961169444444,368.192695238095,404.1688025,88.0662772407979,40.3763831601033,34.7155476704648,33.9012469768125,137.0522,178.680125,191.34705,319.2011,538.302825,502.457575,529.887375,502.328,18,72,42,40
"ZNF684",0.68916083806349,0.0579123994171575,0.13121676210057,0.589512128044261,0.986203901853276,0.372244213632937,48.4611944444444,57.4293847222222,70.5462166666667,59.512835,7.36564751191431,3.03080564154772,6.05763053815161,4.64400330210431,32.759175,36.845025,44.830475,34.907675,52.7044,71.2567,80.007025,79.813075,18,72,42,40
"ZNF430",0.545353133830906,0.856393979598352,0.915257227432912,0.382614506741178,0.95349451632367,0.727182155955527,149.960577777778,181.692369444444,170.255278571429,191.028655,21.0424328021278,10.305001093449,15.2309071684905,13.8636430620304,83.9194,116.246625,117.4494,127.7995,201.54085,226.8698,193.063275,231.5393,18,72,42,40
"ZFP30",0.280298210133757,0.784903028722422,0.705979085925126,0.999644536120925,0.113565358343591,0.710049996326882,96.3426944444444,143.8647,122.896178571429,99.1867775,16.5709848326057,13.3816597533401,15.6293114400247,13.3812801515135,35.421,59.691175,37.554,22.107,140.135025,204.2728,164.22205,136.766175,18,72,42,40
"ZNF549",0.792063284886994,0.276576871309203,0.526939050311368,0.206635035340805,0.387581683277785,0.996008318991595,88.3670333333333,112.555670833333,138.765726190476,143.6876325,14.7991403085966,10.4773856410401,15.807130639695,19.6037867628077,50.145625,35.282275,52.13325,60.203925,136.271175,181.79475,189.242075,200.8955,18,72,42,40
"ZNF211",0.104439582955065,0.115955913987141,0.998872164211879,0.0794701936528219,0.977432702887898,0.995535226610196,142.877977777778,210.656526388889,213.853795238095,219.632865,17.9262528765994,14.7754160453027,18.0389650039859,14.8598077590533,81.648725,111.18395,133.78145,150.511525,198.6014,267.59975,277.6549,293.35135,18,72,42,40
"ZNF205",0.263469866975122,0.339170641231203,0.999957035023866,0.0228102074707162,0.323231685409022,0.400291631607288,309.859061111111,266.386977777778,267.248907142857,236.0216225,27.5841919347894,10.7883646180295,13.320907094917,12.2355573049598,232.735375,209.6416,208.569975,187.4258,370.058275,329.020825,323.992675,274.2651,18,72,42,40
"ZNF45",0.999721946657479,0.683860185715868,0.448182912634074,0.267112541006052,0.0638257787543879,0.792113520267377,206.768233333333,209.4837125,241.877511904762,264.79311,20.6784163484759,8.80596947303338,18.8124651997783,25.075431748903,154.5912,155.258325,161.261975,190.1635,240.5512,257.1057,290.21995,291.96035,18,72,42,40
