"gene","p-adj-M0-[Unknown]","p-adj-M1-[Unknown]","p-adj-M1-M0","p-adj-MX-[Unknown]","p-adj-MX-M0","p-adj-MX-M1","mean-[Unknown]","mean-M0","mean-M1","mean-MX","SEM-[Unknown]","SEM-M0","SEM-M1","SEM-MX","Q1-[Unknown]","Q1-M0","Q1-M1","Q1-MX","Q3-[Unknown]","Q3-M0","Q3-M1","Q3-MX","count-[Unknown]","count-M0","count-M1","count-MX"
"ZNF195",0.747860401762391,0.995901690433804,0.772157161490177,0.624065044873938,0.929317161109286,0.637819829061953,581.2004,450.619311940299,545.129944444444,406.970788888889,25.7496776941577,25.6471383433886,115.282321775414,42.0845072254259,556.6667,247.22785,265.3436,266.84565,594.7844,532.9114,831.3968,523.181125,5,134,9,18
"ZNF263",0.89784112759764,0.999231674720073,0.891410692682634,0.971179112945715,0.981670913295007,0.982592678291029,607.0727,555.636513432836,595.433544444444,570.957605555556,52.3330440322269,13.0192099568987,70.70242367776,51.4030348756957,514.5909,448.747325,424.208,394.815275,654.9076,630.5077,730.4637,661.530425,5,134,9,18
"ZNF200",0.909272010099017,0.979707578089066,0.994500600635072,0.95009792779216,0.999195225251878,0.999207365057154,261.13244,234.48787238806,242.032366666667,237.369638888889,36.6633795902478,7.73404079330445,12.2194054245127,21.5040265541057,200.9091,171.921575,219.2718,162.0224,308.0096,267.35135,269.8484,300.021,5,134,9,18
"ZNF582",0.976914236865524,0.73753964673681,0.681988973036018,0.978195493626267,0.411677817335216,0.236172047458245,13.02394,10.3628791044776,4.88072222222222,15.9193333333333,4.72368892292877,1.00722038960413,1.58503801231826,6.86752703167957,4.5135,3.236725,1.7786,2.4335,13.4067,12.76075,7.0224,10.362125,5,134,9,18
"ZNF285",0.999881566534164,0.718044609219468,0.372778728579652,0.93191178990152,0.700336667915777,0.898250696604042,15.76938,15.1358873134328,3.92616666666667,9.65698333333333,10.3234704775768,1.85293059904993,1.3615471320442,2.75633502960746,2.4063,3.35045,1.8206,1.81395,16.6528,19.252075,4.1337,16.65145,5,134,9,18
"ZNF275",0.968480642547799,0.728353363175637,0.106697104966868,0.984082510597331,0.999605567518656,0.249190610754293,837.37338,760.909747761194,1050.4349,770.453922222222,137.037887847739,29.8064371844494,224.974690504619,83.9067114424964,688.3153,490.13655,791.2532,524.39675,1073.2197,948.343,1042.241,1014.30795,5,134,9,18
"ZNF37A",0.0328075917572301,0.216040640588945,0.958083841373512,0.154385786619,0.876334324797492,0.999982348188878,793.69086,508.776576865672,548.162488888889,551.553044444444,140.634816024303,18.4083525512459,96.3719145268078,63.8484260340517,548.2984,339.57765,260.0131,364.882375,930,681.817875,683.6391,689.567725,5,134,9,18
"ZNF510",0.992376595588073,0.984929173672065,0.78323159275184,0.999277487588978,0.994347427620887,0.919583912311588,315.95746,335.776434328358,285.318944444444,325.907816666667,34.2286607510519,14.1436801351284,26.3701362895559,31.1064851620938,278.4462,232.410325,252.8482,227.432725,326.2287,406.711425,328.419,395.520125,5,134,9,18
"ZNF506",0.0731716542037145,0.404546124739844,0.895003573599792,0.138102545707511,0.999835404869405,0.947174225465958,767.60016,396.867258955224,477.743422222222,403.310211111111,381.542366627441,27.0910417012986,105.980862530721,62.1293569649304,376.7618,221.68545,254.8256,215.740025,456.6667,479.821,716.5898,581.840225,5,134,9,18
"ZNF324",0.958678748758432,0.999999999993466,0.910659348047381,0.999211708813828,0.916274364540897,0.998498482351288,187.1641,210.169329850746,187.149333333333,193.7883,21.8827809127177,9.16673564800865,28.2936006129969,16.194790115161,191.7224,156.15585,113.0569,147.401975,209.0909,246.823025,206.3751,227.302925,5,134,9,18
"ZNF671",0.999993725782974,0.897081618100317,0.648138363626177,0.829977812884349,0.344910337358305,0.188754932916559,59.72012,60.3832970149254,37.7897555555556,83.8900611111111,15.4709180709291,4.81744779443077,5.5846703188309,17.2402795557952,38.1143,24.903575,23.9283,41.096075,74.9398,79.0122,51.5785,96.628325,5,134,9,18
"ZNF416",0.956688360573093,0.99120723134769,0.997181206995822,0.719501992888981,0.632614143981812,0.804126688187673,89.39182,100.841364925373,97.4545333333333,115.602616666667,14.1623438028951,4.18857469047027,17.9958621550977,13.2904452942048,75.2257,65.7867,56.2028,82.854475,99.6906,120.4175,114.4601,168.963825,5,134,9,18
"ZNF586",0.504531884847334,0.86454274434119,0.936394350450404,0.815614600642997,0.872324681685581,0.99999331102691,275.98194,210.049202238806,230.968844444444,229.847294444444,42.7734399806773,8.22476570108122,37.7249397774982,36.1818052055999,213.0303,142.812275,140.7571,140.587025,274.771,261.555725,324.7453,257.325,5,134,9,18
"ZNF446",0.958651847280535,0.999999997645852,0.909663417705748,0.999912782102037,0.729090251472355,0.999850393061455,173.72668,201.542344776119,173.599722222222,169.888877777778,27.5302513467894,11.0655704139139,41.5201220483407,16.3979547625473,113.844,134.18765,114.649,115.5009,217.2606,234.32085,181.715,211.6497,5,134,9,18
"ZNF8",0.167828615518884,0.182159002806704,0.94698706657291,0.559720921872727,0.677038973130625,0.658142823211673,315.50254,220.763120895522,201.791566666667,249.061683333333,59.2344148383404,8.42481839143959,36.7563366774356,25.9048327831978,255.3983,150.7461,110.3244,156.113925,289.6364,284.76985,233.0147,279.541125,5,134,9,18
"ZNF264",0.208537600118598,0.19976941408428,0.926200013517821,0.762551409650533,0.390762694074022,0.442786126436502,1565.11798,1100.76037238806,989.9256,1307.81236666667,115.143196671525,42.4979600040889,151.771879140819,179.20310465784,1463.9394,709.437,590.3951,886.255425,1573.9661,1406.258625,1220.1808,1342.55985,5,134,9,18
"ZNF213",0.996453855259896,0.999991610832177,0.987421476529178,0.985282468197369,0.693133246957354,0.979208263829536,707.3311,735.717594029851,702.726022222222,656.213522222222,63.5869829106555,25.5784428428136,74.9311991862364,67.8313034453369,611.334,524.44395,612.5351,482.6742,813.6364,894.526,863.7601,872.0198,5,134,9,18
"ZNF343",0.989409196027626,0.996349435865727,0.999919608178654,0.999999999220475,0.942560526787504,0.990977723196197,286.22848,299.936294029851,297.923711111111,286.291455555556,24.90295301962,8.56498016533356,22.4587376657013,22.0114742257799,271.1629,222.08715,272.3404,210.7643,318.1818,357.03255,341.6461,362.231025,5,134,9,18
"ZNF302",0.999938077616757,0.916028773348895,0.675529627267615,0.921599439811958,0.517760738927395,0.999605817702396,406.64554,412.803547014925,318.7107,328.949788888889,74.4589936271946,22.1170085201987,45.6568271826594,44.3689009058713,280.5995,264.182125,229.3275,220.24175,496.2387,500.007575,345.6871,429.418025,5,134,9,18
"ZNF268",0.965965837281598,0.899895768537283,0.9583762153972,0.434005699320813,0.129990985983957,0.792261756767396,429.5713,385.296155223881,349.350733333333,271.024655555556,115.816576550548,18.7365581845801,35.2218523748712,35.0688191782167,233.7573,252.58365,308.8641,177.293175,637.5758,476.36435,379.6398,383.5625,5,134,9,18
"ZNF184",0.997757738073456,0.99983626277178,0.9993849295719,0.936496369261645,0.43208059629307,0.840431589913367,227.19322,236.050961940298,231.710833333333,196.048227777778,33.3228887457015,9.63727021054564,21.9368691302514,16.6514588757336,195.886,173.9863,188.693,143.64775,238.2262,270.5187,253.4267,222.5424,5,134,9,18
"ZNF500",0.996447837929584,0.941347091034667,0.920440311257492,0.964629340601194,0.942556625552872,0.997592609184861,257.7256,249.939629850746,232.590811111111,238.712361111111,46.873958726824,6.5766193165524,22.0665065163023,23.4751007137101,175.7773,195.75795,186.2578,177.1459,334.5455,299.5501,243.5589,262.11775,5,134,9,18
"ZNF419",0.978407051838615,0.996961514041139,0.997297980737489,0.983152175157704,0.999999126941469,0.99811819128872,70.28786,78.4914843283582,75.4362555555556,78.6435777777778,18.2075240961422,3.86976215587773,15.7689210327987,11.2188469770449,52.7338,45.986525,44.6363,54.5253,110.4337,103.0042,90.348,101.475375,5,134,9,18
"ZNF175",0.340179115487501,0.270583207147749,0.888097745626095,0.529044457305465,0.989683850206207,0.854543243006794,204.68768,135.879935074627,113.450888888889,142.886894444444,54.631608668649,7.67952627742541,19.7511313247456,24.1637483683158,176.3493,77.363125,69.8621,75.89585,226.7555,173.938275,152.9569,204.6781,5,134,9,18
"ZNF14",0.884026246592366,0.999354304000775,0.867216666942877,0.757014852291629,0.912167992963786,0.71663191159755,191.2304,155.812288059702,184.025355555556,138.238155555556,61.1734506649412,9.54036019686638,27.5805823180564,15.6905176204211,134.8485,92.899325,140.5471,105.43205,201.0409,190.244,231.2982,188.243425,5,134,9,18
