"gene","p-adj-M0-[Unknown]","p-adj-M1-[Unknown]","p-adj-M1-M0","p-adj-MX-[Unknown]","p-adj-MX-M0","p-adj-MX-M1","mean-[Unknown]","mean-M0","mean-M1","mean-MX","SEM-[Unknown]","SEM-M0","SEM-M1","SEM-MX","Q1-[Unknown]","Q1-M0","Q1-M1","Q1-MX","Q3-[Unknown]","Q3-M0","Q3-M1","Q3-MX","count-[Unknown]","count-M0","count-M1","count-MX"
"ZNF85",0.930636619515246,0.945148283585448,0.999646541388637,0.998531283462783,0.86629928643034,0.943818656231233,37.6519,56.4908537313433,58.8351111111111,43.1959111111111,20.3441379461751,6.15213964790442,14.6525538041956,14.1235855413969,16.2989,14.0202,14.8731,7.659275,24.0633,80.860225,80.1499,36.899225,5,134,9,18
"ZKSCAN1",0.869778086349532,0.455533824530313,0.00465900664620944,0.856865659362707,0.996683649093958,0.0164668664559787,2441.67532,1882.76849925373,3759.31438888889,1798.02168333333,689.251900547563,102.149957980972,1715.37362509766,168.992493266092,1626.3693,1162.42515,1326.9175,1105.9437,2245.1014,2258.6478,3186.8475,2263.76355,5,134,9,18
"ZNF862",0.647766628205028,0.282146507622067,0.530463647357369,0.445935750351293,0.814816295336627,0.931955390074309,555.34028,403.843984328358,271.155688888889,340.887694444444,176.380181616556,25.1541273904961,36.5579789426917,60.9882914725444,353.6364,189.891675,180.0809,148.9154,755.015,515.243075,351.937,417.73555,5,134,9,18
"ZNF684",0.999007394785743,0.958499234240928,0.923152693869355,0.998690633095412,0.942218699888387,0.816917586328711,56.36188,58.3786559701493,65.1878333333333,53.9057722222222,8.41123200603812,2.89084266503364,7.12806940022644,4.76699050296377,41.6249,34.790525,58.5203,37.513725,68.0646,71.4777,74.9369,65.1257,5,134,9,18
"ZNF430",0.828652276066526,0.898108149109916,0.999999999999783,0.664685913807367,0.876841251445731,0.967442805462452,214.56988,177.826332835821,177.823277777778,160.046488888889,26.9116257026475,8.56165218437908,25.6353137525215,16.0802128606958,169.1202,110.922925,124.9848,116.556875,235.9145,227.503025,214.1396,205.536075,5,134,9,18
"ZFP30",0.843533629452016,0.912492572291253,0.999996021196861,0.993225006627291,0.180099219142176,0.607763007908938,91.32432,130.190949253731,129.3962,77.2648611111111,41.8164250589454,9.2857556037281,36.7930803773391,15.3959851752573,28.0322,50.299375,17.9197,21.970425,139.777,175.4187,189.5596,145.14905,5,134,9,18
"ZNF549",0.695890718618516,0.568118494539837,0.914169359592167,0.673898049399626,0.991520890985773,0.982202648445414,164.72944,116.686054477612,94.9164222222222,109.656433333333,69.825752654444,7.92723339157239,29.9726230580313,27.6346265052105,31.3628,50.145625,34.5361,25.62455,209.0909,172.257625,100.9119,154.146225,5,134,9,18
"ZNF211",0.9129177866358,0.948910697382803,0.999999892615476,0.998426863257869,0.82430794013381,0.950199576600266,226.93408,193.392380597015,193.134733333333,217.647333333333,44.3568675496298,9.06119293456295,48.8967215285045,34.2923198855384,180.4744,108.88375,72.0323,127.897825,245.4865,248.556275,205.7825,230.4718,5,134,9,18
"ZNF205",0.883166601042726,0.999641339022091,0.669625828751707,0.939910055545532,0.997998791098955,0.83211507768632,238.56594,270.116086567164,233.308155555556,265.907466666667,42.6565171340863,8.33792892039562,22.9469101308997,20.4771572514063,189.2177,209.046975,186.0748,201.8566,300.8377,331.077625,269.0415,296.2073,5,134,9,18
"ZNF45",0.519651121431176,0.578142197868825,0.993990835889307,0.675430860412013,0.996036511556326,0.984639183296149,286.73902,219.627923880597,210.094277777778,225.665422222222,52.7338999218662,9.57961256731256,18.4399754878255,22.6347402441375,213.6409,152.141325,159.8677,183.6997,302.7273,260.610425,259.3101,261.07645,5,134,9,18
"ZNF133",0.99301462259881,0.976120239371249,0.733299994088753,0.830873436801287,0.127194602764178,0.961986770237903,325.7941,344.562341044776,290.744377777778,260.542505555556,44.9417933249442,14.0352673573092,22.7820728238405,22.5852306121548,256.453,233.3102,249.3553,180.45085,401.5152,416.8422,334.0775,348.177175,5,134,9,18
"ZNF436",0.764617642194786,0.999970331183193,0.616678642661671,0.986524491072569,0.0720182138397131,0.963552461236794,598.26162,779.785380597015,608.191444444444,528.084027777778,169.144056274376,37.0830901588254,134.674322205208,49.6399267805532,370.2834,473.28515,355.3579,370.59015,663.6439,1024.271775,711.3377,635.901425,5,134,9,18
"ZNF484",0.996605205318868,0.772618837833585,0.581277634908117,0.996948207662907,0.999992701614796,0.715979023865262,181.40068,173.666291791045,138.601855555556,173.119216666667,28.0559649082579,7.00812425146746,16.9865176796115,20.1615977098057,116.292,121.12765,107.9635,103.0727,222.4535,205.1539,178.2803,185.8513,5,134,9,18
"ZNF780B",0.916190430099339,0.821208636229593,0.946545971323195,0.906488136843047,0.997795630490707,0.985150324927608,402.9984,345.257053731343,308.222288888889,336.237944444444,92.4357354951915,17.3402758168764,45.1271974192315,41.5250767113041,236.1921,194.8537,220.0608,200.5338,507.2727,408.261875,398.5294,499.841275,5,134,9,18
"ZNF557",0.898707902713414,0.955750292114867,0.999754948743437,0.995838504640209,0.85253718388911,0.974980633258572,210.56698,187.395129850746,189.611433333333,202.156894444444,27.6509789681378,6.04761694645088,20.1162243493074,23.6148458608976,175.7773,143.821425,165.4068,129.04995,239.945,215.0465,240.5778,234.6026,5,134,9,18
"ZNF337",0.999999999843211,0.963604761626408,0.865600208808049,0.857285985703162,0.381831710187023,0.360689902369665,440.00432,440.075876865672,495.438522222222,356.795944444444,62.2698942117891,18.5512752731742,66.9996432194124,37.7131401829032,374.821,317.270125,357.9409,244.632125,550.5364,505.209925,550.7941,442.854325,5,134,9,18
"ZNF317",0.99899765943998,0.999993855216283,0.998914675017295,0.866638868716673,0.271458570688518,0.754139474506448,935.34092,919.794605223881,931.865144444444,1029.95795555556,47.3574278086384,20.3358131592769,99.7444084097479,66.9345844279949,835.4545,734.860075,684.0122,892.768875,1020.816,1047.62275,1162.4425,1176.161525,5,134,9,18
"ZNF426",0.969873532405081,0.871007190760713,0.917949175562635,0.895198617140027,0.930281995159353,0.998248703091598,256.3774,215.854635820896,171.9326,185.700611111111,58.7115584666852,18.1540146805005,33.2061663028705,34.2306376989044,163.4905,109.46745,110.5384,93.8391,305.4545,254.975475,219.8892,259.877125,5,134,9,18
"ZNF331",0.998616669693435,0.908617831934382,0.817260738419949,0.920027909088754,0.751228003576687,0.999286839425549,302.9464,283.955195522388,203.842766666667,217.476233333333,185.859566342615,21.9878980647081,57.9004076032597,78.3191042347539,117.2224,87.34365,80,37.751425,164.8485,374.251175,297.6847,268.9101,5,134,9,18
"ZNF227",0.328866980300449,0.0833290759802177,0.367481820569522,0.227111343380504,0.867027872732348,0.806926972664204,335.05218,252.914219402985,193.433577777778,232.316083333333,23.9560604260884,9.71121072382013,11.0143810336479,20.569787366446,296.986,182.43665,183.2491,179.23555,355.6703,296.191425,208.3793,283.706275,5,134,9,18
"ZNF141",0.989234568470621,0.999999837853552,0.973638270076139,0.999771024475164,0.978792292801099,0.999425473002294,65.3117,73.9218253731343,65.0545444444444,67.9289611111111,31.2711555649452,5.2897445487386,15.8674636246551,12.8538859486356,26.6445,37.490525,39.102,21.518525,74.746,93.644275,68.8116,105.962525,5,134,9,18
"ZNF304",0.815458941108321,0.675477393427196,0.913052921245135,0.70350450810714,0.93950364444961,0.997135460031655,338.3262,289.367462686567,261.731688888889,271.7353,36.2904352135242,10.8150441257327,30.6128406013602,28.0665837462913,290.5912,192.240325,210.9382,199.4018,378.4848,355.846625,302.1289,292.234475,5,134,9,18
"ZNF132",0.955188853277234,0.945871739305236,0.39480900298683,0.997286923987645,0.949200407350202,0.750711776870555,45.67296,55.4043507462687,32.9205777777778,49.7945722222222,8.41187851764396,3.7214218376154,3.30832869499162,9.70346459106165,29.9072,29.3678,27.9309,28.304325,61.2121,66.42845,40.0961,50.4843,5,134,9,18
"ZNF20",0.924979669398584,0.994801672987114,0.974080106346762,0.999626445711954,0.543864145647461,0.96749600994137,103.70578,92.8643776119403,98.4705666666667,105.665983333333,15.8939745790158,3.254277976744,12.0244303837484,10.4144697306176,88.7372,70.138925,77.2176,69.310725,108.1378,112.492775,116.3184,133.0614,5,134,9,18
"ZNF670",0.998991773541147,0.615677397224254,0.282907218508315,0.995316367332262,0.883762025668113,0.208119576792951,86.55684,89.5060007462687,117.735488888889,81.0702666666667,19.8190188718463,3.97518834336507,18.3527146989397,9.37355828638036,57.4012,60.5815,84.0904,54.24255,118.404,111.80265,148.3195,91.761475,5,134,9,18
"ZFP37",0.676394152292852,0.994700225246531,0.238909724912615,0.969805519272551,0.66991784944388,0.808632442087045,39.35206,65.565197761194,32.2924555555556,50.98335,9.22913855766615,4.66684927936728,9.41820010423245,9.87191046789297,32.5155,29.9822,10.4036,18.91635,47.439,91.972625,32.7257,78.2937,5,134,9,18
"ZNF189",0.737657405177234,0.999999972235985,0.536972493729173,0.996012675504343,0.5009866511136,0.992958322136864,574.64262,469.281348507463,574.1049,548.957666666667,65.0188795268759,17.5041844386394,123.436169147091,74.105689782762,490.1471,314.72375,234.4726,308.580875,650.9529,573.684425,895.3048,762.0355,5,134,9,18
"ZNF434",0.997857242176026,0.999996559548178,0.992717215211079,0.998384507382171,0.999999989195908,0.995485157481426,357.48342,349.713204477612,358.593022222222,349.640077777778,18.8963402809221,8.00034615122669,32.4740969219391,25.6848380092855,337.8788,285.0485,305.3461,271.090475,385.012,414.728575,412.559,432.828425,5,134,9,18
"ZNF287",0.249776632899903,0.538461947448375,0.991664037196641,0.940493355435599,0.121322711605755,0.675100398237543,24.61974,63.297052238806,58.7709333333333,37.8095055555556,8.72959798797173,4.13747351152176,12.3452904840717,8.14198978422974,7.2162,22.498425,41.3782,7.110875,39.697,92.641825,65.4513,64.833725,5,134,9,18
"ZIM3",0.977064084380461,0.999430401511859,0.98521296230984,1,0.881002561109025,0.998553839235237,0,0.7097,0.248722222222222,0,0,0.364317656618851,0.181259185037597,0,0,0,0,0,0,0,0,0,5,134,9,18
"ZFP14",0.647197412539778,0.387494902493281,0.733158303874224,0.306778191836769,0.51268849276358,0.999997990992807,206.29608,152.578148507463,116.859811111111,117.589783333333,62.4999664055622,9.17118606155227,16.9799309870378,12.8776643074375,122.1163,79.393225,91.3986,80.315775,196.6667,202.020575,135.608,154.28565,5,134,9,18
"ZNF473",0.732190964226612,0.99968617557693,0.623013674393136,0.779188328314178,0.999977649686179,0.724553000548436,379.35238,314.469160447761,371.979555555556,313.095044444444,55.2268905296994,11.9211356222963,54.4731651585467,30.8889711578402,334.823,220.574075,302.0355,227.996125,366.9697,378.96905,423.8298,394.890025,5,134,9,18
"ZNF614",0.76484169098117,0.900369920453384,0.998309820041484,0.92033010846414,0.962183986028734,0.998616071334307,326.48924,236.067058208955,247.861033333333,260.936438888889,125.274513633099,16.6001885987985,53.3971317270543,65.4177752109381,153.2057,104.3525,113.4442,82.288725,345.4545,315.28195,437.0806,334.94775,5,134,9,18
"POGK",0.849678526167351,0.776163180619653,0.965050397813464,0.679724298393909,0.863732984556612,0.9998101091018,2280.10936,2021.94178283582,1908.12385555556,1885.04010555556,217.294284195076,62.0323932597928,137.649137557921,166.077561870217,2395.0434,1564.7476,1558.7389,1486.05915,2489.3939,2329.113725,2226.4117,1988.871425,5,134,9,18
"ZNF514",0.665377711746353,0.12254512046619,0.162107879705625,0.553206994441932,0.936610064799814,0.501274007868126,337.3794,266.87296119403,169.344,246.9456,67.3270882517653,12.1781925965977,19.3519448748339,27.1945476458538,266.2701,166.4761,115.9892,170.955725,460,326.304375,216.2739,282.57085,5,134,9,18
"ZNF300",0.656854424166783,0.921350519933619,0.958706958769973,0.998555184726895,0.290406617568739,0.909289896602802,55.60376,119.617585074627,98.5969333333333,65.4146888888889,16.9037404178069,11.19643335556,34.9011344711386,15.8267505023505,17.4854,52.752175,32.2569,10.14335,77.2727,148.62065,87.7812,125.1367,5,134,9,18
"RBAK",0.914710406039682,0.958148571132201,0.999962806178809,0.719488537736783,0.786612468834079,0.927537127269128,916.40828,828.047124626866,832.852144444444,758.285127777778,94.7172030372593,25.8699226858905,79.9329881269793,76.1326242671819,811.2684,639.3138,666.1471,508.357025,1060.7394,972.01195,950.8064,822.224225,5,134,9,18
"ZNF92",0.991433809831215,0.996236670742589,0.999991935902967,0.988844239945035,0.999480531162019,0.999707859067109,355.61498,320.859396268657,323.4074,313.401727777778,45.2318300926615,24.3494972992337,54.0098240702997,34.2902343271716,308.676,200.23385,220.2492,232.875475,384.4019,389.2671,378.4276,379.97235,5,134,9,18
"ZNF157",0.980363899705462,0.999622030936731,0.985709004553925,0.99999616114367,0.91317583338617,0.999499478906463,1.54592,2.18152388059701,1.75088888888889,1.5861,0.871831565957554,0.326821966727051,0.65610754209209,0.735703823657177,0.8326,0.2489,0.3258,0.29165,1.0313,2.280325,3.1517,1.3586,5,134,9,18
"ZNF182",0.982968753919475,0.998379017347532,0.874635135174601,0.989578244391564,0.569034706241503,0.998580256656603,194.02752,176.604238059701,203.637311111111,210.364944444444,27.0460808739899,8.60309329921618,32.3160829039438,33.5809902466563,181.7954,110.8235,157.2377,124.002675,207.5424,218.19165,292.0815,254.490175,5,134,9,18
"ZNF673",0.976779366415987,0.958784887673503,0.993112898973991,0.999563312900647,0.952253415916294,0.945888076877378,159.47158,174.597173134328,182.132555555556,163.848661111111,21.4441993420459,7.18005540263184,25.4327066787757,17.3201953568492,117.1246,121.97005,156.6054,124.804975,204.2131,206.207225,205.5877,190.22805,5,134,9,18
"ZNF41",0.966393820600207,0.950211464955924,0.449514880944465,0.982997614343921,0.389952936159249,0.992552891076731,309.05948,276.675532089552,354.663688888889,337.406016666667,28.3893735756427,11.6711507134617,46.0050547933064,62.0236572014235,309.2937,196.559825,231.0011,238.603825,327.604,327.811175,411.7096,321.371575,5,134,9,18
"ZNF7",0.691257834981366,0.999038690078312,0.338917676674143,0.924188238071143,0.882754898939117,0.770733778502606,430.02552,522.839200746269,415.6405,488.584772222222,45.2217860825775,16.4884704745653,32.2737253145307,44.9466710197798,353.6357,386.949225,357.5627,369.0343,492.6545,602.293125,442.5848,612.44695,5,134,9,18
"ZNF214",0.280117449656931,0.892123519542409,0.615806774467426,0.147524891478339,0.727380836088372,0.344886464251823,48.81052,27.7372932835821,38.5631666666667,21.0159111111111,13.2339885249837,2.30371170815817,6.56093555947287,4.6436714635686,37.1912,9.774725,24.6233,5.518525,66.3458,38.753825,47.2441,38.221825,5,134,9,18
"ZNF215",0.186379187194856,0.86532910855217,0.494963428016305,0.248937002623076,0.999733865133945,0.599289684539373,120.5567,62.5265902985075,93.2108555555556,61.0916722222222,32.9389357206786,5.16662348400856,30.5593622517766,16.4066150280752,109.0909,10.926675,11.0992,5.324325,150.911,99.0193,161.459,82.02155,5,134,9,18
"ZNF547",0.270619253318074,0.26235318681256,0.941535022411291,0.590997741241297,0.873253979842706,0.780760643696651,61.6359,40.3255858208955,35.2832111111111,45.2320388888889,9.5856234985524,2.19411937406719,5.43897289786726,7.67620210505535,46.6333,21.796125,27.7603,25.090225,72.0179,52.88695,39.6123,55.378875,5,134,9,18
"ZNF773",0.990939302684863,0.999561668549502,0.942359900111849,0.99363800537399,0.710685030587986,0.997951195886425,64.35594,69.9894462686567,61.8664222222222,58.8118166666667,18.6404044737929,3.64332944714362,14.8763104091966,8.7059829744486,38.0239,39.422175,36.231,35.0133,84.9089,95.6527,86.7122,69.382025,5,134,9,18
"ZNF776",0.382777039785042,0.467894564910323,0.995033038383992,0.703805869365201,0.885187237369069,0.914665992399012,506.38436,385.988423134328,372.234311111111,416.280055555556,52.4953258926792,14.1958842978835,40.0340490113362,46.8521837648148,415.5545,252.31645,294.5571,283.842925,543.1002,470.537825,468.6969,492.443975,5,134,9,18
"ZNF256",0.724047904021506,0.999810864448468,0.433176821234542,0.999883538713228,0.298783657601265,0.997353268447085,46.59594,77.6766641791045,43.6530444444444,48.8645666666667,22.550532492928,5.82996648819801,12.5721698486524,14.603443833553,20.6256,23.390875,8.4573,7.982125,52.1437,111.626025,68.7464,65.1673,5,134,9,18
"ZNF599",0.948490873564119,0.981696242115208,0.546609042947541,0.94793728462168,0.163946678202063,0.998558608042698,65.70016,76.6410052238806,56.3888555555556,53.51045,15.6283045805231,4.0747752575187,8.51810901467363,6.2107052229219,60.4313,44.995475,36.7173,37.70975,72.5651,93.435475,67.769,70.804375,5,134,9,18
"ZNF18",0.454543006285182,0.80045170905949,0.963271771587182,0.757764844610269,0.899868151858115,0.999996972893533,134.7463,184.713993283582,172.408566666667,171.791861111111,18.8149072254157,6.39375868640066,29.5523967092114,17.7824060670909,126.0967,140.541875,101.4352,121.16805,141.9258,215.54135,276.6148,219.665325,5,134,9,18
"ZKSCAN2",0.999996026554436,0.968677609052869,0.869823403304408,0.999937815725381,0.998732130805411,0.945898434354554,156.0265,155.197498507463,176.762655555556,158.3287,51.6408033560285,6.5921919304672,36.2249524233838,22.9921347784866,78.4855,107.04055,89.8339,94.6664,260,177.930725,173.2325,192.51965,5,134,9,18
"ZNF689",0.999999585983951,0.707959405764338,0.302526628091969,0.609992575026584,0.0649494831186861,0.999929591704321,180.16238,179.736251492537,233.5221,235.63905,35.9259373393291,6.67254418792622,57.6831249153945,27.7031349353279,108.6284,130.690475,146.9414,173.36595,198.4848,214.454025,193.8639,270.260775,5,134,9,18
"ZNF19",0.991455296592664,0.999916902209388,0.962717518879588,0.97345487518089,0.507270936439066,0.97007079481783,43.23914,46.2197985074627,42.4679444444444,38.3511833333333,13.2845430358594,1.9559408313839,9.79156635623954,3.49354612833445,23.5182,30.244975,28.2936,28.97135,68.5958,60.185125,51.9073,43.90495,5,134,9,18
"ZNF230",0.959447193405439,0.670138418968772,0.643140399007138,0.997312847167881,0.56518200918325,0.281866240777145,81.02718,73.0006552238806,58.6735,84.5384055555556,12.5985700435962,3.13394131485555,6.35895632828218,8.44359149196407,64.8485,48.765025,46.9542,62.9301,107.9409,82.42945,76.8785,104.179475,5,134,9,18
"ZNF222",0.223654469412726,0.0927412700516633,0.59294169239461,0.40109870024265,0.987454661073768,0.588446386938526,41.96332,28.0477470149254,21.1725777777778,29.3695666666667,11.1059203987063,1.4041349800505,3.02400514870308,2.99618690620731,27.1909,17.857675,17.0791,20.831225,45.4233,35.0655,31.4902,36.004125,5,134,9,18
"ZNF221",0.534077171281974,0.442698886305928,0.919047741888594,0.446886442972429,0.945890061242947,0.997158010336368,44.56958,29.3714552238806,23.9189888888889,25.9403888888889,13.353432504918,2.1525910492455,9.85586358291974,4.49162612148668,29.6975,11.5588,6.7586,9.8579,48.4848,38.8226,18.7431,36.4191,5,134,9,18
"ZNF233",0.635846950201006,0.271781015884502,0.523987606139674,0.677857002353256,0.999628352017148,0.697367243871781,41.50622,27.2157395522388,14.8058444444444,26.54485,20.6043385492085,2.37616638464611,3.16348023351002,3.29239204477336,16.6667,11.4057,10.1435,16.66765,28.8365,32.988925,15.2614,35.55155,5,134,9,18
"ZNF235",0.282100233178095,0.0127660719977097,0.046206342082447,0.261741317175184,0.970673447069593,0.214645261209091,115.3032,82.0902582089552,45.2384444444444,77.5477888888889,20.2454356206282,3.65530674980106,6.54201951876634,7.99728731212072,87.9188,53.460375,40.6395,57.5618,116.4363,104.156725,56.9182,105.082575,5,134,9,18
