"gene","p-adj-T1-T0","p-adj-T2-T0","p-adj-T2-T1","p-adj-T3-T0","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T0","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","mean-T0","mean-T1","mean-T2","mean-T3","mean-T4","SEM-T0","SEM-T1","SEM-T2","SEM-T3","SEM-T4","Q1-T0","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q3-T0","Q3-T1","Q3-T2","Q3-T3","Q3-T4","count-T0","count-T1","count-T2","count-T3","count-T4"
"ZNF195",0.999988570943556,0.983622573195403,0.308870813539283,0.998028260667103,0.8205190557221,0.733301055880654,0.880417831834135,0.289535948459419,0.838548680538927,0.519997641677796,553.0461,528.83745483871,399.743483333333,465.284191954023,260.93506,NA,65.8056861570368,39.064131127318,28.7998837169561,57.6986701881127,553.0461,346.5758,227.940275,255.39195,148.1183,553.0461,613.8848,448.8906,621.8762,359.3303,1,31,42,87,5
"ZNF263",0.450317200957696,0.707783253604888,0.401439982536524,0.565688357200329,0.875981686006854,0.775900474635768,0.827503636264766,0.789034212321275,0.998760075237542,0.943159351561927,326.0327,598.828983870968,532.206169047619,566.975989655172,511.49874,NA,33.9987854892732,22.6649967740984,16.5906517402241,71.4868681295355,326.0327,489.0594,419.0023,453.34985,464.7867,326.0327,704.25835,578.6216,645.08695,626.5054,1,31,42,87,5
"ZNF200",0.998573667207528,0.997222914260748,0.999473481861467,0.998296486893027,0.999998651550657,0.999449879903755,0.999998332484568,0.989113913726205,0.975095054867474,0.98470006679576,209.8068,235.141970967742,239.726928571429,236.04811954023,214.81132,NA,14.4472279166778,15.5026238072704,9.17209140097953,20.0648804128856,209.8068,184.6478,162.07705,176.03815,181.9066,209.8068,281.62865,273.973925,272.01525,216.6871,1,31,42,87,5
"ZNF582",0.999920032588492,0.986055629045407,0.498871031442794,0.992647749387231,0.6189717955632,0.991980710043352,0.830643946658653,0.224237125587265,0.666659905442885,0.525666803548937,4.7548,6.74109032258065,12.1531261904762,10.9660425287356,21.20288,NA,1.12096500892465,2.37899843500658,1.67569185303689,6.65405848805073,4.7548,2.27755,3.26205,3.09625,10.7004,4.7548,9.9837,12.181975,12.9143,27.1614,1,31,42,87,5
"ZNF285",0.996317741927899,0.951876065304531,0.550258571164923,0.965918056774446,0.639814356522537,0.995619549371364,0.978372630544771,0.982086036819081,0.999614752474795,0.999997934638242,1.4859,8.92316774193548,16.2164666666667,14.7779632183908,14.2677,NA,2.21227793109657,2.95633696804434,2.48404598829834,3.43579173262874,1.4859,1.1408,3.1422,3.21425,8.4162,1.4859,12.8365,23.484125,17.8446,22.322,1,31,42,87,5
"ZNF275",0.999666529111973,0.999998338647715,0.824906835312282,0.999941807695099,0.524699056388913,0.994694173135542,0.996255769705441,0.728641669441826,0.949296641855323,0.976654824913409,759.584,685.392080645161,779.130445238095,806.924272413793,907.64578,NA,53.6527886836608,49.1557134451986,45.001164102908,126.589714240136,759.584,429.86775,474.837975,506.95275,642.9961,759.584,900.9416,975.3486,1035.60405,1033.8914,1,31,42,87,5
"ZNF37A",0.999799094083911,0.984473775557216,0.556472280627635,0.999996108683928,0.984167664502384,0.096878640336799,0.99195165361112,0.967723342352555,0.999975686446305,0.890876743027703,573.5513,533.448748387097,451.617742857143,558.787311494253,462.6058,NA,44.9677307409184,29.0591279087359,25.8568421324762,62.5691870289442,573.5513,343.9399,298.613825,371.40035,398.2402,573.5513,675.2547,576.962575,714.89505,485.6404,1,31,42,87,5
"ZNF510",0.995738942048365,0.99598376388951,0.999999789464835,0.999321945130796,0.957330225293514,0.948083446595803,0.997713648708287,0.999996052245765,0.999998550550317,0.999149693723025,378.3061,318.665106451613,319.811230952381,341.395848275862,323.52116,NA,20.6326640211077,20.0512560002533,19.2544137282509,60.9290634371857,378.3061,245.9472,216.55355,232.3279,251.297,378.3061,391.1263,418.672425,402.30515,324.8427,1,31,42,87,5
"ZNF506",0.999999996070667,0.997048891083082,0.558570911566959,0.999572564517314,0.82673218612784,0.951382934774582,0.997218105627332,0.933597471270451,0.999998738005498,0.996948481253249,482.9123,486.842141935484,366.08964047619,411.896540229885,358.3411,NA,76.4915483901631,42.2434386232174,36.273650201143,46.9143647316576,482.9123,246.94805,221.05095,223.90785,257.2581,482.9123,600.7213,420.894525,530.7072,451.3407,1,31,42,87,5
"ZNF324",0.999681394476162,0.998563752237532,0.995462075960575,0.999906382338122,0.999032476600563,0.939726529509683,0.998049226168236,0.998457217616946,0.999973645070339,0.993439515858692,226.1516,206.220848387097,197.080711904762,211.655842528736,192.1196,NA,11.5180433111751,9.78196546671357,13.4663133432246,11.3510410076345,226.1516,164.94825,160.4156,149.49105,173.3823,226.1516,255.9297,233.022725,240.1166,213.9649,1,31,42,87,5
"ZNF671",0.999373107444521,0.994506714348688,0.950170245602393,0.999408290579926,0.999999871584704,0.878567284406292,0.996704156932695,0.701611102504172,0.454698474592153,0.67120071725789,76.0773,62.8454741935484,53.1134,63.1693494252874,97.86162,NA,7.06457794407364,6.55838485564828,6.9903805508882,38.5296332950938,76.0773,34.2097,23.22975,25.33895,50.5837,76.0773,74.23945,62.71105,79.92095,86.9403,1,31,42,87,5
"ZNF416",0.655462223813361,0.250369231194101,0.033610563161758,0.287694780319453,0.038588991746824,0.988867799799448,0.440875444737461,0.860916469661195,0.9915526347185,0.998915717174531,191.3819,125.470470967742,92.6054833333333,96.9368965517241,102.74662,NA,9.26352340828667,7.60525812878626,4.95594250731535,14.7687499627897,191.3819,92.54075,55.715725,61.40285,79.7665,191.3819,152.7902,112.800725,117.895,115.1492,1,31,42,87,5
"ZNF586",0.999651820557962,0.999986791028065,0.989225386888589,0.999205466489608,0.999550421382946,0.918276775993565,0.999992259152605,0.976198930442812,0.996255514020648,0.952578496492887,195.8395,216.912819354839,205.066714285714,221.540574712644,187.10096,NA,16.1841464768388,13.8398512639238,12.4451653740772,38.0136941994013,195.8395,157.2818,136.294925,139.0958,128.7289,195.8395,239.55325,239.5294,277.7943,257.5201,1,31,42,87,5
"ZNF446",0.999999555283843,0.99846632281534,0.819631527307884,0.991779490085476,0.290137090230165,0.921259060761167,0.998063576644253,0.972036281669545,0.999983581761422,0.999209371156471,156.2288,160.827448387097,191.669523809524,210.562577011494,196.9522,NA,9.05654556572191,11.3385512503091,16.5888932711876,23.8470637980234,156.2288,116.31035,144.838175,131.9164,153.29,156.2288,201.81115,231.05855,235.6443,242.9167,1,31,42,87,5
"ZNF8",0.997116024003435,0.958309807203237,0.567954535017685,0.996118349351315,0.999962628059701,0.402597623931125,0.934993027264789,0.823685181489839,0.997160196418394,0.823867564965156,272.2437,237.328177419355,201.52019047619,234.93226091954,185.32668,NA,18.4588521194206,12.1275932660243,11.9550142626223,22.7376137857824,272.2437,174.4105,150.7461,145.6204,169.7552,272.2437,278.09175,247.099675,306.1104,209.6311,1,31,42,87,5
"ZNF264",0.993532906312121,0.997498010309559,0.994741475074428,0.995592264973314,0.999553301515129,0.998914106927228,0.999209708080464,0.997496105822746,0.999924300070124,0.999170440532389,933.7296,1160.05674193548,1110.07376904762,1136.53566896552,1076.04854,NA,71.2800709951419,80.8338879568725,62.6973059154556,113.019027619271,933.7296,929.8995,721.59315,668.2639,920.4301,933.7296,1329.73185,1418.043175,1444.6634,1095.9575,1,31,42,87,5
"ZNF213",0.970286094314321,0.906643316616193,0.840603593478757,0.933914636548625,0.948228168887924,0.988889795027913,0.959771703041858,0.999385741887867,0.998585591371573,0.999982160428025,498.3655,683.385474193548,754.133914285714,727.879216091954,715.35186,NA,45.9426344021617,42.5258389500679,33.2963453752173,85.4130335405528,498.3655,518.7823,569.80065,519.7929,600.3612,498.3655,828.02635,902.53345,890.32995,767.5097,1,31,42,87,5
"ZNF343",0.896578503620703,0.85634039011478,0.994574065666134,0.837592943384598,0.972158897574082,0.99974385347691,0.883602102401309,0.999435421094011,0.999999854665689,0.999998977374292,394.6508,306.546429032258,297.42634047619,294.103091954023,296.14,NA,17.7062362172452,15.4213008290896,10.2000294918589,27.9000381313897,394.6508,221.5935,213.51485,220.1314,251.8528,394.6508,361.2595,357.4498,350.25955,316.4721,1,31,42,87,5
"ZNF302",0.999218866790287,0.999999526932456,0.748013532431603,0.999430110302784,0.162932388617994,0.85587802521237,0.999999999984693,0.986641299630374,0.999986488662293,0.987453906049478,378.6033,318.740593548387,387.891466666667,433.312286206897,377.84466,NA,24.4256080856102,31.0451053489727,31.0570902889036,24.7027340245083,378.6033,216.056,254.537975,260.08855,343.2796,378.6033,381.4246,490.9982,519.60045,423.7404,1,31,42,87,5
"ZNF268",0.60301087631739,0.609653858677108,0.999994711790558,0.508054640027072,0.968925947468372,0.931544835188131,0.601169542117815,0.999212156309105,0.998582428887572,0.999999697420705,52.8975,359.639761290323,356.197045238095,387.548691954023,384.2799,NA,28.8665558787531,33.1413270639328,24.2306430913965,32.3161530464565,52.8975,255.81475,215.08065,275.1103,348.4415,52.8975,477.55295,464.0739,470.4857,446.8248,1,31,42,87,5
"ZNF184",0.859585607934658,0.95452815223031,0.737568044263631,0.972348574039016,0.351357089741452,0.986058092335665,0.966563908632989,0.973188151265178,0.9999999977875,0.999646582173469,306.3893,200.66904516129,231.129528571429,241.245733333333,231.62238,NA,11.3459823289116,13.8903659681677,13.2882440006879,17.2958451212249,306.3893,156.2505,174.269675,174.3199,207.7276,306.3893,234.7975,277.15825,268.44945,233.1388,1,31,42,87,5
"ZNF500",0.998561957057884,0.999999475105467,0.637975982118639,0.999982224075199,0.885527949789081,0.953457115786329,0.999824919070149,0.86480332118702,0.998150365555016,0.974503206114147,254.9777,232.130032258065,258.09324047619,247.500742528736,269.43776,NA,16.2568055408516,11.3830070750154,8.29775077794124,35.0834643821787,254.9777,176.6805,214.61075,191.7721,229.1835,254.9777,264.6382,299.5501,295.31665,326.3441,1,31,42,87,5
"ZNF419",0.253896688900921,0.12127059076563,0.55699247163567,0.204277080006651,0.991332327488528,0.627852979707415,0.199404967917537,0.971019779595205,0.999952210442561,0.991553676840543,175.6315,84.1397290322581,68.3135619047619,79.9599344827586,70.83238,NA,6.42906258108183,4.79204883118041,5.58258567346141,14.0278789457423,175.6315,61.97355,45.519075,43.21545,54.444,175.6315,104.7302,91.485975,110.9389,66.7964,1,31,42,87,5
"ZNF175",0.799656576586845,0.72548372236658,0.982753420411134,0.732991447860084,0.985601598425077,0.999968815977563,0.328517992021283,0.298881616226974,0.431759532254448,0.376275683960695,25.8544,127.554796774194,139.103085714286,137.275377011494,211.80626,NA,13.9563087032133,13.1975648943204,10.3309223078689,34.1252614273444,25.8544,71.44365,89.210475,61.82615,141.9355,25.8544,174.92415,185.2646,179.7201,279.5043,1,31,42,87,5
"ZNF14",0.867751144987429,0.905402337167214,0.993150803802235,0.913938239201083,0.971007306382669,0.999852509709456,0.926747557310393,0.999620590911038,0.999999999679901,0.999994004417634,250.8172,145.539558064516,156.268254761905,159.470167816092,155.95976,NA,14.4875177094649,20.1912067729381,11.1139324643564,23.6668606055725,250.8172,92.9372,107.2478,93.12805,148.9247,250.8172,175.69605,180.0041,198.87525,194.7207,1,31,42,87,5
"ZNF85",0.995789419223744,0.923687410214842,0.319185049414565,0.978557398280815,0.878201343904483,0.662687616491754,0.856196929368956,0.57812771529393,0.981479507403318,0.796559612252556,12.7786,38.5472032258064,69.1057404761905,51.9629781609195,86.82284,NA,8.00279347570354,15.3483042059672,5.92693072083915,23.7885695808008,12.7786,10.74555,14.38715,14.32585,48.5769,12.7786,43.92645,84.099325,78.20595,101.3772,1,31,42,87,5
"ZKSCAN1",0.970703168320335,0.999995214956365,0.121342119588344,0.998110438916886,0.514845365281232,0.71214842564405,0.998480926971152,0.283102475061183,0.926712636356757,0.658837288039697,1524.5171,2560.35422903226,1635.94274047619,2023.44602643678,1010.53554,NA,521.156701411902,158.733332947145,131.934286025625,198.522159182875,1524.5171,1414.9188,1093.5701,1268.62745,626.8817,1524.5171,2306.0166,1711.846725,2348.546,1158.378,1,31,42,87,5
"ZNF862",0.999865285514459,0.999999922019077,0.979667310209514,0.99999998298665,0.91846963135951,0.99949005436297,0.999293526290226,0.999563720776991,0.98750079891949,0.974754923700155,404.4577,358.724190322581,397.413052380952,409.243071264368,329.5544,NA,48.9112891928978,39.329007497189,33.3035620994558,98.9510721964446,404.4577,166.83625,208.890675,182.2724,225.8065,404.4577,452.67485,506.570375,525.72185,324.5936,1,31,42,87,5
"ZNF684",0.997367208546609,0.998039673431095,0.999967840261306,0.999645813806194,0.965836752425539,0.976441779604466,0.981081532344286,0.979996474452619,0.970138896021339,0.900863870266737,66.5676,55.9297838709677,56.744430952381,60.2432586206897,47.34464,NA,4.200114795285,5.16990706067433,3.58028363735093,10.361163179325,66.5676,39.0043,32.440275,38.33145,26.5888,66.5676,70.10385,62.20045,74.91355,58.6022,1,31,42,87,5
"ZNF430",0.999999305564942,0.998658614377164,0.646607015364072,0.999997718981305,0.989693187155106,0.750011080329592,0.999712729745389,0.985518485294973,0.99985329234449,0.997502760902995,167.6077,163.599574193548,194.311888095238,172.94998045977,187.17644,NA,12.7692239041368,16.8455977181508,10.3229483493863,9.61043069412605,167.6077,119.6121,109.047325,108.4997,183.2441,167.6077,187.7847,248.2177,227.0678,198.7206,1,31,42,87,5
"ZFP30",0.972150438570963,0.693462485732533,0.0347330127273708,0.875464200067406,0.510034209017152,0.330641440904076,0.724024345919346,0.543255088583083,0.99996332541045,0.902020714960316,21.6939,85.8596193548387,155.938569047619,119.745247126437,161.38872,NA,15.2387101631688,18.686428818601,10.7419520436411,14.4269455236166,21.6939,19.8837,75.280125,36.1469,142.6932,21.6939,134.1302,212.422975,158.23025,166.0542,1,31,42,87,5
"ZNF549",0.762498445369118,0.915832490926548,0.595239270969082,0.892995949455183,0.652667944294994,0.997897445087252,0.879680492697577,0.996905735153824,0.995780617173527,0.999025715301519,24.3685,140.19134516129,106.997404761905,112.677352873563,124.10424,NA,19.094429987142,13.1403159015895,10.6987596843402,20.5375122311491,24.3685,53.4221,31.158575,43.87135,93.293,24.3685,199.33325,173.669875,166.0723,138.2877,1,31,42,87,5
"ZNF211",0.999971998331967,0.991781014975641,0.595179645772265,0.999875131249694,0.999423540593816,0.513110048865131,0.999678347797318,0.999475354063211,0.987013797592247,0.999938821124067,221.7325,209.782638709677,171.367204761905,204.51737816092,197.93704,NA,15.4356802069455,12.6738638503016,14.1307852329372,30.2300027153588,221.7325,160.53175,108.88375,104.1044,173.6314,221.7325,262.56605,225.800825,273.2961,232.4514,1,31,42,87,5
"ZNF205",0.999928075214996,0.999409593302858,0.537718181174663,0.99947133578266,0.432342623988218,0.999999365241664,0.999990970143585,0.990608599849972,0.998193007120859,0.998374330586567,252.4458,239.685358064516,274.042526190476,273.320624137931,260.62416,NA,14.3992554684368,14.9921310881334,10.5924074160281,20.9224577587003,252.4458,195.71945,209.955725,194.6814,231.2419,252.4458,282.97905,353.01745,338.1138,268.7146,1,31,42,87,5
"ZNF45",0.999334152395037,0.988457850543046,0.817062052066577,0.998130911527675,0.997544329335182,0.856281432065987,0.999999957597902,0.991783114328474,0.857812032915425,0.97255230472112,257.3551,231.758006451613,204.204507142857,224.410259770115,254.90556,NA,15.1295228338184,12.8411066996743,13.5537607139413,6.64108655015126,257.3551,165.55015,151.543225,152.35095,244.998,257.3551,266.81015,226.662425,269.5616,260.0519,1,31,42,87,5
"ZNF133",0.989699637596771,0.999968511926058,0.522001976315456,0.997655747223479,0.944663287361374,0.785403263775738,0.992702265300947,0.999999988237879,0.939413209443543,0.997579869640266,378.3061,304.461325806452,361.441647619048,328.52586091954,305.57648,NA,16.5722149236937,29.3504888010108,16.4736597470534,43.1540315172453,378.3061,230.1878,242.16465,224.00635,237.3758,378.3061,378.14465,449.424925,392.00835,380.914,1,31,42,87,5
"ZNF436",0.999884679088356,0.771275425109156,0.000246860016706707,0.974875205034823,0.201685082832623,0.0215003984325765,0.846405591049049,0.271073780701722,0.999929884892276,0.798914936558756,470.315,530.594074193548,936.090616666667,708.857990804598,911.32044,NA,65.2976569983752,69.2288393442543,40.7149511859882,160.93250017186,470.315,315.6082,610.27595,421.7888,700.3457,470.315,628.7778,1226.3183,893.9437,893.9543,1,31,42,87,5
"ZNF484",0.997420370020385,0.951623912123686,0.460717722554739,0.962073496999598,0.480045164607009,0.998671573598948,0.917970061497378,0.744370572764568,0.994389540640895,0.98431829724375,121.8425,148.534696774194,179.86519047619,175.699065517241,195.05486,NA,9.88974776876081,13.7427486447765,8.69813656810784,44.0460766228004,121.8425,122.66795,122.29905,113.18075,161.1543,121.8425,187.67505,217.803825,215.2135,184.0207,1,31,42,87,5
"ZNF780B",0.635514282970643,0.495459741817874,0.89493309946485,0.582951046970798,0.997592559911049,0.936434676723174,0.379718808232882,0.77797250247359,0.951201550293594,0.82626174356179,637.1471,363.031329032258,321.447092857143,349.864575862069,255.1213,NA,25.5455818603203,30.2231939286736,22.7149974489198,40.5194478510135,637.1471,238.64395,191.567975,195.06975,212.3865,637.1471,455.18315,380.7768,430.3329,313.0529,1,31,42,87,5
"ZNF557",0.998173645667854,0.999831334797935,0.976448217917965,0.998703738102632,0.999921295898197,0.976210426759879,0.986948050339004,0.986549102686985,0.926640580783311,0.975868620089715,170.5795,193.100106451613,182.84975952381,191.005813793103,211.04616,NA,11.0213040600095,8.78661777443777,9.07624630171256,16.0956655627408,170.5795,162.4056,155.352,139.96015,181.2985,170.5795,236.848,212.8007,226.6462,222.2084,1,31,42,87,5
"ZNF337",0.999548010464588,0.999696755083607,0.999984685280013,0.999999356802183,0.92030129988868,0.926547613315934,0.996899923938566,0.997113255629859,0.995004591854464,0.948178427581314,459.6256,414.576596774194,419.061380952381,451.008955172414,380.32112,NA,31.8181561264416,24.747853853707,25.987402221889,16.4143222250387,459.6256,284.3969,337.468625,302.31475,373.6838,459.6256,550.66525,475.75635,534.1424,406.4516,1,31,42,87,5
"ZNF317",0.994143658907353,0.97249304283122,0.903948792281716,0.980217050332205,0.950570480156757,0.998165697779926,0.998359045244028,0.999696171247305,0.969044768494547,0.984116163786841,1065.0817,963.862032258065,912.951064285714,926.831333333333,986.42716,NA,39.7255749095689,31.1243246544254,29.2636582122795,59.3410765981592,1065.0817,831.0954,774.822675,720.3614,981.9892,1065.0817,1094.38,1016.293125,1063.49625,1083.4354,1,31,42,87,5
"ZNF426",0.999999999878226,0.999994982070791,0.997898684521255,0.999931401743987,0.973299333782326,0.819704587371005,0.999978152849337,0.999523263632459,0.995741030040514,0.999998247107223,222.5854,221.615370967742,236.356578571429,196.225220689655,201.03604,NA,51.5935243193296,32.9482030451919,16.3789596698741,29.0741635364562,222.5854,118.67085,127.422575,101.78745,183.3333,222.5854,242.1821,249.9014,274.1241,227.3022,1,31,42,87,5
"ZNF331",0.994216531142646,0.868633618479567,0.121177770142308,0.80972858932436,0.0108805623086401,0.969394665053406,0.814974755342748,0.496114259695627,0.992471560073766,0.999712624073356,30.9064,137.536351612903,284.168192857143,314.913968965517,337.35452,NA,34.0877353171148,36.514782783147,31.2848088554714,44.0851696789453,30.9064,52.27825,108.2608,115.61155,314.6863,30.9064,168.69225,331.319725,417.30715,360.2464,1,31,42,87,5
"ZNF227",0.998800206749236,0.996203141179648,0.994912824101009,0.999865087230936,0.979655480539125,0.792409223240382,0.999999999895059,0.980360701051143,0.93922473485604,0.997400456667493,274.5052,244.695638709677,234.630469047619,257.517493103448,273.95728,NA,12.4035979654974,11.5650638144974,14.150394081334,23.9202443926771,274.5052,198.26005,177.698875,179.6914,251.228,274.5052,295.33995,274.66955,306.8648,318.7121,1,31,42,87,5
"ZNF141",0.972265985642734,0.879623204639787,0.639065860300323,0.768649510785601,0.0699772264763253,0.761391343833624,0.952031060816619,0.997331993772782,0.996624383342526,0.915461440782116,13.6701,50.6,69.9101357142857,83.0061735632184,60.05248,NA,8.48965144232253,6.72611792662676,7.40345886036121,14.6854289927261,13.6701,10.15855,45.137725,38.6892,37.2892,13.6701,79.19705,92.152025,118.4429,91.4659,1,31,42,87,5
"ZNF304",0.999819231880372,0.999999996549311,0.939221515615154,0.99999952740089,0.855587773791916,0.9999045161135,0.999762226376475,0.999997900823423,0.99210375906015,0.986082313402615,285.5869,306.550751612903,284.211519047619,280.909440229885,309.80526,NA,16.9073526493455,18.106538912838,14.5626650766942,20.1926999454407,285.5869,248.9549,186.9313,174.26925,285.4839,285.5869,344.5534,342.0752,356.86995,311.284,1,31,42,87,5
"ZNF132",0.962373950516127,0.980096716628494,0.989833790485469,0.960202488893921,0.999999975757704,0.972750821020596,0.980776831573795,0.9998978355757,0.99998666262968,0.999848433341104,26.1516,54.6407419354839,49.9791952380952,54.798367816092,51.7073,NA,8.27352913943572,4.55586583689869,4.89751319152146,10.8382747178691,26.1516,29.97255,27.5322,29.4872,38.9785,26.1516,59.7516,66.4451,66.0064,52.8119,1,31,42,87,5
"ZNF20",0.994821698087848,0.968868935387197,0.843058623206026,0.988776770974921,0.994189616472378,0.917724753704014,0.999999827099356,0.940093740235686,0.69572593214395,0.860755822891576,113.8187,98.4320967741936,89.1151071428571,95.1681252873563,112.58064,NA,4.88204573998669,5.04208619141115,4.76481073029579,7.09345070586946,113.8187,78.05905,66.213825,67.8878,101.3689,113.8187,114.70715,110.99075,118.08135,116.4073,1,31,42,87,5
"ZNF670",0.94228109495273,0.910719841864989,0.992909638497206,0.94309045694792,0.999998333350518,0.975235759063468,0.999972313522509,0.655318764545854,0.500923717133334,0.628891076194051,54.7548,90.2343580645161,94.9133857142857,89.7334367816092,60.05628,NA,8.30690517956186,8.33736518258964,4.57164436605322,10.1869344764458,54.7548,57.55245,59.328925,63.11955,47.0122,54.7548,126.2188,125.8274,111.32685,65.1719,1,31,42,87,5
"ZFP37",0.954709394856339,0.797872851029688,0.414550388857282,0.74064041277009,0.113710092265235,0.986079500015225,0.856378388427616,0.937115923348317,0.999991346539001,0.998444517452602,5.3492,42.0998677419355,63.1459738095238,68.0691735632184,61.24702,NA,5.42715048318421,6.87062534590209,6.43377298186758,12.8964009067802,5.3492,23.169,29.4028,27.6232,36.4775,5.3492,56.69245,96.21285,88.42805,71.7444,1,31,42,87,5
"ZNF189",0.711119305986433,0.959228074447757,0.0937050861070371,0.926037359356108,0.168401121665387,0.964221920468039,0.994879518073754,0.389753029570701,0.981068473439291,0.917000625546912,294.2051,583.275558064516,449.983992857143,477.875170114943,390.9762,NA,50.8076238031321,29.0944724220677,23.624172858871,59.5782859717364,294.2051,347.19025,315.845175,319.4784,311.6083,294.2051,817.342,591.669725,559.4988,462.8511,1,31,42,87,5
"ZNF434",0.422517769600864,0.450673344534427,0.999412449217072,0.455084285290223,0.997121628628003,0.999983284637205,0.625733933036241,0.992075866204942,0.997224595322527,0.998026700099103,193.4621,356.734177419355,351.736804761905,350.116475862069,336.90886,NA,15.9775976492126,15.4548388519312,9.81814880500848,38.5742873257122,193.4621,298.0803,288.62,284.41125,282.2445,193.4621,413.38875,429.035125,412.5217,394.7189,1,31,42,87,5
"ZNF287",0.973022801908036,0.733195233825606,0.0688344731015301,0.829991419567964,0.229017154150051,0.858230008169476,0.276718928503769,0.0129611796581598,0.285831382049048,0.112287899769295,11.8871,39.8068806451613,67.8219285714286,59.4452689655172,109.65068,NA,5.77282208306836,6.49329990139866,5.29448435670415,23.7247044133831,11.8871,11.4525,38.6653,20.10315,88.7437,11.8871,63.1352,91.2729,88.14565,144.6237,1,31,42,87,5
"ZIM3",0.99999997346497,0.991463672133342,0.352512481692926,0.999994855802895,0.99924136388876,0.245357049541374,1,0.999999476144849,0.87160402529814,0.999883338770926,0,0.0709032258064516,1.7224619047619,0.262033333333333,0,NA,0.0520696230523559,1.13841722309697,0.0973593364949883,0,0,0,0,0,0,0,0,0,0,0,1,31,42,87,5
"ZFP14",0.999125431672594,0.999999999986422,0.813501315131841,0.999620019607478,0.188438715667032,0.821523254721966,0.999993274952592,0.996360993341415,0.999781012324831,0.97192238281031,142.6449,116.959193548387,142.928471428571,163.234852873563,134.49976,NA,15.1474701138613,12.7598313031764,12.3361642841418,21.6493649392448,142.6449,65.0228,81.346075,81.4004,116.4073,142.6449,146.067,191.300875,206.69265,149.5792,1,31,42,87,5
"ZNF473",0.90663717408035,0.690076179354893,0.364263190306102,0.829558613746804,0.92077499786468,0.646397268794584,0.595462121906271,0.589942628330827,0.978542415862034,0.778385842878981,470.7281,349.056829032258,289.817102380952,325.206725287356,252.4726,NA,24.7836284343681,21.7873605656779,14.7802030527655,23.2480604967167,470.7281,251.02215,210.566125,225.998,219.219,470.7281,414.5579,338.187275,386.22955,257.7957,1,31,42,87,5
"ZNF614",0.83273684526549,0.799072478581684,0.998907998661543,0.841604861558089,0.999911817790932,0.988192827695337,0.727627294635534,0.973109144560752,0.988167187709963,0.955191411550412,460.0297,242.728503225806,229.92255,248.72275862069,182.55936,NA,39.6263609990436,33.7030042561014,20.7557164705837,60.0591177035144,460.0297,87.55075,92.876175,121.045,104.0323,460.0297,312.5528,304.719525,339.05295,225.9426,1,31,42,87,5
