"gene","p-adj-Low grade dysplasia-High grade dysplasia","p-adj-Negative/no dysplasia-High grade dysplasia","p-adj-Negative/no dysplasia-Low grade dysplasia","mean-High grade dysplasia","mean-Low grade dysplasia","mean-Negative/no dysplasia","SEM-High grade dysplasia","SEM-Low grade dysplasia","SEM-Negative/no dysplasia","Q1-High grade dysplasia","Q1-Low grade dysplasia","Q1-Negative/no dysplasia","Q3-High grade dysplasia","Q3-Low grade dysplasia","Q3-Negative/no dysplasia","count-High grade dysplasia","count-Low grade dysplasia","count-Negative/no dysplasia"
"ZNF398",0.602156190010127,0.704966771153328,0.855720443451588,705.655296296296,603.401266666667,658.382560526316,44.989591116782,48.0026978951646,40.1641600495847,582.52615,574.79605,446.22545,859.47385,647.71185,786.476375,27,6,38
"ZNF498",0.850369767922463,0.849648087897982,0.661027846819069,393.698777777778,341.307683333333,422.992794736842,37.4807158790718,32.3908475559112,38.5518053047417,291.0669,276.138275,276.5794,434.23845,381.16775,451.568575,27,6,38
"ZNF441",0.705014416652557,0.327923385246478,0.234433266436913,128.344851851852,153.0836,103.529239473684,11.7562475422861,64.8810914209628,8.29928139486631,79.87485,62.309675,64.572225,155.55555,148.92555,131.841575,27,6,38
"ZNF420",0.857947744026327,0.407638705609223,0.411561745926853,92.9879222222222,106.616433333333,74.4666631578947,11.6665520644668,36.8739786251829,7.82716049019388,47.3054,40.022575,40.155675,135.16225,184.0045,103.61115,27,6,38
"ZNF763",0.179048432569311,0.0138842243619862,0.00232940858567243,38.6483740740741,57.5297,21.6554078947368,4.10736330102738,19.639840674201,3.10273078177257,23.93895,16.7421,9.17605,48.31005,96.948025,28.326,27,6,38
"ZNF679",0.791466044413259,0.424956502757694,0.998681290333063,0.587362962962963,0.191633333333333,0.162763157894737,0.396154498522202,0.148405951512884,0.0918874008223486,0,0,0,0,0.1824,0,27,6,38
"ZNF682",0.984441406521905,0.98599152080983,0.996333258178299,33.0612703703704,37.0314333333333,35.1613,10.7771782950541,12.6986453748859,8.37299040976689,5.8771,14.473975,6.217875,21.6523,57.397725,46.196425,27,6,38
"ZNF772",0.669249081641777,0.107387601596322,0.952736530631024,219.445885185185,171.84615,155.812263157895,30.4381655575561,43.3045564111965,15.1791632658959,97.7548,78.94755,84.46225,324.55315,240.759125,194.8705,27,6,38
"ZNF257",0.373479092925125,0.101043756134266,0.979771180186927,31.4726333333333,3.01845,6.97233947368421,14.4094949095194,0.968838957980118,1.40290657157595,2.5725,1.1018,2.202,8.13195,5.080275,7.47945,27,6,38
"ZNF785",0.351233550124328,0.0798950191486183,0.0244156442942614,252.293814814815,311.9986,199.841765789474,14.6456185774917,51.5272470736341,16.542055134696,189.313,232.063,141.0136,299.955,396.908,231.87885,27,6,38
"ZNF98",0.838823853855456,0.929504805254614,0.710535544696338,2.29401851851852,0.225333333333333,3.03734210526316,1.08593843576368,0.0756382163841651,1.60870281022207,0.2695,0.0608,0.41195,1.2818,0.366025,1.69545,27,6,38
"ZNF786",0.670203417606183,0.93368967376759,0.529154399714928,206.908233333333,241.445416666667,198.957565789474,18.2672521898656,33.0737466420666,14.0474602928023,132.0138,176.321075,134.643175,253.83765,303.182825,231.4802,27,6,38
"ZNF517",0.784420580242525,0.868785094386031,0.918266504256059,180.188703703704,212.00215,193.679344736842,16.068760522372,64.0126610677489,18.0778124787304,126.54725,132.9553,124.3785,234.5402,200.959525,261.88405,27,6,38
"ZNF675",0.960386645294728,0.885032171542951,0.847710229786228,140.286418518519,155.16835,125.848902631579,26.1008739761243,55.1356235203989,17.6548476795126,68.82355,53.70045,50.104525,165.7687,193.546175,160.01945,27,6,38
"ZNF860",0.0038855221821551,0.229087665147257,0.000124150310604643,97.8229518518519,205.873116666667,67.8955342105263,13.8718374521264,66.0092173836726,7.73781288389447,61.23235,105.894225,29.546075,110.5145,254.374525,101.808475,27,6,38
"ZNF695",0.883306552821013,0.999934962660609,0.880162622540272,87.5526518518518,67.8666,87.3015947368421,13.2252574589725,33.1933924016111,17.2349871686813,42.20845,4.3655,32.266575,118.0423,114.394475,96.29855,27,6,38
"ZNF665",0.432660207411441,0.719295016387462,0.684508618257243,8.05724074074074,15.57745,10.6748973684211,2.20460969614013,9.05399089391892,2.12690323786056,1.54775,2.26285,1.65265,8.06675,14.69575,14.636525,27,6,38
"ZNF624",0.478965406166112,0.0943949910315793,0.999854342727053,87.0998185185185,113.53225,113.891694736842,7.05075831587567,42.569055531632,7.68530610193968,64.38465,51.725925,83.8716,108.19015,114.924225,152.894725,27,6,38
"ZNF841",0.593128286294569,0.240559977032634,0.997177923595458,445.567762962963,342.800933333333,350.122876315789,39.2397696377252,88.3724689154704,41.0555820784639,249.7807,205.576975,186.99395,571.34695,357.799775,402.2742,27,6,38
"ZNF615",0.296957096387248,0.418228462103155,0.694700456636414,232.5386,134.327166666667,186.276647368421,36.1508448218854,31.6113221642886,18.5173933081922,98.0458,99.573525,118.73885,271.74965,151.986325,230.659925,27,6,38
"ZNF433",0.0229743692250203,0.693606872164121,0.0605863069861373,42.4208333333333,99.1794666666667,51.9746394736842,5.8922450973807,50.195192869249,5.76189877149717,13.7759,21.0333,27.195175,61.3644,115.175575,65.322475,27,6,38
"ZNF595",0.515631531262835,0.99993177902524,0.501099202022807,119.552896296296,189.0469,119.943805263158,21.31637948803,99.3579763538019,22.4770264678351,36.80175,59.8602,54.1713,152.60605,201.029225,140.617475,27,6,38
"ZNF460",0.0832984925868866,0.90398650390549,0.123298176477004,466.113781481481,228.07555,439.941755263158,50.6587378644019,25.9865267302725,39.4336221716277,281.88695,180.409125,269.106525,576.82085,262.345175,512.078625,27,6,38
"ZNF81",0.989285694565041,0.598766876818425,0.91095767098413,234.935196296296,227.0069,204.283792105263,21.9607510551463,68.7502245195898,20.5432658899507,136.571,141.512075,113.91715,327.9846,248.8047,207.367425,27,6,38
"ZNF780A",0.938278707014843,0.0604534586395139,0.221847646048665,335.617759259259,356.646333333333,255.803436842105,27.0863261850493,81.8939359063688,19.9519639715963,247.273,230.045275,174.566075,399.8787,349.360825,318.304,27,6,38
"ZNF461",0.55603793438402,0.915051336887668,0.402352161984137,63.4044037037037,85.3765666666667,58.6608684210526,10.1206244123007,35.5642549980048,5.32681661190814,22.89185,36.33385,41.189775,75.46995,77.131025,66.8785,27,6,38
"ZNF181",0.340157425744674,0.421727856589171,0.082982714660125,168.425418518519,216.293283333333,144.586260526316,13.3388494057857,68.8323002406448,9.09412648788237,121.13145,98.65825,97.49975,210.05995,249.7912,188.609325,27,6,38
"ZNF44",0.906650758525226,0.0949118753412014,0.718612703834619,232.232751851852,215.593683333333,185.790621052632,17.7971308586752,51.7965982342368,12.3993684103899,166.547,138.83705,134.232125,290.15445,222.851525,243.4279,27,6,38
"ZNF790",0.280182286904139,0.939434824504602,0.3537104835342,42.9155851851852,76.7981333333333,47.0560973684211,9.41810932638111,45.9165502161887,5.10744694494346,9.8527,23.97755,19.00715,58.73175,54.802275,73.49925,27,6,38
"ZNF677",0.943753673996435,0.998261488586063,0.951348950639623,9.26932222222222,7.5116,9.09946578947369,2.68224758487396,2.42666945723283,1.80575632819536,2.35035,5.243675,1.858175,10.22885,6.91515,10.14885,27,6,38
"ZNF823",0.634335689713809,0.0668413370696114,0.929747749536342,210.625359259259,176.633316666667,163.444892105263,15.5273914310971,28.1657560722404,13.8627541358127,158.5271,114.465825,98.290475,226.61805,229.9264,220.21285,27,6,38
"ZNF311",0.566937588960918,0.744599861735366,0.805459579806071,19.3998333333333,35.43545,25.8300868421053,7.01967199432974,21.7556834146658,4.89759784729212,1.9616,2.850125,5.637975,15.07175,44.8018,34.92455,27,6,38
"ZNF347",0.851949932100076,0.873122210841072,0.680056731795628,67.9055777777778,42.3275166666667,81.0288105263158,23.2658317210662,14.4797425286367,16.067073006198,11.1942,25.972425,18.722475,52.9321,47.966,101.1217,27,6,38
"ZNF273",0.798517336927854,0.539820355575369,0.418551965732954,153.652777777778,122.418533333333,182.591339473684,14.5252903898814,21.9789701368629,21.2024523430441,103.5772,79.270125,106.57,178.62285,164.05925,214.1595,27,6,38
"ZNF84",0.407959745719521,0.768585599378445,0.20590675400043,577.116155555556,763.34865,521.174163157895,48.3041246392007,303.55482239986,42.9980007911196,393.48165,365.1068,315.12375,724.22985,800.054725,699.869775,27,6,38
"ZNF667",0.942518746568086,0.575941346791234,0.63402619956434,11.4912296296296,7.67998333333333,18.0097868421053,2.68085540174511,1.40212213196442,5.33408561620702,4.56175,6.405725,2.4771,10.97975,9.7057,14.2448,27,6,38
"ZNF649",0.869294304430097,0.996969829435354,0.882812673927358,127.835592592593,106.465933333333,126.083684210526,20.5834608226516,33.9638002703925,13.7654252889832,46.6578,52.1329,66.974725,208.7216,140.343875,157.4133,27,6,38
"ZNF248",0.445327608590549,0.999064179759379,0.412672931300992,259.456714814815,332.412816666667,258.082913157895,21.7584461429567,98.3184792375757,20.1442356363129,190.94295,198.5483,169.6864,312.9997,417.088575,335.77995,27,6,38
"ZNF544",0.46776443300099,0.480032378123109,0.152218576246884,682.659759259259,827.025983333333,603.552363157895,66.8177104018797,84.8244916515838,34.0243713713232,399.00715,768.930475,489.848575,837.6821,941.98895,738.08765,27,6,38
"ZNF251",0.968628333736339,0.988536549504718,0.941799827610992,257.607322222222,273.597116666667,252.245257894737,24.7049832457116,132.560783281923,19.2269925243043,166.97715,105.1739,159.351425,317.7297,219.785475,340.549625,27,6,38
"ZNF607",0.854060142250336,0.0796278761465877,0.175038720514304,207.804325925926,238.84135,136.952542105263,28.1781537559367,94.7765674606572,14.4520839208587,116.71545,146.5751,79.8245,252.4447,208.02975,166.7428,27,6,38
"ZNF334",0.654970711918727,0.998714328329715,0.657206214436844,37.9862814814815,73.4308666666667,39.071902631579,22.3715613517663,56.8149323074704,8.17369967428447,1.7973,3.9261,4.563775,7.30095,51.8372,55.280975,27,6,38
"ZNF485",0.512391002863982,1.17120307205898e-05,0.198603885944685,115.563118518519,92.59325,57.5270631578947,11.9779131168741,14.6250835188669,5.08067286153635,63.76275,77.8772,35.77125,152.95485,117.086875,70.42285,27,6,38
"ZNF192",0.932727234769497,0.264337270088,0.85404291599224,616.563666666667,567.687466666667,496.024657894737,57.0987647481506,169.99908998553,47.3267602255384,419.0191,222.72115,293.8441,721.81015,892.922475,580.005975,27,6,38
"ZNF442",0.842706508922624,0.972521938153321,0.763032060417401,13.4078962962963,15.84975,12.8591605263158,1.83451962955164,6.76047185861806,1.37501038823201,6.0077,3.967175,5.913825,19.26015,23.343425,19.60845,27,6,38
"ZNF813",0.942877548940141,0.97485005622688,0.890585610226576,73.5903037037037,88.0926833333333,68.2697394736842,22.5319445009,39.7455574408463,13.429550662315,7.03865,15.829,14.80045,80.0639,122.228775,85.6993,27,6,38
"ZNF26",0.555072802470281,0.610832677162044,0.247692791632752,283.981611111111,348.16085,251.258447368421,24.0921682794642,110.535706295636,18.8535269831296,209.1054,190.699375,170.911925,342.4354,430.642525,293.824025,27,6,38
"ZNF69",0.998109156890916,0.0003387201759395,0.0490723864914362,71.9462703703704,73.0043833333333,30.7487078947368,8.35508450367194,17.4995859336617,6.00360384842629,40.4938,45.9535,4.7146,109.286,102.16055,52.916225,27,6,38
"ZNF583",0.948453963206622,0.997483537246422,0.932156553872586,25.6151037037037,30.02125,25.0791973684211,5.66853793865323,14.9367598761523,5.21231963722665,7.35175,9.1961,10.6624,32.00745,30.67785,28.343225,27,6,38
"ZNF568",0.968992269067536,0.237914059146283,0.467517455217426,25.5900666666667,20.24145,45.9923894736842,8.19966207455668,9.46609237583457,9.1287275242307,5.66805,9.726725,12.490675,29.25115,18.5803,50.712425,27,6,38
"ZNF480",0.956283945578809,0.40407133507811,0.55852560001703,529.501851851852,560.87755,450.087813157895,49.5635101410527,63.6714160805708,39.5897508415505,348.525,474.7972,257.35335,639.13605,653.138575,593.01985,27,6,38
"ZNF587",0.357796727960096,0.00411090410709292,0.878613903746645,1970.27984444444,1427.66611666667,1241.81565,157.084789240327,248.886707647831,152.144589624534,1416.0993,1046.337975,784.733725,2338.8613,1587.550425,1420.557325,27,6,38
"ZNF808",0.873325207249274,0.354201261157545,0.398100042398969,347.455892592593,389.838833333333,281.477915789474,36.8287829573543,70.6953184324472,30.7856941358343,203.04825,272.5289,164.5169,464.9273,450.301775,346.8153,27,6,38
"ZNF43",0.605266648097014,0.892213283052145,0.75007599947272,107.412740740741,183.067383333333,127.448736842105,26.552900520153,115.870820372949,28.9798171984113,27.02675,43.008825,27.225875,104.0242,127.37315,146.116675,27,6,38
"ZNF28",0.505742752434518,0.0725785839412109,0.046112013179805,559.104292592593,710.135866666667,390.919005263158,67.9893250552857,154.316912913184,38.8407632567844,331.2808,417.254225,222.737875,761.7543,805.794375,541.348325,27,6,38
"ZNF627",0.682911709940384,0.131046939928951,0.125331634261435,272.348877777778,304.451333333333,230.389676315789,13.1693923327485,70.4806681576334,12.5943705222017,222.5136,215.461625,182.39345,302.25765,391.53205,287.30435,27,6,38
