"gene","p-adj-Current-[Unknown]","p-adj-Never-[Unknown]","p-adj-Never-Current","mean-[Unknown]","mean-Current","mean-Never","SEM-[Unknown]","SEM-Current","SEM-Never","Q1-[Unknown]","Q1-Current","Q1-Never","Q3-[Unknown]","Q3-Current","Q3-Never","count-[Unknown]","count-Current","count-Never"
"ZNF436",0.991827851524394,0.575377743449646,0.999100244792335,647.261042857143,697.9123,714.692136486486,44.382011587937,NA,50.5895281741559,370.2834,697.9123,430.7028,776.0934,697.9123,898.51155,77,1,74
"ZNF484",0.935550498560164,0.906592843714346,0.957888162268061,160.225937662338,135.8232,155.436513513514,6.73319736098247,NA,9.21844294019576,120.5179,135.8232,101.290525,189.9371,135.8232,187.614425,77,1,74
"ZNF780B",0.78946733474921,0.277656484912306,0.912684349089803,385.971485714286,242.8544,331.782918918919,25.4074795778406,NA,24.4570105617745,236.1921,242.8544,193.963625,438.9222,242.8544,398.948475,77,1,74
"ZNF557",0.998236913822057,0.366680055243777,0.958935226019065,195.646933766234,199.6664,180.063660810811,7.64452099101729,NA,8.6100166170789,145.875,199.6664,125.655575,239.945,199.6664,211.05015,77,1,74
"ZNF337",0.876650830778166,0.162008448366482,0.712529009709456,448.350403896104,546.3943,388.86482027027,27.1336034897276,NA,17.2354901923463,311.5355,546.3943,278.163375,532.2906,546.3943,477.070375,77,1,74
"ZNF317",0.940186355348488,0.573931468690626,0.983872647847535,940.231085714286,859.3792,900.891877027027,29.4674005356728,NA,25.4830975993948,741.3479,859.3792,729.749625,1074.6143,859.3792,1031.273625,77,1,74
"ZNF426",0.0228732476609674,0.376707938762516,0.0404900115782022,197.523794805195,764.5533,243.487293243243,15.0288887963454,NA,31.3751306042876,115.8455,764.5533,111.021875,240.3811,764.5533,264.232475,77,1,74
"ZNF331",0.990882261763449,0.747031155326939,0.999932353168614,286.72531038961,250.0524,253.204725675676,32.821942894414,NA,32.2022528732455,88.6128,250.0524,53.577175,355.8174,250.0524,359.269375,77,1,74
"ZNF227",0.719810113845703,0.924813555280722,0.756524052029803,261.16074025974,163.6263,253.478906756757,13.4272617101231,NA,15.4129423421192,185.9,163.6263,177.380325,310.7609,163.6263,274.4375,77,1,74
"ZNF141",0.999778429347652,0.90352210478216,0.995598993879962,70.5051597402597,71.6671,66.4817175675676,7.6801433453213,NA,5.25020927565063,28.0843,71.6671,30.619625,92.7496,71.6671,87.6031,77,1,74
"ZNF304",0.519152264587335,0.962903316274828,0.493341443773889,305.528011688312,142.0824,311.855605405405,15.0573133127152,NA,19.0244205256191,224.9337,142.0824,206.668725,361.1111,142.0824,380.300725,77,1,74
"ZNF132",0.993107142952418,0.586568533649176,0.960194706089016,51.3058285714286,46.6306,57.9652648648649,4.57031649491931,NA,4.98082738169659,29.2769,46.6306,29.821475,61.6352,46.6306,72.58415,77,1,74
"ZNF20",0.927163825079365,0.841197505994126,0.889537468957332,101.439277922078,116.1758,97.8331202702703,4.38781672323227,NA,4.71351914360812,75.8032,116.1758,70.15605,116.3184,116.1758,124.554425,77,1,74
"ZNF670",0.63658904256031,0.864771662602785,0.584273825370781,89.8632792207792,130.0617,86.1814932432432,4.4248584336397,NA,5.67858408612081,64.6792,130.0617,55.156525,112.0643,130.0617,111.276,77,1,74
"ZFP37",0.945219813548154,0.999640945371094,0.943866195951005,54.584087012987,68.5375,54.4039527027027,5.77774042349542,NA,3.96054560374988,17.3611,68.5375,30.076425,71.3105,68.5375,68.032075,77,1,74
"ZNF189",0.687849133955408,0.125468726975661,0.867524982299298,521.228818181818,334.5507,449.483685135135,28.1800532360758,NA,23.0719958752928,362.6845,334.5507,307.6111,666.2474,334.5507,581.390075,77,1,74
"ZNF434",0.37722675447582,0.249643266696639,0.529289327663866,363.65794025974,240.6637,339.872532432432,10.639034929267,NA,10.3897616637321,298.1444,240.6637,281.532025,434.3542,240.6637,408.89505,77,1,74
"ZNF287",0.985609310551248,0.999943723267414,0.985903077468734,56.1157077922078,63.8432,56.1935810810811,5.42525443829647,NA,5.47249581545232,20.1005,63.8432,14.79765,89.5434,63.8432,81.9705,77,1,74
"ZIM3",0.967907771210593,0.540093815884915,0.997167049787568,0.136114285714286,0.9389,0.702122972972973,0.0508764957379378,NA,0.541936874555983,0,0.9389,0,0,0.9389,0,77,1,74
"ZFP14",0.999963218130443,0.72725078446113,0.990545165164253,154.989881818182,155.8524,141.986771621622,12.8940222831394,NA,11.1138018301049,81.3329,155.8524,74.462375,202.6711,155.8524,176.1593,77,1,74
"ZNF473",0.66160913841394,0.999957059908257,0.662645650810735,339.21361038961,472.8776,339.433554054054,15.9816430232933,NA,19.2292915510451,241.9391,472.8776,220.969925,392.6777,472.8776,424.851375,77,1,74
"ZNF614",0.620401879858433,0.205745479106794,0.78895756574657,288.023253246753,82.9335,227.306063513514,24.6149789358679,NA,25.6839107363966,146.7645,82.9335,83.52465,400.1468,82.9335,307.68265,77,1,74
"POGK",0.996650809369807,0.284763591048617,0.984617306757726,2052.00776493507,2005.1137,1904.27627837838,65.0653308639579,NA,72.4827087997583,1558.7389,2005.1137,1530.00625,2394.823,2005.1137,2159.999825,77,1,74
"ZNF514",0.955635435044988,0.820066009963488,0.921990695921035,267.495637662338,307.3235,254.016078378378,16.6308651161957,NA,14.9960217740029,167.599,307.3235,166.3705,353.5912,307.3235,307.6206,77,1,74
"ZNF300",0.99948401206259,0.95308264443574,0.996622302223201,108.000731168831,110.7867,103.651641891892,10.6234110431676,NA,10.1733340573292,32.2569,110.7867,46.8316,152.6331,110.7867,142.044725,77,1,74
"RBAK",0.996172191990751,0.747453448299813,0.999351919646688,800.354606493506,776.7586,767.054897297297,32.596898850126,NA,32.0658642273759,603.8251,776.7586,610.9375,950.8064,776.7586,910.753625,77,1,74
"ZNF92",0.857233501543364,0.848760631083283,0.810974260900387,322.848355844156,406.8437,308.830793243243,17.5669245232886,NA,18.7649151722425,218.0343,406.8437,195.069675,417.4698,406.8437,372.279175,77,1,74
"ZNF157",0.996024168971253,0.99694460321661,0.994822956629664,2.17459350649351,2.5037,2.12794054054054,0.453480990257294,NA,0.430529976213113,0.2882,2.5037,0,1.9432,2.5037,2.174775,77,1,74
"ZNF182",0.842211093851792,0.403063790965333,0.934782278614047,198.98114025974,137.9419,176.182990540541,13.8529387067507,NA,10.826986753965,120.3741,137.9419,105.5119,239.1857,137.9419,221.5678,77,1,74
"ZNF673",0.917698241209468,0.972660949513138,0.902741192721133,174.933781818182,206.5514,172.029409459459,9.48891470327244,NA,8.7768239410034,123.3017,206.5514,117.849925,208.6471,206.5514,216.5218,77,1,74
"ZNF41",0.675261306318053,0.330131467595514,0.812232706513802,309.892957142857,189.3388,277.011616216216,18.9142787056176,NA,12.875792868955,215.4594,189.3388,197.564225,356.102,189.3388,331.353725,77,1,74
"ZNF7",0.975966437023234,0.509801619591888,0.919860439690965,464.443814285714,428.2218,495.381136486486,16.7988585882031,NA,22.4438179760888,352.1355,428.2218,360.300475,564.661,428.2218,597.654025,77,1,74
"ZNF214",0.524388155885432,0.224814371562684,0.692894658057502,32.5150311688312,2.5037,25.1015324324324,3.30822204472151,NA,2.99128097569856,14.3148,2.5037,7.010475,44.3548,2.5037,34.724975,77,1,74
"ZNF215",0.771357654842271,0.699636707972721,0.843266327134615,70.364561038961,25.6625,61.8791391891892,7.06478556411116,NA,7.82099673302224,14.8148,25.6625,8.768,107.3134,25.6625,88.4118,77,1,74
"ZNF547",0.569933166767575,0.951801947742417,0.600631969385934,47.7669090909091,15.9076,46.2436135135135,3.25751219466234,NA,3.93012286245699,28.6885,15.9076,22.162025,61.1407,15.9076,59.9546,77,1,74
"ZNF773",0.471727550288288,0.628143442812518,0.563642259494511,76.7331194805195,18.7774,69.3699067567568,5.39639048245954,NA,5.91896342803901,39.5043,18.7774,36.6051,107.179,18.7774,87.438825,77,1,74
"ZNF776",0.326957925464999,0.0703624222312583,0.532742483830566,439.804587012987,184.9261,375.781977027027,21.2696283003711,NA,19.2896943222616,304.9307,184.9261,257.82075,543.1002,184.9261,463.7189,77,1,74
"ZNF256",0.996862614361661,0.868128362669782,0.999976855966849,68.6228155844156,74.1707,74.6469445945946,7.86247680170514,NA,8.94816009191194,14.9741,74.1707,22.603175,104.1278,74.1707,101.373125,77,1,74
"ZNF599",0.996093785573097,0.959904351966683,0.99096675693043,68.3648116883117,64.4691,70.4026554054054,5.46859940612885,NA,5.08055016559545,38.8172,64.4691,38.37655,84.6948,64.4691,92.822225,77,1,74
"ZNF18",0.945568099899183,0.136570894607784,0.804363101216852,160.451064935065,139.8917,180.484810810811,6.53699480736968,NA,8.18616283369497,125.2584,139.8917,127.366975,186.7683,139.8917,215.54135,77,1,74
"ZKSCAN2",0.9411979422044,0.634079686455761,0.981467770692339,148.557124675325,175.8817,160.700056756757,8.28722823094969,NA,10.5087799449318,107.0102,175.8817,93.209425,173.2325,175.8817,186.33255,77,1,74
"ZNF689",0.97823871809413,0.929208752817548,0.989145436127733,185.251538961039,202.796,190.436787837838,9.23945450083413,NA,10.8394866590269,130.5779,202.796,138.4019,221.0652,202.796,226.654475,77,1,74
"ZNF19",0.508349148121175,0.827560778216361,0.567560032077008,48.3253558441558,22.6737,46.1365378378378,2.87172015631055,NA,2.35845119214263,28.8294,22.6737,30.430075,68.0909,22.6737,58.597525,77,1,74
"ZNF230",0.499788588953045,0.299977858708842,0.650637407492587,83.3344922077922,37.2418,73.4855405405405,4.85487360451355,NA,4.48514958658159,53.7634,37.2418,47.767825,98.5521,37.2418,85.699825,77,1,74
"ZNF222",0.355729090776465,0.577947865527796,0.446440467477036,31.1571857142857,6.835,28.2992635135135,2.09473667047728,NA,1.93541091820158,19.1056,6.835,17.301775,38.52,6.835,34.315025,77,1,74
"ZNF221",0.811046189663426,0.919916467045796,0.844632669719959,31.8651480519481,12.5183,29.8909162162162,3.18717268368656,NA,3.97067955305149,12.019,12.5183,8.3288,41.5094,12.5183,38.43405,77,1,74
"ZNF233",0.816948110859776,0.999996743489969,0.816820033705803,30.8623155844156,10.3276,30.8756310810811,3.52197460772033,NA,4.21961562083701,12.953,10.3276,11.193625,35.6603,10.3276,37.3366,77,1,74
"ZNF235",0.815498705622362,0.98398184981609,0.830464365566807,85.6990155844156,54.8175,84.2949675675676,4.90629921457432,NA,6.63066994973299,57.1663,54.8175,49.769875,107.5708,54.8175,104.1639,77,1,74
"ZNF208",0.857334023841229,0.967922516541857,0.876481037872878,22.4500623376623,62.9043,25.4594810810811,5.13909699258242,NA,11.4339888705082,4.4392,62.9043,2.0292,22.7045,62.9043,13.60005,77,1,74
"ZNF714",0.773979834094114,0.964238604009668,0.797794258907405,335.733241558442,499.7919,345.72567972973,24.7570600223374,NA,30.1463199763268,184.0091,499.7919,134.572875,444.8457,499.7919,470.010575,77,1,74
"ZNF394",0.962878231875291,0.0749176323900128,0.995204020549633,563.614476623377,495.4105,471.094145945946,35.9220169168572,NA,21.1521957273531,403.141,495.4105,353.292975,613.395,495.4105,536.494675,77,1,74
"ZNF333",0.262360413692419,0.991653728683485,0.253830429395029,164.472071428571,273.8371,163.081798648649,7.33330751597891,NA,8.60620040698328,117.4461,273.8371,115.037025,209.5907,273.8371,196.9475,77,1,74
"ZNF382",0.388495404334286,0.427603853282717,0.285707744657228,27.3943350649351,71.3541,20.6578243243243,4.32386342733628,NA,3.18220589214917,7.7178,71.3541,6.534825,27.9054,71.3541,19.03885,77,1,74
"ZNF577",0.758958451474807,0.884466674822189,0.802877368087662,94.0409896103896,28.792,87.0055472972973,11.3672405828306,NA,9.54334681767452,28.5115,28.792,29.159825,133.0466,28.792,116.738325,77,1,74
"ZNF75A",0.801126496820257,0.233997318883944,0.92724337242726,229.084081818182,150.8451,196.487466216216,15.6924161455759,NA,12.1115951152248,142.3186,150.8451,125.4462,294.3396,150.8451,256.919975,77,1,74
"ZNF496",0.25664023035528,0.420294571636927,0.355135466985317,422.943858441558,767.3699,467.303121621622,20.5018117560508,NA,28.9053030627716,290.7569,767.3699,324.816075,491.2084,767.3699,537.7274,77,1,74
"ZNF2",0.925553149748416,0.148972637197998,0.99721239250621,104.3746,117.9847,115.399745945946,3.62802789029071,NA,4.65352465632851,79.8682,117.9847,88.787825,123.0866,117.9847,134.69325,77,1,74
"ZNF589",0.690918801423003,0.850239925685095,0.744601002457029,267.616325974026,400.8976,281.880595945946,21.0861080064636,NA,15.3876828812236,165.8241,400.8976,185.11125,304.7974,400.8976,370.8882,77,1,74
"PRDM9",0.954696636965345,0.564188613586881,0.991460837963339,1.25868181818182,3.7555,2.68158108108108,0.592467336164187,NA,1.27959604783742,0,3.7555,0,0.5326,3.7555,0.3365,77,1,74
"ZNF12",0.941793967712918,0.190273193316756,0.998790213033563,1047.99322077922,921.9705,939.874494594595,47.2315361603787,NA,39.4525533421251,782.5548,921.9705,676.65385,1254.4025,921.9705,1136.280925,77,1,74
"ZNF202",0.999188808832413,0.921048985539435,0.994410123072755,269.019193506493,265.3873,274.935394594595,9.29798388663545,NA,12.2618275482173,216.1572,265.3873,200.499575,321.0689,265.3873,320.466875,77,1,74
"ZNF3",0.532435968373256,0.939566037218233,0.499069444240102,770.653612987013,1163.6357,750.723898648649,44.9730590624085,NA,38.2470270797833,540.7585,1163.6357,530.1322,901.0951,1163.6357,889.76315,77,1,74
"ZNF606",0.913726547213932,0.840306518091089,0.873547325382802,168.625915584416,106.5837,182.567251351351,17.1318472433104,NA,17.9415178846077,42.4669,106.5837,91.093525,242.4101,106.5837,235.07235,77,1,74
"ZNF91",0.995208356725886,0.187242342471162,0.980083975425687,527.407905194805,492.9068,422.275144594595,43.9545026382411,NA,40.3381752645028,285.2474,492.9068,124.4743,687.0621,492.9068,557.160025,77,1,74
"ZNF226",0.396359871880182,0.251567599235653,0.550456226618925,230.263605194805,81.3687,200.785121621622,12.4248051980969,NA,13.7444342506378,155.8495,81.3687,122.47275,266.7665,81.3687,251.9987,77,1,74
"ZNF229",0.983094165554061,0.886280791012379,0.994489712725572,62.3956051948052,38.8066,52.2378310810811,17.1313270736633,NA,13.1110656540061,5.9692,38.8066,5.0783,41.6429,38.8066,54.026475,77,1,74
"ZNF180",0.998819791572469,0.567948142208858,0.975859705654875,200.122853246753,204.3607,185.075548648649,10.516304264826,NA,10.4161446064262,140.1757,204.3607,126.455675,225.5765,204.3607,210.132625,77,1,74
"ZNF641",0.323968535124665,0.86241968344341,0.367771946813824,170.515654545455,262.2577,175.865385135135,7.01377893723113,NA,7.58230946947188,130.6632,262.2577,132.51315,205.1282,262.2577,216.481,77,1,74
"ZNF610",0.804542549803226,0.252532951279822,0.926864489203293,20.3717480519481,5.6332,14.3386148648649,2.92397130177684,NA,2.3870529247303,4.98,5.6332,2.8736,22.7742,5.6332,16.368825,77,1,74
"ZNF528",0.873142411468729,0.65108574625338,0.933549442335439,135.199133766234,44.1269,108.960014864865,24.7573257519087,NA,15.8916711702262,27.5739,44.1269,26.45905,124.6653,44.1269,128.78105,77,1,74
"ZNF701",0.717217287726316,0.264497588278313,0.859377237892304,119.515694805195,48.5083,96.4221378378378,9.73060485188897,NA,11.1515430106181,51.015,48.5083,28.536625,173.8322,48.5083,134.5241,77,1,74
"ZNF283",0.67783117823622,0.119512166093221,0.86150733758932,83.2196103896104,51.0119,70.9335824324324,4.43135369384351,NA,4.31393099556881,60.7705,51.0119,45.44385,100.6971,51.0119,86.567325,77,1,74
"ZNF558",0.891733602544449,0.820421837027011,0.931436606322633,362.616155844156,445.3374,380.208652702703,20.2768129805748,NA,21.2127546525874,240.9864,445.3374,274.49365,458.4615,445.3374,465.9667,77,1,74
"ZNF597",0.386412297051387,0.432543937207017,0.50374163954534,67.7504298701299,12.8312,59.41595,4.82629228780233,NA,4.68095337965225,32.3353,12.8312,27.92085,99.3337,12.8312,82.0672,77,1,74
"ZNF30",0.949233823100363,0.673683220026326,0.896875064640104,81.5311246753247,59.4618,91.3775148648649,6.59497148134116,NA,9.65114771187422,47.3336,59.4618,49.929575,101.6427,59.4618,104.972075,77,1,74
"ZNF354A",0.809585175485973,0.486116388716414,0.700414486397962,278.542622077922,382.4331,247.407921621622,22.9015060180722,NA,14.0419267137506,166.8376,382.4331,162.08045,300.0652,382.4331,307.246225,77,1,74
"ZNF764",0.995249518353337,0.373025669305882,0.948329476604564,211.340177922078,221.5734,187.398533783784,13.8034254115383,NA,11.1225989105263,138.6941,221.5734,143.2494,234.7623,221.5734,222.626225,77,1,74
"ZNF747",0.995885550517198,0.986221535882413,0.997963884288227,200.758819480519,207.531,202.768272972973,8.23934597728219,NA,9.66644419279799,145.8564,207.531,153.540125,245.4781,207.531,255.722025,77,1,74
"ZNF778",0.999591370718472,0.624027114916595,0.991734806289749,107.413523376623,106.0923,100.136705405405,4.38741242961213,NA,6.57751923981698,78.8269,106.0923,68.569575,129.5651,106.0923,111.699625,77,1,74
"ZNF212",0.310569757477109,0.325506615412434,0.435748654121595,257.533646753247,423.1175,283.765810810811,11.7974418033768,NA,14.0329646715441,191.3249,423.1175,214.8351,311.5144,423.1175,339.895125,77,1,74
"ZNF282",0.286819447585338,0.0292940088629197,0.516876059603166,897.438731168831,1432.4029,1044.61365,32.8437146038894,NA,47.1876900327143,710.559,1432.4029,779.2538,1118.7118,1432.4029,1210.674525,77,1,74
"ZNF160",0.999706180051524,0.608171250684568,0.990599100246933,480.99014025974,474.1294,435.221145945946,32.5696459550154,NA,35.4316791874559,279.789,474.1294,191.932925,606.0976,474.1294,559.99955,77,1,74
"ZNF415",0.917287788244879,0.995663011062,0.92298008253221,43.5178142857143,14.0831,42.4500594594595,9.84458287972571,NA,6.7472714776846,10.648,14.0831,7.238525,38.801,14.0831,61.915125,77,1,74
"ZNF439",0.89901953997455,0.990311493669102,0.889549987934404,49.0933506493506,72.9189,47.9285364864865,5.96770034001554,NA,6.43292489859625,14.71,72.9189,12.6143,59.434,72.9189,59.59495,77,1,74
"ZNF440",0.99050501292005,0.209521779337023,0.913204796937698,463.961135064935,490.4032,408.774281081081,23.847062858864,NA,22.0003790900262,311.976,490.4032,280.24695,568.9024,490.4032,542.240275,77,1,74
"ZNF562",0.995548207671121,0.598359259086231,0.967085819096902,713.710138961039,740.4556,667.174313513514,29.9309379744163,NA,37.8968595492839,524.3538,740.4556,466.990725,845.7874,740.4556,765.900875,77,1,74
"ZNF561",0.996926599019626,0.440989533146117,0.959874181460747,555.204261038961,537.9726,600.854631081081,22.9201723333917,NA,29.6475903642079,464.9889,537.9726,466.5469,618.5416,537.9726,678.744575,77,1,74
"ZNF584",0.997112718667736,0.187832003816796,0.932382743407711,184.951792207792,177.1335,215.628695945946,8.4544402005295,NA,15.4891446283503,138.791,177.1335,150.5569,223.8879,177.1335,227.439275,77,1,74
"ZNF274",0.862855789163015,0.330022146534286,0.955657893542513,374.929549350649,265.3873,326.112141891892,28.1014623710025,NA,19.0740810333569,243.8226,265.3873,219.642975,416.3028,265.3873,381.526125,77,1,74
"ZIK1",0.947779031061039,0.88319173700106,0.920139809057594,25.1122532467532,10.6405,28.6757175675676,4.36086904465178,NA,6.16317904803482,7.5917,10.6405,7.166575,26.1023,10.6405,21.270925,77,1,74
"ZNF540",0.892309415118276,0.669900982762862,0.946256524947275,24.7332844155844,12.0739,20.8880621621622,2.9608470737093,NA,3.40470936803261,8.426,12.0739,5.876175,31.2276,12.0739,22.618925,77,1,74
"ZNF570",0.204835633105017,0.335606261167494,0.303113453076798,27.4645272727273,84.4983,35.0999297297297,2.80687111102045,NA,4.66442031353847,9.6706,84.4983,7.079025,37.8162,84.4983,50.62275,77,1,74
"ZNF57",0.00128362870810494,0.411466411241352,0.000617589071107982,180.938848051948,479.4497,163.803558108108,8.80524851249661,NA,10.1969838591779,125.2277,479.4497,101.386475,230.199,479.4497,202.586525,77,1,74
