"gene","p-adj-Current-[Unknown]","p-adj-Never-[Unknown]","p-adj-Never-Current","mean-[Unknown]","mean-Current","mean-Never","SEM-[Unknown]","SEM-Current","SEM-Never","Q1-[Unknown]","Q1-Current","Q1-Never","Q3-[Unknown]","Q3-Current","Q3-Never","count-[Unknown]","count-Current","count-Never"
"ZNF195",0.945751134566209,0.123993003956154,0.999999999968973,505.048705194805,418.4231,418.421056756757,29.0941687330298,NA,33.1890905757657,305.3459,418.4231,228.433525,636.7981,418.4231,526.90465,77,1,74
"ZNF263",0.697884036008753,0.262528253041912,0.843845520581422,591.30101038961,460.3187,550.24142972973,19.9516558685932,NA,16.7948786097444,485.0656,460.3187,458.011675,702.9622,460.3187,632.180275,77,1,74
"ZNF200",0.838555612911332,0.168479528687886,0.960000948731553,245.666585714286,199.9793,221.967582432432,9.84817532872598,NA,8.51864851684081,180.601,199.9793,172.62145,290.3226,199.9793,252.308125,77,1,74
"ZNF582",0.973783299178107,0.876894935584703,0.989176745945213,11.0388103896104,7.8239,9.88186486486486,1.81960059678872,NA,1.50066482850926,3.3956,7.8239,2.17305,13.4067,7.8239,11.637675,77,1,74
"ZNF285",0.999992745088094,0.833527445954463,0.9956043252106,12.761661038961,12.8312,14.5452567567568,1.67071804869043,NA,2.64238442657336,3.0984,12.8312,1.889,18.5599,12.8312,17.23405,77,1,74
"ZNF275",0.722298066827288,0.839266813565083,0.665971839760925,810.636298701299,1107.2409,775.455504054054,39.8799064972242,NA,48.1955480921531,571.1038,1107.2409,447.5549,1030.6048,1107.2409,929.204525,77,1,74
"ZNF37A",0.617959703421412,0.033443199638476,0.857749556602306,557.128407792208,350.1986,466.862547297297,26.5985087718905,NA,23.7129669108478,380.6902,350.1986,292.3017,690.8188,350.1986,632.578375,77,1,74
"ZNF510",0.980240242399766,0.309105359699534,0.998772718953909,333.717593506494,310.766,305.071785135135,13.7998692224333,NA,13.7787519384953,244.4235,310.766,214.92285,412.209,310.766,392.648475,77,1,74
"ZNF506",0.998532989423637,0.423356651629045,0.987472084585925,453.02057012987,435.3228,383.444256756757,39.3735884982724,NA,39.0292610494559,269.7043,435.3228,171.4666,577.8674,435.3228,480.8738,77,1,74
"ZNF324",0.964444126896788,0.574532505355702,0.995177620883796,208.800801298701,245.984,232.395604054054,10.1882558630887,NA,21.4623887957786,155.9829,245.984,152.737325,259.6282,245.984,247.733375,77,1,74
"ZNF671",0.645533451286216,0.995834812281881,0.65453264624606,66.6917376623377,13.1442,65.8478905405405,4.92727168141711,NA,8.46129330040487,33.4686,13.1442,24.42395,86.8263,13.1442,71.213525,77,1,74
"ZNF416",0.721709158958267,0.987073568055371,0.736870219060585,112.071924675325,67.9116,110.647655405405,5.80127535509619,NA,7.27997813710913,79.0735,67.9116,65.09845,134.4869,67.9116,136.217225,77,1,74
"ZNF586",0.303016069201805,0.976336577119556,0.319733658318149,220.990858441558,64.1561,217.420271621622,11.9973860324699,NA,12.2264803863517,147.8654,64.1561,145.2827,274.771,64.1561,251.96655,77,1,74
"ZNF446",0.977649731465293,0.717581296505956,0.942401761256097,186.340314285714,164.0738,200.162589189189,11.0085274767615,NA,14.0682295650574,127.8785,164.0738,133.112275,229.3537,164.0738,226.451325,77,1,74
"ZNF8",0.959534900363519,0.495119196822839,0.995500597823798,241.403001298701,210.1817,220.498294594595,11.7925543566844,NA,14.2637846367432,162.9595,210.1817,145.44105,311.7751,210.1817,264.557025,77,1,74
"ZNF264",0.437957082037687,0.161210084483136,0.621125840598718,1259.08172987013,536.7208,1084.47076486486,62.7689430595783,NA,71.6758851738732,890.6571,536.7208,672.414125,1555.3263,536.7208,1361.401875,77,1,74
"ZNF213",0.77604955419214,0.905968224429651,0.814669453591562,723.534624675325,529.5228,703.966602702703,37.582544135651,NA,26.3176453586252,516.8348,529.5228,526.5315,890.0536,529.5228,832.9249,77,1,74
"ZNF343",0.812679222469777,0.534339490384795,0.711682805643331,296.657980519481,235.0305,314.022868918919,10.5812553566909,NA,12.3687238428486,224.5872,235.0305,221.004725,350.9393,235.0305,387.954025,77,1,74
"ZNF302",0.876545906613382,0.335455631527036,0.963380851220389,426.124135064935,302.6291,368.324551351351,31.9450861068805,NA,25.0921397323441,264.8545,302.6291,213.814375,495.8932,302.6291,478.537275,77,1,74
"ZNF268",0.999993421000682,0.874234771536726,0.9967836166937,370.644379220779,369.9148,353.7658,25.7855732360626,NA,22.2325370788453,240.8376,369.9148,229.613,449.399,369.9148,463.161375,77,1,74
"ZNF184",0.858181363379036,0.490728595973595,0.937397120479611,231.806487012987,179.6372,213.548394594595,12.7581186411986,NA,9.50708746981138,167.2179,179.6372,165.480175,256.1511,179.6372,239.43055,77,1,74
"ZNF500",0.90794823619113,0.436641480005535,0.810655050765882,241.123402597403,205.6126,258.013212162162,9.26992187123902,NA,10.1361629037369,179.3184,205.6126,203.48615,301.2396,205.6126,299.121175,77,1,74
"ZNF419",0.397453415753758,0.93355985756708,0.430155179466384,85.8117233766234,19.4033,82.8928743243243,5.27399011452716,NA,6.39744449483849,52.5692,19.4033,45.086475,113.3591,19.4033,102.5444,77,1,74
"ZNF175",0.466347704024234,0.867825378497811,0.516417604687157,152.918192207792,37.2418,144.878791891892,11.2781555535436,NA,11.1100295867708,87.0591,37.2418,86.895275,197.6023,37.2418,184.921325,77,1,74
"ZNF14",0.411170752820175,0.791745871163636,0.353631900450064,154.532979220779,273.8371,144.675741891892,11.4109982040818,NA,9.85523071621229,93.9365,273.8371,87.231575,198.1545,273.8371,191.588825,77,1,74
"ZNF85",0.113803390068373,0.965266793490706,0.124147364431048,48.2613766233766,150.5322,50.3477378378378,5.72526962674241,NA,5.92650208100556,14.8349,150.5322,12.1993,71.7611,150.5322,78.804,77,1,74
"ZKSCAN1",0.924572696455874,0.38691925267935,0.985293621950269,2155.28544415584,1530.0454,1801.78282162162,230.190172503628,NA,131.787835260647,1249.8335,1530.0454,1097.42645,2447.5716,1530.0454,2264.38535,77,1,74
"ZNF862",0.633887485935274,0.570952030826808,0.735444340448768,423.299820779221,157.1043,375.535232432432,36.3218168732018,NA,29.8832097976467,174.734,157.1043,197.46145,537.1805,157.1043,506.570375,77,1,74
"ZNF684",5.00772312506115e-09,0.367208249291017,1.61989366365134e-09,58.7279636363636,225.3288,53.0450418918919,2.76266750456553,NA,3.16808211885176,39.8571,225.3288,32.759175,74.8902,225.3288,69.89825,77,1,74
"ZNF430",0.00980271991917447,0.996313045898273,0.010220335720026,165.829053246753,413.7288,166.935824324324,8.1760759601467,NA,10.8569608854287,125.2277,413.7288,104.5247,203.5499,413.7288,199.99275,77,1,74
"ZFP30",0.70411955567966,0.666246675411536,0.787051470281795,110.480027272727,191.8425,124.643040540541,10.9385771279678,NA,12.3536948040116,29.332,191.8425,48.83875,151.3312,191.8425,158.71015,77,1,74
"ZNF549",0.71202668462426,0.720111546418476,0.786364483820754,130.453264935065,44.4399,116.77522027027,12.4220407939651,NA,12.5964385745278,50.6278,44.4399,46.2304,181.6908,44.4399,170.283225,77,1,74
"ZNF211",0.549637212804785,0.590564436282924,0.649697214261106,221.323450649351,96.4126,202.378093243243,13.9449497715317,NA,13.3505722741645,141.8939,96.4126,117.87015,277.9828,96.4126,272.6569,77,1,74
"ZNF205",0.96911731711319,0.541177988899313,0.911688889248633,258.038685714286,235.8598,273.958233783784,11.5524039219353,NA,9.52616021767058,182.0501,235.8598,210.916675,324.0905,235.8598,342.755575,77,1,74
"ZNF45",0.893541429155383,0.595598059683373,0.953237291176487,240.694822077922,185.8963,221.63715,15.0477960320152,NA,12.4380658883436,177.3606,185.8963,158.2799,273.302,185.8963,256.985175,77,1,74
"ZNF133",0.80116651375612,0.566741968255096,0.704041587205011,332.70902987013,422.8045,309.343948648649,17.6269840484349,NA,14.5531176571378,230.5892,422.8045,231.195575,389.5662,422.8045,364.3029,77,1,74
