"Gene.ID","tumor.name","log2FoldChangeMean","log2FoldChangeMedian"
"ZNF195","BLCA",0.725891034715826,0.656163369142771
"ZNF263","BLCA",-0.194828559510757,-0.174380103000187
"ZNF200","BLCA",0.449254191739725,0.320277508392945
"ZNF582","BLCA",-0.641575346436647,-0.982807703773913
"ZNF285","BLCA",0.417231242315998,0.213871055547738
"ZNF275","BLCA",-0.124812089446066,-0.231788649475702
"ZNF37A","BLCA",-0.138675456792607,-0.309026636510265
"ZNF510","BLCA",-0.324782719401701,-0.333697244810047
"ZNF506","BLCA",0.252522088902637,0.245468158411034
"ZNF324","BLCA",-0.196156514549698,-0.200900206527995
"ZNF671","BLCA",-1.14788958144676,-1.48286283967481
"ZNF416","BLCA",0.122877013425126,0.0651070753210648
"ZNF586","BLCA",0.0636724898750161,0.0113615658675224
"ZNF446","BLCA",0.572556767562457,0.53920544983624
"ZNF8","BLCA",0.650744297295871,0.490516083587559
"ZNF264","BLCA",0.103828154579061,0.0731155666080487
"ZNF213","BLCA",0.439742712399783,0.295207702395843
"ZNF343","BLCA",0.202095485473037,0.21139997687026
"ZNF302","BLCA",0.0416285918145674,-0.09764709185643
"ZNF268","BLCA",-0.169071349112366,-0.378846833465011
"ZNF184","BLCA",0.481191632887633,0.349791306720126
"ZNF500","BLCA",-0.0710364751937442,-0.160672844913343
"ZNF419","BLCA",0.825968231118569,0.725149825766948
"ZNF175","BLCA",0.780376299529679,0.360840686704889
"ZNF14","BLCA",0.0567549805778778,0.140703069453104
"ZNF85","BLCA",1.13503148813707,1.03269279790937
"ZKSCAN1","BLCA",0.126689086329981,0.0198790210131138
"ZNF862","BLCA",0.258133407889879,0.0648842995686443
"ZNF684","BLCA",0.536817058118453,0.3092750812095
"ZNF430","BLCA",-0.305801495908238,-0.159954720657118
"ZFP30","BLCA",0.39762758795861,0.213733607762242
"ZNF549","BLCA",0.150916432656356,-0.117615644670333
"ZNF211","BLCA",0.128863108544077,0.107484449867076
"ZNF205","BLCA",0.959289009601627,0.688821303163601
"ZNF45","BLCA",0.143821414062748,-0.0215276997823047
"ZNF133","BLCA",0.796451062566612,0.743522140305856
"ZNF436","BLCA",0.557020446218311,0.624473935475301
"ZNF484","BLCA",0.125766033774529,-0.0741122849650821
"ZNF780B","BLCA",-0.079530211638706,-0.441222912739929
"ZNF557","BLCA",0.181861466183387,0.0570775284029897
"ZNF337","BLCA",0.497386374763448,0.166360140137359
"ZNF317","BLCA",0.143152949660584,0.117604589368719
"ZNF426","BLCA",-1.08683678358307,-1.16572441995964
"ZNF331","BLCA",-0.984250062861709,-1.30492941049633
"ZNF227","BLCA",0.264662338045375,0.182517524549313
"ZNF141","BLCA",0.676395941492264,0.422931979002824
"ZNF304","BLCA",-0.217119976788799,-0.289452420711484
