"gene","p-adj-BRCA basal-like c8-BLCA nonsquamous-like c1","p-adj-GBM-like c6-BLCA nonsquamous-like c1","p-adj-GBM-like c6-BRCA basal-like c8","p-adj-LAML-like c13-BLCA nonsquamous-like c1","p-adj-LAML-like c13-BRCA basal-like c8","p-adj-LAML-like c13-GBM-like c6","p-adj-LUAD-like c10-BLCA nonsquamous-like c1","p-adj-LUAD-like c10-BRCA basal-like c8","p-adj-LUAD-like c10-GBM-like c6","p-adj-LUAD-like c10-LAML-like c13","p-adj-RNA cluster 12-BLCA nonsquamous-like c1","p-adj-RNA cluster 12-BRCA basal-like c8","p-adj-RNA cluster 12-GBM-like c6","p-adj-RNA cluster 12-LAML-like c13","p-adj-RNA cluster 12-LUAD-like c10","p-adj-RNA cluster 14-BLCA nonsquamous-like c1","p-adj-RNA cluster 14-BRCA basal-like c8","p-adj-RNA cluster 14-GBM-like c6","p-adj-RNA cluster 14-LAML-like c13","p-adj-RNA cluster 14-LUAD-like c10","p-adj-RNA cluster 14-RNA cluster 12","p-adj-RNA cluster 2-BLCA nonsquamous-like c1","p-adj-RNA cluster 2-BRCA basal-like c8","p-adj-RNA cluster 2-GBM-like c6","p-adj-RNA cluster 2-LAML-like c13","p-adj-RNA cluster 2-LUAD-like c10","p-adj-RNA cluster 2-RNA cluster 12","p-adj-RNA cluster 2-RNA cluster 14","p-adj-RNA cluster 3-BLCA nonsquamous-like c1","p-adj-RNA cluster 3-BRCA basal-like c8","p-adj-RNA cluster 3-GBM-like c6","p-adj-RNA cluster 3-LAML-like c13","p-adj-RNA cluster 3-LUAD-like c10","p-adj-RNA cluster 3-RNA cluster 12","p-adj-RNA cluster 3-RNA cluster 14","p-adj-RNA cluster 3-RNA cluster 2","p-adj-RNA cluster 5-BLCA nonsquamous-like c1","p-adj-RNA cluster 5-BRCA basal-like c8","p-adj-RNA cluster 5-GBM-like c6","p-adj-RNA cluster 5-LAML-like c13","p-adj-RNA cluster 5-LUAD-like c10","p-adj-RNA cluster 5-RNA cluster 12","p-adj-RNA cluster 5-RNA cluster 14","p-adj-RNA cluster 5-RNA cluster 2","p-adj-RNA cluster 5-RNA cluster 3","p-adj-squamous-like c4-BLCA nonsquamous-like c1","p-adj-squamous-like c4-BRCA basal-like c8","p-adj-squamous-like c4-GBM-like c6","p-adj-squamous-like c4-LAML-like c13","p-adj-squamous-like c4-LUAD-like c10","p-adj-squamous-like c4-RNA cluster 12","p-adj-squamous-like c4-RNA cluster 14","p-adj-squamous-like c4-RNA cluster 2","p-adj-squamous-like c4-RNA cluster 3","p-adj-squamous-like c4-RNA cluster 5","p-adj-UCEC-like c11-BLCA nonsquamous-like c1","p-adj-UCEC-like c11-BRCA basal-like c8","p-adj-UCEC-like c11-GBM-like c6","p-adj-UCEC-like c11-LAML-like c13","p-adj-UCEC-like c11-LUAD-like c10","p-adj-UCEC-like c11-RNA cluster 12","p-adj-UCEC-like c11-RNA cluster 14","p-adj-UCEC-like c11-RNA cluster 2","p-adj-UCEC-like c11-RNA cluster 3","p-adj-UCEC-like c11-RNA cluster 5","p-adj-UCEC-like c11-squamous-like c4","mean-BLCA nonsquamous-like c1","mean-BRCA basal-like c8","mean-GBM-like c6","mean-LAML-like c13","mean-LUAD-like c10","mean-RNA cluster 12","mean-RNA cluster 14","mean-RNA cluster 2","mean-RNA cluster 3","mean-RNA cluster 5","mean-squamous-like c4","mean-UCEC-like c11","SEM-BLCA nonsquamous-like c1","SEM-BRCA basal-like c8","SEM-GBM-like c6","SEM-LAML-like c13","SEM-LUAD-like c10","SEM-RNA cluster 12","SEM-RNA cluster 14","SEM-RNA cluster 2","SEM-RNA cluster 3","SEM-RNA cluster 5","SEM-squamous-like c4","SEM-UCEC-like c11","Q1-BLCA nonsquamous-like c1","Q1-BRCA basal-like c8","Q1-GBM-like c6","Q1-LAML-like c13","Q1-LUAD-like c10","Q1-RNA cluster 12","Q1-RNA cluster 14","Q1-RNA cluster 2","Q1-RNA cluster 3","Q1-RNA cluster 5","Q1-squamous-like c4","Q1-UCEC-like c11","Q3-BLCA nonsquamous-like c1","Q3-BRCA basal-like c8","Q3-GBM-like c6","Q3-LAML-like c13","Q3-LUAD-like c10","Q3-RNA cluster 12","Q3-RNA cluster 14","Q3-RNA cluster 2","Q3-RNA cluster 3","Q3-RNA cluster 5","Q3-squamous-like c4","Q3-UCEC-like c11","count-BLCA nonsquamous-like c1","count-BRCA basal-like c8","count-GBM-like c6","count-LAML-like c13","count-LUAD-like c10","count-RNA cluster 12","count-RNA cluster 14","count-RNA cluster 2","count-RNA cluster 3","count-RNA cluster 5","count-squamous-like c4","count-UCEC-like c11"
"ZNF195",0.99999999688235,0.999999988045759,1,0.993645179282404,0.999964126234467,0.998849956355277,0.999999433666755,0.999970675943359,0.997478057779939,0.679918414134476,0.986197551660174,0.999982918961726,0.996984933195177,0.999999999847607,0.0092552416149414,0.329803985407328,0.824961954730063,0.370387959054441,0.964720063701017,0.00408549343441833,0.702749308194408,0.99999989625766,0.999988345637585,0.999766215132962,0.882222406280298,1,0.593733571237832,0.0494316738263725,0.999999068314275,1,0.999999999998382,0.998932143613682,0.887947651386418,0.993657015979684,0.265610401158048,0.995640499136526,0.602278405717864,0.640478148767711,0.342267372840599,0.0969650697976773,0.4807854763538,0.0350050826848141,0.00182191871336845,0.662883295135126,0.199498179177485,0.996116551725391,0.995480953736668,0.832134790065053,0.256886809567168,1.27463878117906e-05,3.18430157151273e-05,0.000283368048972665,0.999450856480903,0.216130059832063,0.790200308745089,0.0231554381916007,0.176734413627267,0.0253513621527988,0.282873660512904,0.000284043905085851,0.0688574157590903,0.951324445772978,0.00222065472323607,0.0150002707674929,7.42875525190367e-05,3.34626518984082e-05,402.0773,436.6599,431.261233333333,520.35085,369.57808220339,503.623977777778,667.10675,368.231475,441.302016666667,127.6455,322.739824669604,855.0853,91.415043547274,0,74.8474639978522,18.3959095545948,6.0148665043158,44.5570332722238,82.7803949938682,33.4603544879435,30.3369794105059,0,6.08257451416346,0,243.7418,436.6599,294.672875,488.4882,259.2937,361.8752,523.7269,291.678325,375.0946,127.6455,227.9141,855.0853,560.4128,436.6599,586.48835,552.2135,450.4065,577.0202,810.4866,452.34155,543.9144,127.6455,378.9709,855.0853,4,2,6,4,708,18,4,8,12,2,454,2
"ZNF263",0.999999955702291,0.999999122687844,1,0.999999976799439,0.999981986421588,0.999688432011202,0.999556795964758,0.999999999972522,0.999999985023157,0.980010161376681,0.999695036080073,0.999999999878469,0.999999976386689,0.987504634639651,1,0.999999975692505,0.999981636392136,0.999682675175547,1,0.979771689488261,0.987355215148897,0.988950912461044,0.999992882048742,0.999643243571997,0.918483024927133,0.999242996888764,0.99994097966635,0.917938182082688,0.193839636923092,0.865669711444099,0.272895023767962,0.0690096098645903,0.00312486852157889,0.0839873341558638,0.0686665012623909,0.762834888900039,0.997781209092071,0.999991190861037,0.999925584707719,0.983697121053804,0.999975449225851,0.999992077250295,0.98357960958583,0.999999999987803,0.998337658605832,0.999176121114005,0.999999999722306,0.999999865752663,0.9723433801457,0.999998237642741,1,0.972037891952436,0.999708748972372,0.00499869750097892,0.999987866684885,0.273349498013561,0.716588054449804,0.398001044112921,0.150564396315671,0.279205091212665,0.380707455531886,0.150139359903621,0.738598935340015,0.999376833078522,0.963570860809703,0.304291059461074,578.9495,642.7984,641.9185,529.8576,669.249644067797,674.700033333333,529.6448,737.00265,922.895283333333,764.4412,675.516579735683,1065.4642,87.4007271255985,0,91.1798223966026,38.3891163639297,7.27160703847751,43.9608680541232,15.8457822830977,67.637742469827,62.0196903116393,0,11.6340876455555,0,427.567,642.7984,455.3493,463.3657,539.3757,553.7811,502.1991,648.541925,703.8921,764.4412,522.748525,1065.4642,730.332,642.7984,800.480175,596.3495,749,810.7891,557.0905,806.712175,1014.5609,764.4412,786.96705,1065.4642,4,2,6,4,708,18,4,8,12,2,454,2
"ZNF200",0.977096753806294,0.999881022456843,0.710959591338556,0.999999773297147,0.893128976948938,0.999999991516789,0.828982321330253,0.153144455591343,0.997148256558964,0.987693768124549,0.704598133223113,0.109613029110142,0.975983851403844,0.947736259209551,0.999458666821604,0.99999999999921,0.959654178874082,0.999985904944639,0.999999996359891,0.909133013522779,0.806484604350811,0.999989844507112,0.997760352081709,0.933666282641711,0.996884812775829,0.0243971902723286,0.0328961828600742,0.99989764315992,0.999999999999699,0.963305591546399,0.995354077527436,0.999981189556474,0.0457353980665234,0.0770221705945293,0.999999995759221,0.999978254913026,0.978624407149031,1,0.719292418644704,0.897774401354299,0.158629252646813,0.11365078079841,0.962006022087677,0.998007712222904,0.965782284874838,0.999987265082114,0.677056421563273,0.999999468403433,1,0,0.0411321120221783,0.999999722229919,0.812202652923443,0.98528657931774,0.687008588054554,1,0.994036418221585,0.999981364728097,0.999999936679517,0.979777586089242,0.939567931996353,0.999999999998748,0.999999674342985,1,0.994485789658056,0.999999191065631,297.88905,396.7413,256.9218,273.3925,220.488061581921,202.779055555556,290.0791,328.357875,303.897,395.8594,272.346315859031,300.0222,10.3214928348971,0,44.4297540067464,14.6411409464336,2.70670489252315,10.5854007647425,38.6715561156172,37.5598848912961,14.1739632120756,0,5.04265535213628,0,280.0117,396.7413,178.898175,248.0333,169.2982,183.6066,223.098,238.0267,271.6502,395.8594,203.893725,300.0222,315.7664,396.7413,348.109425,298.7517,247.5083,241.5084,357.0602,389.558075,328.7105,395.8594,316.574775,300.0222,4,2,6,4,708,18,4,8,12,2,454,2
"ZNF582",0.859012525081723,0.999748235817868,0.373880025277991,0.999901421590646,0.47261470597445,1,0.559139790085809,0.99999282645051,0.00530465429375215,0.0625555729007188,0.439403288966221,0.999999998311418,0.00716221625051339,0.0504765725460458,0.999467414728265,0.999999228588721,0.971574792387131,0.981427534082477,0.991300185896379,0.924413871437589,0.829111178515138,0.732415971964183,0.999999867215144,0.0731801123799239,0.193790589357058,0.999999997780084,0.99999999756566,0.958745352353142,0.816398195010327,0.999987066491713,0.0830219043468081,0.236211912343094,0.999999999919753,0.999927001875038,0.98428582263383,0.999999975364593,0.964526594616072,0.22847706706857,0.999459981107255,0.999683321994048,0.0530327621366002,0.0375846403010821,0.838729847649534,0.100531319793066,0.126746144942826,0.184627270712103,0.999999999999462,0.000227770820819817,0.0082590164996339,2.84567130697244e-05,0.999999591362599,0.578691405113725,0.999984745098377,0.986135355454363,0.0128024248115336,0.937580044444593,0.999999999957868,0.52975626275642,0.624652817937063,0.999999989702431,1,0.992518281953549,0.999999999994003,0.999999943578384,0.330081962723446,0.999999999998834,55.7947,22.8106,67.0852,67.0365,31.5077042372881,26.9943,48.7761,29.4611,32.7431333333333,82.5476,24.7476740088106,26.8114,17.2531890343013,0,14.2733829866644,19.0047542809687,0.818662319152519,4.32611501561921,17.2787079161994,6.22271790848432,7.50501164410028,0,1.04799265949461,0,25.9113,22.8106,43.800475,34.1193,16.4965,11.5004,18.8485,22.40965,11.7647,82.5476,8.52805,26.8114,85.6781,22.8106,95.641825,99.9537,41.5628,42.6191,78.7037,42.46395,56.0182,82.5476,35.215975,26.8114,4,2,6,4,708,18,4,8,12,2,454,2
"ZNF285",0.999999937469075,0.999616273603087,0.999999995621974,0.246203813437224,0.8068052174605,0.628593879859578,0.34855726764039,0.975382904656859,0.847638780230532,0.982868699243645,0.999968922932809,1,0.99999986882298,0.195741049378672,0.0102675079494422,0.99999999086335,0.999984966758255,0.992281233115153,0.122090342701621,0.14011799285074,0.997286972603947,0.850248962775579,0.998437696199823,0.99800440485267,0.974167237644312,0.999996701759289,0.88055919751021,0.637188066273856,0.89383239200035,0.999552544528519,0.99959923145911,0.901320238084177,0.996971350202637,0.912031212707548,0.691342817387687,0.999999998039975,0.591175017435228,0.576937752506884,0.133005269643881,0.00102944028151053,0.000774264688233495,0.120190113133726,0.758161627717155,0.0122923299506669,0.0133952466139203,0.022129124327927,0.646907693362418,0.105687182842849,0.999999999583785,0,3.13103937998882e-07,0.00481364059341338,0.705983804331141,0.173711715917967,2.29935958208083e-05,0.999999761059036,1,0.999999999501279,0.832535322501509,0.98256470635614,1,0.999967263116525,0.999064487054169,0.999763351831659,0.546919972961193,0.687483034306572,85.17355,74.5418,66.7078666666667,19.8892,41.9283353107345,72.9094777777778,92.4351,48.272875,52.33945,149.5352,23.7694286343612,73.1221,10.6342434757172,0,8.74349826513647,0.272336121976747,1.37294747577452,21.6383217744524,31.3158827460337,10.2019649615151,11.2069300945922,0,1.27070444008764,0,66.7545,74.5418,48.548275,19.4175,12.8851,10.0236,38.1944,43.16155,29.4064,149.5352,5.69295,73.1221,103.5926,74.5418,84.37435,20.3609,60.5245,79.5346,146.6758,63.570625,64.9237,149.5352,34.1137,73.1221,4,2,6,4,708,18,4,8,12,2,454,2
"ZNF275",0.999974309128488,0.780876988091752,0.593537146273274,0.997954241683786,0.999999999964072,0.126254211275022,0.897168343882186,0.744243430567526,0.998690328262255,0.102777994401146,0.999993751577318,0.993036578313721,0.751922451438516,0.81240773941984,0.57865301104754,0.999125798611412,1,0.160423658370527,1,0.141605378503453,0.868913400114013,0.99973250376885,0.978696897623143,0.975509840502544,0.737036782501862,0.998785972468377,0.999999458644127,0.7988945337782,0.999658935795437,0.975407619428753,0.94933750045481,0.676720254320443,0.98940650869523,0.999999178347865,0.748263192920587,1,0.999999999981128,0.999999778601709,0.888991655529256,0.999969755141401,0.970467615383584,0.999983621176211,0.999990991994764,0.999716605197118,0.999691988480004,0.934724146881616,0.792205358659382,0.995824837822294,0.137984498547834,0.999107893613389,0.746451899968483,0.185992754905358,0.99978413662797,0.997634582647391,0.981154405425818,0.721820075820612,0.520864779280173,0.999983162626019,0.196849898453784,0.98571649254168,0.778246439438195,0.230845916255572,0.932419630814361,0.907707130372645,0.794859306868048,0.977268777733712,426.67635,272.9124,766.96,229.31965,657.997080508475,512.202377777778,246.7572,564.274725,559.709316666667,385.5739,642.665265198238,906.0492,27.5216233794599,0,161.341570005964,6.2944169722726,10.728219950709,53.7009343786405,5.54747006150852,100.350598243513,76.7975808241763,0,13.2723488969422,0,379.0075,272.9124,431.05,218.4174,468.1372,455.7368,237.1487,311.89585,334.3736,385.5739,472.2562,906.0492,474.3452,272.9124,1090.9063,240.2219,822.0386,567.6506,256.3657,811.930275,801.5604,385.5739,792.16835,906.0492,4,2,6,4,708,18,4,8,12,2,454,2
"ZNF37A",0.999359735336155,1,0.99857649057315,0.978718183552289,0.736928229131252,0.964335268410612,0.998904055751779,0.859986573018755,0.995554152382264,0.99896973294409,0.998662377624146,0.863455112132911,0.996109075243107,0.999891181499445,0.999999998830549,0.343959567559485,0.139280543375125,0.226729915864236,0.989617239270431,0.282797424914787,0.51388998349548,0.999984315445153,0.960186714526678,0.999968669573008,0.999063296452985,0.999999996671603,0.999999917360505,0.489710894452686,0.999987086882267,0.957312361964929,0.999970398119806,0.997506270423811,0.999999573741167,0.999998111039793,0.360973235448871,1,0.999999999977481,0.999109743421989,0.999999999991785,0.999181888302715,0.999999296616812,0.999997532788762,0.779854237026449,0.999999995639702,0.999999998520247,0.99999999041873,0.982100341271845,0.999999983124937,0.929834765017311,1.46643057199469e-05,0.927429186687188,0.0597417851183802,0.999981372073719,0.999964561217701,1,0.999455229649407,0.941943141667114,0.999271557033733,0.999999999800469,0.999999804608181,0.999999991023172,0.990333813976284,0.999998604600431,0.999995804373281,0.999985576805058,0.999568853808035,303.8341,170.6721,307.4671,466.6047,385.490468644068,395.819255555556,615.37505,368.548425,363.7019,329.9268,330.219010572687,434.7441,1.98539210568928,0,19.9889467899637,192.806180130902,6.81600779312632,39.6863262359307,100.445581180263,53.4766707664952,61.755959397805,0,7.89381125321722,0,300.3953,170.6721,269.91595,132.6546,252.8736,317.5909,441.3982,300.894,176.6753,329.9268,216.174275,434.7441,307.2729,170.6721,349.159375,800.5548,495.0192,533.0513,789.3519,400.115325,619.5605,329.9268,409.684225,434.7441,4,2,6,4,708,18,4,8,12,2,454,2
"ZNF510",0.653288410918712,0.145296031816591,0.000531514867119554,0.999615129349703,0.96660250686487,0.00849747724204353,0.99998541009679,0.626007538348538,9.98829558951364e-06,0.999990527993325,0.998506109163876,0.0838967962501542,0.164562444622232,0.686905615430128,0.0279464686043071,0.939034555118534,0.0480591632265384,0.98553668268847,0.454519236362055,0.218380949178926,0.998209393897141,0.999988465876792,0.815829119297415,0.00243508955569516,0.999999892996364,0.999999999987065,0.638928441952172,0.462797017168072,0.999506015482866,0.117632304314191,0.201522542171008,0.784854936770475,0.225451172633819,1,0.997758238320514,0.789153567618228,0.998860508590677,0.289876698025923,0.978754033632467,0.909181691713616,0.925012428842726,0.999999903572682,0.99999998805529,0.949795258210832,0.999999703235638,0.999351120885984,0.761435325879204,1.66642112686688e-06,0.999999992673715,0.457347771705229,0.00362380091379344,0.111860643146393,0.999999999396831,0.0683363725019881,0.844508691395951,0.999795811123502,0.994158383107325,0.0821503684483055,1,0.999995968224214,0.907170266078516,0.691576242670303,0.999999787525843,0.935973834929541,0.94805261222819,0.999999973587432,246.1902,114.053,384.571133333333,202.9103,224.095872881356,285.284755555556,325.16385,219.816775,282.4629,305.6636,213.718351982379,196.5433,42.2363476177017,0,42.9299805663802,14.6526302167904,2.73636390823971,24.2056003536132,19.7518166617867,20.2838160237835,26.0435111491356,0,3.51477777639981,0,173.0347,114.053,299.504575,177.5312,174.5962,187.5242,290.9527,179.99315,207.1934,305.6636,157.3574,196.5433,319.3457,114.053,474.233275,228.2894,265.132,349.0238,359.375,235.844375,324.4291,305.6636,265.28155,196.5433,4,2,6,4,708,18,4,8,12,2,454,2
"ZNF506",0.999999995479084,0.999935979417764,0.999555290471036,0.996592805717929,0.993267086238342,0.99999903938885,0.983602807078709,0.98634313217506,0.999998997488576,0.999999999739996,0.999999999899437,0.999998794686123,0.999909223599507,0.992720801698178,0.553156470118507,0.999993444051641,0.99999999997634,0.980388667331585,0.910892141134754,0.668349969707338,0.999135172634411,0.669318000687175,0.771502741457362,0.944516917428319,0.999604541776878,0.855813184340697,0.238435001818728,0.242694967625107,0.961593568272212,0.967096879718418,0.999865412264273,0.999999999999,0.999975380953594,0.762598638564409,0.634579532447401,0.998612331804163,0.99033097983129,0.999770142486291,0.820068430330883,0.669417547733089,0.450370756998011,0.935848009516076,0.999880255557582,0.153014119686479,0.40299623761152,0.734039176370907,0.86200708397877,0.980346035451763,0.9999987966563,1.07041373598182e-06,0.0170309115707947,0.22057170592561,0.999820641836714,0.999993881680168,0.173639800503808,0.99999997860686,1,0.999265645766579,0.990800656950366,0.980986950133988,0.999996511453577,0.999999999999126,0.741948586461238,0.957664818470399,0.999857266877956,0.836124211331136,446.2414,493.279,359.398666666667,301.5929,322.535661016949,425.078622222222,522.32295,202.40655,286.90765,646.4034,255.648729955947,500.554,147.086562869126,0,51.7637610177408,6.12464712561739,7.31641713089664,141.584606489389,59.3301013751662,31.4197017918978,17.5552514348768,0,7.95022824471258,0,191.48,493.279,251.18125,290.9847,200.3102,63.1891,419.5602,144.0814,247.4365,646.4034,135.832025,500.554,701.0028,493.279,458.614225,312.2011,393.8368,480.5923,625.0857,259.4443,322.5663,646.4034,333.396125,500.554,4,2,6,4,708,18,4,8,12,2,454,2
"ZNF324",0.729354510566122,0.999994573569502,0.894825143983776,0.340391890881265,1,0.550406298453471,0.956609072025645,0.969792062561209,0.999086802392123,0.628712740126693,0.99999990400921,0.31892317028808,0.990967434289032,0.0192648123974299,0.00647827593742489,0.785780920168489,0.0274535073634832,0.295837475035531,0.000868332897478563,0.00312441794066776,0.689117681116291,0.973481468516997,0.99496675424132,0.99932315583018,0.927388621866965,0.999999993337561,0.397945811611489,0.0254454464384936,0.999192323480644,0.931418073987341,0.999999967149599,0.57184428955888,0.999922642761156,0.740663535774309,0.0690228105144726,0.999949865268077,6.58493126692861e-08,2.45063302983795e-10,3.7093839111435e-10,0,0,6.24889806566387e-10,0.000239526135239254,8.09463607254202e-13,2.36377584172942e-12,1,0.422880281113892,0.999523656862528,0.0228370955010084,0,0.999463036857596,0.270843724225785,0.477976543290914,0.84126153177178,6.42697006725257e-12,0.988888160708098,0.999966095305803,0.999505411428854,0.999542760503614,0.999999127708478,0.881950360779887,0.218866581569701,0.9999999956127,0.999936005672096,1.72821948973834e-08,0.949472398421482,198.05645,87.169,175.1324,81.754,150.747137853107,211.456411111111,284.40645,144.0192,164.163733333333,548.8231,197.945540528634,129.6255,8.8680712672392,0,17.2144003196161,8.3722717235726,2.00252677707232,14.7978791946483,65.6687722455722,5.15249970465099,28.2817750341509,0,3.81911391914438,0,182.6965,87.169,140.850675,67.2528,111.6071,196.8229,170.6648,135.68015,89.7603,548.8231,134.731225,129.6255,213.4164,87.169,211.052025,96.2552,182.0403,248.0678,398.1481,147.2498,199.483,548.8231,245.8875,129.6255,4,2,6,4,708,18,4,8,12,2,454,2
