"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF195",8.10626941335491e-05,375.932305405405,348.535558949097,5.59265264462671,4.26525921513998,263.621,242.0901,452.333325,433.9036,814,1218
"ZNF263",0.580684612122684,688.508563882064,683.186594745484,7.5839440553744,6.02716778715135,543.5459,547.3035,787.829825,789.8609,814,1218
"ZNF200",0.00940313214360899,234.853665110565,245.417402298851,2.85490322155554,2.71951526170022,177.491875,185.3763,267.735125,284.6815,814,1218
"ZNF582",2.03886953775712e-05,30.050898034398,25.8605070607553,0.728938883793857,0.637253749220643,15.15175,8.8866,40.85545,35.6412,814,1218
"ZNF285",0.00290305895051535,37.5544307125307,32.8170963875205,1.28658486065639,0.973656669020858,9.918525,6.937,54.366625,46.6948,814,1218
"ZNF275",0.00143663765238045,683.7283995086,641.799410509031,10.334571674149,8.22451942178829,502.875425,454.2936,829.3749,806.725,814,1218
"ZNF37A",0.297199659209111,375.302797542998,383.444193596059,5.83931321510518,5.0509049861524,253.4912,265.0807,470.394775,473.8206,814,1218
"ZNF510",0.00222750954096873,221.255223587224,210.480819211823,2.7935257889105,2.18846003813176,164.8994,154.0309,264.865025,249.6042,814,1218
"ZNF506",2.0553772872578e-07,321.135766584767,278.185295730706,6.1583768229669,5.33293499315759,202.13925,163.0492,398.06065,346.0265,814,1218
"ZNF324",0.087004810237305,173.607075184275,179.404310837438,2.29809419863446,2.30260181102652,128.3009,124.624,211.290975,215.5825,814,1218
"ZNF671",5.14319697941801e-11,122.970643980344,90.4550602627258,2.67288622147885,2.01887775979773,57.544075,38.3104,171.701275,127.3047,814,1218
"ZNF416",0.894673856708219,118.178576167076,117.863029228243,1.73760986339964,1.56426029513556,85.624625,80,149.284,145.1674,814,1218
"ZNF586",0.17841022512241,170.204183292383,165.260831855501,2.89907856393069,2.29319011380741,119.387975,110.5469,203.252,202.2546,814,1218
"ZNF446",0.930912138908429,216.061951105651,216.439792939245,3.04560686093881,2.9235651496934,159.482475,154.0316,260.5285,263.547,814,1218
"ZNF8",0.00624135669119774,101.75562014742,108.155809852217,1.76903607724715,1.50159320154143,68.495175,73.4586,121.7247,129.4021,814,1218
"ZNF264",0.014185433505616,661.463014250614,631.918827093596,9.12740754888797,7.72041756282258,482.519825,438.4328,794.002075,793.4994,814,1218
"ZNF213",2.02153671580163e-09,521.791931449631,469.68453727422,7.35156536550442,5.07993021149704,374.50535,355.0068,631.523325,559.6602,814,1218
"ZNF343",5.14290832143161e-11,218.732994594595,267.008597208539,3.84837155008761,3.64679833866535,149.90185,177.889,257.2697,329.7532,814,1218
"ZNF302",0.00422992693357116,468.974611547912,436.661819211823,9.0044458481007,6.99104300307781,311.11405,283.3333,554.379925,527.2519,814,1218
"ZNF268",0.000214863611319949,329.887994594595,306.294896880131,5.2446655896261,3.84416469325507,236.379875,212.5506,396.29795,384.8397,814,1218
"ZNF184",0.406049191391107,246.374015479115,242.625781444992,3.54512885116539,2.82524788761069,174.570325,173.401,287.543825,286.5934,814,1218
"ZNF500",0.00497145669878918,240.68244963145,229.766797372742,3.17446876776911,2.36008870579064,179.5436,174.1634,290.607725,270.8543,814,1218
"ZNF419",0.726164555016371,168.657059459459,167.43485862069,2.46117587443494,2.33038379463988,122.765325,113.1352,206.29285,204.7991,814,1218
"ZNF175",0.0740060481102721,118.386404176904,113.777279967159,1.88059124814017,1.69227807432686,81.7393,72.9936,156.482825,148.5187,814,1218
"ZNF14",0.00536416718663524,180.718381326781,168.818928407225,3.02744448706605,2.84365970351612,124.188475,112.7114,226.8795,203.767,814,1218
"ZNF85",7.7198625270114e-10,100.11306044226,78.1176694581281,2.72348142821262,2.26323550645399,53.205425,31.25,128.51765,101.9978,814,1218
