"gene","p-adj-1-[Unknown]","p-adj-2-[Unknown]","p-adj-2-1","p-adj-3-[Unknown]","p-adj-3-1","p-adj-3-2","p-adj-4-[Unknown]","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-[Unknown]","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-[Unknown]","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-[Unknown]","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-[Unknown]","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-[Unknown]","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-[Unknown]","count-1","count-2","count-3","count-4","count-5"
"ZNF195",0.984399453086781,0.730012583624582,0.0883498744710352,0.660575537862187,0.0327120145731562,0.993959742336777,0.617660062699114,0.00710353701469679,0.929608998591861,0.99962545106447,0.341549440864664,0.191005093197257,0.706278663160228,0.79600329722514,0.829293754466988,428.59856,395.104429787234,360.751666269841,355.261543119266,352.481181055156,308.376633333333,54.509644258052,11.6869957247467,6.77764648289105,7.1054230215816,5.30279285547514,24.1473732017036,366.7247,287.371,245.336575,259.417,238.6044,303.8917,475.7792,483.871,446.107975,417.0426,433.5096,350.7463,10,188,504,436,834,18
"ZNF263",0.995527482174019,0.848752195414467,0.146977345282861,0.9214128881533,0.529225288117792,0.94664939243947,0.904995530838909,0.335161062764619,0.96797514488948,0.999904153032655,0.880573982102358,0.142407505700981,0.0097160715256851,0.0223452981179253,0.0168764002181332,752.80832,717.040254255319,672.804224206349,685.347080275229,682.396823021583,845.483366666667,68.1392728558841,15.4470942577723,8.24854551866264,9.6885637423579,8.07020254817878,58.6112593847452,674.0458,567.0853,536.67165,543.2271,540.1532,664.981,941.5643,815.3659,783.9884,789.55,776.9146,942.0833,10,188,504,436,834,18
"ZNF200",0.302744149764711,0.597347310582105,0.414775219589995,0.388387005262837,0.986483383987892,0.611531568029173,0.58453822777473,0.378674995577508,0.999999701814031,0.545799756412062,0.998777744092417,0.290301394818642,0.674063244597176,0.395752137633944,0.65624860730777,290.25096,229.777062765957,244.230366666667,234.930773394495,243.857784172662,276.271877777778,25.8702336258196,4.94289116237899,4.04386350415628,4.53515772980803,3.15607069999361,23.5485383459392,206.446,183.517,189.300375,172.0391,181.9714,178.4576,352.1174,264.5386,271.395925,283.2413,281.3187,368.8593,10,188,504,436,834,18
"ZNF582",0.970974430447849,0.998210114079467,8.13885314100427e-05,0.999980802828364,0.20284809190134,0.0424247453313127,0.999995289084537,0.00383493262176449,0.535695466870644,0.596465974525586,0.699098990751406,0.0111682807090587,0.460247143808786,0.0988223483047674,0.227762187608006,28.01518,33.5032489361702,25.0612484126984,29.1894899082569,27.1344899280576,15.6512444444444,4.63880329421285,1.67991464501472,0.880621971812011,1.00488933784614,0.792539113816061,4.99162724834495,29.1202,15.589,8.98435,13.8259,10.4128,1.912,36.5854,45.9976,35.99385,41.2371,35.788,11.4329,10,188,504,436,834,18
"ZNF285",0.459345288845275,0.871489776863113,0.0810933452086708,0.743480794104003,0.53136101951092,0.825176101075948,0.858443730636774,0.0700556677772695,0.999991433087547,0.828565098619242,0.983242746169452,0.796031934708027,0.999164017472836,0.98240796045001,0.998671433883945,20.59134,41.2078510638298,33.1901083333333,35.9998050458716,33.4751074340528,30.1234888888889,5.19088999496447,2.64287427530471,1.46406938098468,1.700126926393,1.25355783571742,6.36781117685743,6.0698,13.5593,7.691925,8.5175,7.4442,8.1301,32.23,59.9647,48.5055,49.4873,49.3134,45.9103,10,188,504,436,834,18
"ZNF275",0.999999531215233,0.999339904926285,0.597399664182381,0.999999998062088,0.998729494435685,0.62303328220588,0.999970171635508,0.900042664935652,0.941234898826124,0.957778375644733,0.999846912465575,0.995514630296373,0.999999988046629,0.998884428233831,0.999974482845665,643.97288,636.365071276596,676.293999603175,646.472791284404,661.138781055156,673.595933333333,77.3368078064985,17.8136947581705,14.1139466802659,12.5098961071887,10.4609006652766,53.949193770839,510.5328,456.6379,484.2146,457.3022,471.709,509.1027,655.9233,804.1667,838.64075,810.6061,821.8654,819.1715,10,188,504,436,834,18
"ZNF37A",0.967879565506879,0.999984915487463,0.146966212730226,0.94804281466747,0.999630280406716,0.00466644424442197,0.994299506802135,0.895987173791281,0.258625538748345,0.398017412240931,0.714089508214991,0.0117203601971316,0.110020684933104,0.00589708256529575,0.0255658490144968,409.35166,364.687224468085,400.470851984127,360.051201834862,379.485101678657,506.0119,25.037426783443,11.4085694661144,8.1293972414388,7.52795572497571,6.06107082786857,66.0901365688612,340.1487,252.8736,282.691475,231.2045,258.2188,356.3697,465.9741,470.2247,491.2199,453.281,476.0307,508.6382,10,188,504,436,834,18
"ZNF510",0.794934693715837,0.983261845474689,0.196001767567355,0.933887132396707,0.788328112116609,0.799525199369129,0.953922270459439,0.511189092380368,0.917807274201947,0.997582439713123,0.928399861292836,0.999992256763555,0.984893879467641,0.99952152455736,0.997907777594469,192.80452,225.273130851064,209.961173809524,216.461172477064,214.366908393285,222.557688888889,25.2724238706091,5.39479900623154,3.33615612290972,3.52624088069035,2.86262199210623,20.410075966463,138.5714,170.9364,154.2316,161.8452,157.4194,172.0841,243.259,270.2889,249.24305,264.6856,252.2369,249.6042,10,188,504,436,834,18
"ZNF506",0.998957131970285,0.998874556840678,0.0442875875881047,0.996487402938227,0.998939604657814,0.000266148375808406,0.999988016507922,0.267445198057432,0.771645902367102,0.00660928148421691,0.938475246278784,0.348217626319563,0.912873393380594,0.247337228587898,0.764800603790999,298.57614,321.216837234043,275.943040873016,327.324879816514,289.613323261391,231.366933333333,26.4003878430905,10.7120678366544,6.81022392574746,8.47061307782784,7.24961076710907,38.3759054701479,298.7805,220.9602,179.357275,206.2274,161.8888,100.6098,359.9752,390.6744,335.830325,422.6689,369.5652,343.9808,10,188,504,436,834,18
"ZNF324",0.0767859582132659,0.347225116627448,0.0598090733039623,0.268359778742376,0.24468695072643,0.978720366620732,0.46494490541078,0.00268565006874699,0.874394671870119,0.420684926702972,0.315159665712365,0.999810285817531,0.979987637264359,0.995526021020868,0.922483166731097,225.38512,160.06070106383,177.860082142857,174.310006880734,182.569364028777,165.0187,52.2064234314063,4.13420383025361,3.05171967584163,3.5677003683963,2.78030719576588,16.4207035125098,127.1777,122.9726,130.3561,126.2154,127.0374,100.9234,203.2218,190.9341,219.61915,214.991,216.7301,173.2724,10,188,504,436,834,18
"ZNF671",0.937388044087901,0.915261351923268,4.83114659388661e-11,1,0.00674927651913437,1.38281389544526e-05,0.934473739953554,4.45311565400175e-11,0.999033392215339,5.90559393931489e-06,0.186461464408739,1.26255210951554e-05,0.13302961363288,0.00203910349792091,0.103237515446918,117.06102,139.285843617021,93.4801273809524,117.043989908257,95.0307040767386,50.0678888888889,30.0749706420354,5.34509114755324,2.96764171769672,3.97232865219498,2.4841052204096,11.246552254741,69.2857,88.9236,38.182175,52.9093,42.0824,11.0818,160.2787,191.1565,138.518575,170.3612,133.8896,63.2622,10,188,504,436,834,18
"ZNF416",0.993035393476373,0.976168098729055,0.989040268874829,0.99218837877598,0.999999999341544,0.969182679317652,0.996692548976685,0.999057076840469,0.674501865896474,0.994418121681112,0.862986741745417,0.889154643164495,0.949401281713611,0.881160613215701,0.814087572946415,127.89658,118.152070212766,115.320967460317,118.052534862385,119.744823501199,104.064511111111,32.4280409256995,4.0591536220952,2.31703687753736,2.37370655299319,1.8586153861798,10.5311744938629,68.8153,84.375,77.44575,80.3759,83.1667,75.3539,130.1115,143.7356,146.643525,149.634,147.7233,122.1651,10,188,504,436,834,18
