"gene","p-adj-Lung Squamous Cell Carcinoma-Lung Adenocarcinoma","mean-Lung Adenocarcinoma","mean-Lung Squamous Cell Carcinoma","SEM-Lung Adenocarcinoma","SEM-Lung Squamous Cell Carcinoma","Q1-Lung Adenocarcinoma","Q1-Lung Squamous Cell Carcinoma","Q3-Lung Adenocarcinoma","Q3-Lung Squamous Cell Carcinoma","count-Lung Adenocarcinoma","count-Lung Squamous Cell Carcinoma"
"ZNF586",2.88737115727855e-06,158.971075968992,175.775748,2.01545391746241,2.98538171919333,115.3755,113.9331,187.512975,219.541875,1032,1000
"ZNF446",0.0150556342220824,211.181585271318,221.5587,2.65601343964377,3.35543226978333,156.12155,155.386025,254.31495,266.7874,1032,1000
"ZNF8",5.14348563740441e-11,96.374253875969,115.1046212,1.30721724694162,1.8548314808575,67.1014,74.684925,116.15635,140.0831,1032,1000
"ZNF264",0.706255106076692,641.562362984496,646.0156664,7.68196009392216,9.01074705347656,464.149425,436.5692,782.689725,803.117425,1032,1000
"ZNF213",1.04251274279932e-10,518.025301356589,462.2122876,6.13524854933477,5.80902077443217,391.731725,338.12715,621.569725,541.282625,1032,1000
"ZNF343",5.14126519135516e-11,191.769560852713,305.3589422,2.26304371231994,4.32066871540988,141.801325,208.582375,228.909625,369.97635,1032,1000
"ZNF302",4.98507205470844e-06,474.443693410853,423.973538,6.9484130318056,8.60373970995924,335.8217,270.141425,573.57,489.096975,1032,1000
"ZNF268",5.14319697941801e-11,343.088093992248,287.529099,4.5787709841462,4.06471513536681,245.86075,198.7094,415.8604,358.1886,1032,1000
"ZNF184",1.30742544346418e-07,232.680721511628,255.9401458,2.74137945047418,3.44919702470832,171.607,176.80095,275.08995,304.001425,1032,1000
"ZNF500",4.38870650265599e-07,243.587734302326,224.3889314,2.62766117699626,2.73081815470191,184.72455,166.022825,291.93325,267.44405,1032,1000
"ZNF419",0.0564180501678159,164.714483333333,171.2371574,2.13997990165962,2.67812231197743,118.551725,114.382975,199.29395,210.073425,1032,1000
"ZNF175",0.31694301129657,114.37794379845,116.909222,1.61213560689186,1.95733399255107,76.8942,73.883725,145.5789,155.664375,1032,1000
