"gene","p-adj-classical-basal","p-adj-primitive-basal","p-adj-primitive-classical","p-adj-secretory-basal","p-adj-secretory-classical","p-adj-secretory-primitive","mean-basal","mean-classical","mean-primitive","mean-secretory","SEM-basal","SEM-classical","SEM-primitive","SEM-secretory","Q1-basal","Q1-classical","Q1-primitive","Q1-secretory","Q3-basal","Q3-classical","Q3-primitive","Q3-secretory","count-basal","count-classical","count-primitive","count-secretory"
"ZNF195",0.0638398844515123,4.01755961831896e-10,3.52620259547187e-06,0.837206798505469,0.397945277511302,2.94681028467636e-08,290.657404651163,335.667769230769,442.950625925926,307.267193023256,12.700080351609,10.0722780445888,25.4366287646634,13.0252176917194,206.979575,246.4833,301.30955,207.85875,329.6462,406.0052,555.049575,377.338525,86,130,54,86
"ZNF263",0.000774378800624476,0.0013405360699702,0.908023766606655,0.999695644928586,0.00115152229706417,0.00182310354501969,594.9604,733.85864,761.9763,598.697637209302,18.8859925526586,18.9931522842892,68.1852989093543,14.9108769976153,468.612325,576.1846,475.72785,487.777425,698.364725,873.6784,860.633875,672.870325,86,130,54,86
"ZNF200",0.468779196181988,0.698876655444375,0.999805124682127,0.974048052570977,0.22248651738938,0.463494007471107,268.330818604651,288.991116923077,287.637788888889,261.677304651163,10.4331320490047,8.76489645329246,17.5179552507155,10.0216133012435,195.5799,224.6942,205.8414,200.2068,335.4399,350.9741,326.2639,307.52525,86,130,54,86
"ZNF582",0.00414388481024397,0.95365760631451,0.0868380172928058,0.892054015554601,0.0451967919682591,0.999602520648851,32.5189790697674,21.5416630769231,30.413,29.9957651162791,2.8550074565805,1.78586573289934,3.64616293489837,2.29874125185775,12.432675,7.8106,7.653875,13.5904,52.164425,31.6484,48.945325,44.11255,86,130,54,86
"ZNF285",8.38456815088762e-09,0.505348818937302,0.000809460092121239,0.193360812253582,0.000385310016297491,0.984410297961317,40.0077372093023,14.1693292307692,32.7874814814815,30.9362372093023,4.48145209275591,1.37462995380067,4.92099501002954,3.01518548860832,8.5334,4.451,4.19415,10.90055,70.82125,16.2011,49.116125,46.953075,86,130,54,86
"ZNF275",0.000364488218287384,0.00965775867758678,0.999604947232889,0.0561565328039535,0.583951258927889,0.794835387572845,514.318769767442,671.383192307692,666.718537037037,622.219527906977,22.9282944906978,29.2311548838449,41.4181462598773,24.2747752597313,340.166625,491.4428,477.015125,466.53855,617.235875,816.2577,936.089325,746.31015,86,130,54,86
"ZNF37A",0.76866525878832,0.0818974816217726,0.310795492369962,0.0148555688873591,0.0921822424421178,0.993964210501673,261.316553488372,278.448038461538,314.123659259259,319.83941627907,12.5221502413869,10.8295271171503,20.9898568536837,13.5995278556873,149.745225,189.4453,207.712975,205.60335,368.659775,331.1132,393.06,390.776675,86,130,54,86
"ZNF510",2.97311952834889e-10,4.60209435049208e-06,0.974004645954131,0.000304302410811141,0.102394893907453,0.477917162993631,169.150502325581,237.898935384615,232.869648148148,214.692460465116,4.96491672024005,7.33734949273795,11.5184156177375,7.47982922206238,141.210075,177.8135,160.17465,169.881775,198.0089,285.9918,275.019525,269.071675,86,130,54,86
"ZNF506",0.998440101652209,0.140692102271798,0.0712052629093625,0.141899406265081,0.0595024988778401,0.993499237558987,237.262841860465,233.139846153846,304.831122222222,296.497986046512,16.8232379990916,12.1034346155996,36.8177855704881,20.8176869751876,119.1554,131.6757,104.700275,184.419625,313.4231,309.633,410.51155,358.49375,86,130,54,86
"ZNF324",0.145628791176139,0.958345082955715,0.0852103527345336,0.900302695364838,0.518238394218495,0.683421712140019,207.015244186047,181.354829230769,214.583814814815,197.875023255814,11.7247015000687,6.30844553577491,10.8110130638848,9.33845382562405,132.456575,130.0316,170.1795,160.8603,252.735725,212.301,263.3653,230.50655,86,130,54,86
