"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IVA-Stage I","Stage IVA-Stage II","Stage IVA-Stage III","Stage IVB-Stage I","Stage IVB-Stage II","Stage IVB-Stage III","Stage IVB-Stage IVA","Stage IVC-Stage I","Stage IVC-Stage II","Stage IVC-Stage III","Stage IVC-Stage IVA","Stage IVC-Stage IVB","mean-Stage I","mean-Stage II","mean-Stage III","mean-Stage IVA","mean-Stage IVB","mean-Stage IVC","SEM-Stage I","SEM-Stage II","SEM-Stage III","SEM-Stage IVA","SEM-Stage IVB","SEM-Stage IVC","Q1-Stage I","Q1-Stage II","Q1-Stage III","Q1-Stage IVA","Q1-Stage IVB","Q1-Stage IVC","Q3-Stage I","Q3-Stage II","Q3-Stage III","Q3-Stage IVA","Q3-Stage IVB","Q3-Stage IVC","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.86946466039609,0.985128227434619,0.966143377274583,0.994207871840074,0.801014781632778,0.999554709916034,0.922594554879476,0.99971315523876,0.986941317610432,0.969107336586984,0.999993197046135,0.993810963773906,0.999824847843535,0.999978414427315,0.987905012700809,199.731825,227.174910204082,215.935296190476,212.278728409091,236.386781818182,205.706842857143,22.5694639835622,9.95563289953988,12.6383013562465,5.31396884413095,19.8571431513783,20.9599021104682,145.91875,159.834475,143.4452,153.93085,195.739,172.07355,217.092975,270.011325,265.1515,250.324475,277.91485,257.40765,237.266563636364,216.176789807692,228.9811,195.71805,195.66725,256.8491,154.102325,261.126375,10.3791654038505,4.30429547785759,0.911113586737853,0.8547345173903,-0.134297171696208,-0.226451709883312,"HNSC"
"ZNF263",0.916804722590764,0.814519211676545,0.998519715138632,0.27125066850171,0.286847907794075,0.560042355695822,0.682369714116921,0.929178172926199,0.969960187047786,0.999968429210018,0.1783248737057,0.342149794158038,0.428358999824981,0.729379548993215,0.922061774583541,565.925385,613.31061122449,624.383828571429,661.21821780303,672.291218181818,764.140728571429,35.7013698482361,16.5286489926471,18.4922167636339,12.7304457237617,56.4731381292265,41.468400309603,478.599375,510.38175,492.3964,519.947825,575.15555,689.95375,602.9102,706.6599,724.9892,751.685875,717.2622,810.64345,588.740272727273,644.037497307692,568.3472,617.3822,503.662575,683.2816,513.056925,741.4806,19.2676574953644,8.50096453527708,1.09392465088937,1.08627648733028,0.129513369271268,0.119391355565936,"HNSC"
"ZNF200",0.799361309983243,0.938082146144439,0.990611641859169,0.999617657544479,0.324389805091829,0.757817378070184,0.638452714687513,0.960837919102211,0.878634012480371,0.568990157280931,0.501356684136761,0.854578173299691,0.737504956583917,0.45655082668564,0.998815748742798,250.85837,276.113656122449,269.238045714286,256.667445075758,297.578681818182,312.857842857143,14.765242004353,7.73019463942587,8.2372571408434,4.99554511551336,30.1003912864504,28.833993729243,205.28765,213.130225,207.7986,204.56855,235.79845,277.4527,299.394625,310.961675,327.3263,296.59435,337.15035,370.3413,161.845868181818,264.804867307692,158.6769,255.0566,134.984525,178.2414,207.918825,310.542225,6.1931834117933,3.55598403516756,1.63615463454532,1.60739590954953,0.710309105216764,0.68472531569387,"HNSC"
"ZNF582",0.998821023733597,0.99031258824281,0.999009038642621,0.999053399334183,0.636949112759577,0.321131155358166,0.999999999860802,0.999552204952692,0.996572420179136,0.999832127151638,0.571172237655812,0.295267696327125,0.226665101313733,0.561254048846,0.677951167164369,9.438645,10.3883908163265,10.9128780952381,8.5807571969697,9.37985454545455,2.2951,1.70854233893098,1.08299042412782,1.29365679143913,0.501851285101267,2.93622546159842,0.646067645728482,3.9143,3.7103,3.0425,3.39965,3.9233,1.1003,10.878925,13.35495,12.4467,10.4816,9.3291,3.21065,24.5167181818182,9.35938576923077,21.6916,6.2757,15.4489,32.1235,3.2052,11.282175,1.87837875612217,0.436074236160618,0.381755245535749,0.289314757786424,-1.38928011427278,-1.78928817866355,"HNSC"
"ZNF285",0.99989767996649,0.899523331911602,0.718042038198164,0.998168897154113,0.999330740910391,0.747392619125047,0.927541672500271,0.929920004419404,0.999422599710336,0.955807305105318,0.999968028056325,0.999216913779619,0.953725733903714,0.997016184231864,0.940651608043477,10.813775,11.9057346938776,15.6365628571429,12.6776859848485,17.6429818181818,9.2687,2.39109691926304,1.31497085636401,1.99551993437353,1.25460249739092,6.03716103421615,3.41518659547392,4.00455,3.2574,2.4953,3.60085,5.66905,3.21485,15.0938,16.8508,21.2202,16.0681,16.50495,15.7285,23.0243727272727,13.1557594230769,22.1659,7.181,12.95835,29.9892,3.313,16.7107,2.24723916894613,0.817151621412972,0.571384053711644,0.323966092060327,-0.807467321042463,-1.62608527367984,"HNSC"
"ZNF275",0.976187641456092,0.972007053229809,0.99999998311141,0.528531417420453,0.466704283977519,0.469838100880086,0.82361865348763,0.952650448042296,0.956048501011848,0.99994256828592,0.997237071667892,0.999999917502031,0.999999981645047,0.996233500710289,0.995009603493117,352.81542,398.350455102041,399.795333333333,451.411051893939,467.586345454545,403.878442857143,31.9421593415996,22.9958608788625,22.458605898459,16.5072281446234,65.6240024544836,126.978136091348,221.68145,222.945725,238.9337,259.03375,329.18885,192.23725,457.98825,512.9496,518.3268,596.521025,512.6518,498.3433,271.169859090909,422.554947692308,212.37515,368.028,179.750975,332.09445,244.42415,537.955475,24.6919516615655,10.9072432706947,1.55826664920989,1.73291460888903,0.639942127222866,0.793200565999806,"HNSC"
"ZNF37A",0.96015567894859,0.999955625861785,0.874163381887049,0.992973586199253,0.989222541845439,0.979452102073533,0.912371025458879,0.993849077515287,0.900611753027051,0.965433606398971,0.997293724970931,0.999999999999878,0.998718549765636,0.999967369364593,0.999125418001711,303.91876,335.942601020408,311.520282857143,324.451979166667,363.3018,335.665985714286,22.9915540859457,14.8275557940862,17.2007911875826,9.26544097881343,57.4998173442063,75.4041662097641,212.119675,237.9489,196.5384,217.86875,234.80195,200.59125,386.462675,397.7872,374.1176,408.71435,399.1971,512.5709,325.433568181818,328.528931153846,337.2188,301.32665,260.210775,402.6773,216.46205,397.62955,16.4139662543146,8.66499707692465,1.00951150488046,0.893564208163958,0.0136573524122395,-0.162356695255153,"HNSC"
"ZNF510",0.982221773947158,0.996254857246021,0.999270053769133,0.999085115363613,0.979561411455358,0.999636635235266,0.679390631743855,0.834300915833098,0.747316604408689,0.650290080100948,0.663132976363052,0.276891435822033,0.343311026951369,0.374731542347975,0.122867954146552,177.92113,190.621783673469,186.93171047619,184.304373484848,219.074381818182,128.948471428571,10.1058080604985,7.2923865577786,7.80221337126517,4.5901142256511,21.1910126867707,26.3273095992836,143.5064,132.88815,134.6672,128.98455,170.8648,80.8971,203.1274,226.2739,216.1843,226.1772,266.37045,167.6801,171.282993181818,185.284188846154,168.29165,175.6974,123.658975,207.98035,132.25195,221.441425,8.89046998695973,3.24103694046322,1.08174305810661,1.04400545125085,0.113357862551068,0.062129244926988,"HNSC"
"ZNF506",0.99999999920514,0.909507489499581,0.505138851822921,0.944551568968207,0.5106889969265,0.999371348427461,0.999197821113621,0.998535194239419,0.999188638473634,0.999882499137247,0.724799587124705,0.624274698415341,0.936304197125941,0.896811178727824,0.919507305987134,178.850115,178.261106122449,152.049288571429,156.292924621212,164.333572727273,112.776942857143,19.3165068645654,12.5185339228268,10.8412586012153,6.02206710695198,48.418222848011,31.44299961145,125.844775,83.238625,55.3846,77.493675,49.48725,52.6777,218.45545,260.087525,231.5659,221.438375,180.5238,161.33415,246.999822727273,159.407996923077,246.71335,148.062,206.4163,300.481925,74.69655,228.9245,10.2601148921627,4.67912995534408,0.645376968950657,0.600137771223162,-0.631786000442636,-0.736634362425863,"HNSC"
"ZNF324",0.95820306896761,0.999999934190443,0.734568298255455,0.99614606068849,0.971135488144183,0.948496258486714,0.962753604429071,0.999552775780064,0.937011747504745,0.988775434879068,0.999890748638467,0.999831432630374,0.999899105347281,0.99999999772925,0.998276203876975,247.73312,231.277437755102,246.68775047619,238.555208333333,223.230963636364,239.391828571429,15.8228597726377,6.47757649602964,8.96902294612116,4.9190673781454,17.8871132924708,27.6570176578138,196.05875,181.786525,175.8034,187.1979,187.03825,176.72695,276.838325,271.04,298.0804,281.871675,254.9697,283.79575,239.172456818182,239.748343653846,243.46975,231.2504,200.042225,280.986425,186.425175,281.346025,8.72830144630759,3.5112297809354,1.00240783091551,0.949811629576159,0.00346959030197709,-0.0742866740994754,"HNSC"
