"gene","p-adj-hyper-methylated-CpG island hyper-methylated","p-adj-hypo-methylated-CpG island hyper-methylated","p-adj-hypo-methylated-hyper-methylated","p-adj-normal-like-CpG island hyper-methylated","p-adj-normal-like-hyper-methylated","p-adj-normal-like-hypo-methylated","mean-CpG island hyper-methylated","mean-hyper-methylated","mean-hypo-methylated","mean-normal-like","SEM-CpG island hyper-methylated","SEM-hyper-methylated","SEM-hypo-methylated","SEM-normal-like","Q1-CpG island hyper-methylated","Q1-hyper-methylated","Q1-hypo-methylated","Q1-normal-like","Q3-CpG island hyper-methylated","Q3-hyper-methylated","Q3-hypo-methylated","Q3-normal-like","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF430",0.330115535469388,0.000151503230432004,0.00410131584368068,0.00704035984957918,0.166834930691542,0.282724755950084,104.82339787234,123.236517857143,164.189066666667,141.916944047619,7.89307766021352,4.79137872378015,12.1454381584309,8.23576059923558,72.7411,88.785625,108.048675,93.61415,135.0491,154.45875,201.754775,171.53565,169.131693181818,119.383315961538,169.96145,113.40585,113.996225,211.699375,75.695225,157.228625,11.5432952115282,3.20429893398487,0.705860112410749,0.667244542806619,-0.502545796841145,-0.583712493842749,"HNSC"
"ZFP30",0.418574011964825,0.000352917417900223,0.00567410120913103,0.00406068240635027,0.0680486004263352,0.497413409093938,84.735970212766,106.436375892857,158.155397222222,135.377798809524,10.2132313918141,5.77642963587094,13.2900716452764,11.7283555225652,21.30775,63.015925,112.66245,80.144325,140.8721,142.634125,181.269925,170.371925,121.582865909091,113.951864423077,118.24825,103.85215,87.3126,152.527525,59.581875,154.59765,6.23930559028684,3.4180852082455,0.93723620981496,0.878255280733541,-0.0935154015577079,-0.187287748842291,"HNSC"
"ZNF549",0.0108048462616001,0.000260512586883976,0.203066463634299,0.363271629036554,0.327611430926075,0.0106903064665488,71.7196361702128,103.226403571429,125.141475,88.9892428571429,7.82109679285191,5.01609688675966,11.5976118699384,6.72582838334482,28.6616,61.23935,84.563825,39.2831,111.3513,131.57775,167.952775,121.1914,94.3184659090909,93.3680369230769,82.66355,87.28855,60.8538,126.96195,47.340075,127.7553,6.65875603085324,2.63582850805034,0.989923192909753,1.05594969003872,-0.0146115025303455,0.0785411001692077,"HNSC"
"ZNF211",0.992818852351331,0.407634445756911,0.411190909358479,0.989001589170229,0.885377872994705,0.184680699699928,150.759995744681,154.1001,174.902633333333,146.711864285714,11.3882720656343,6.30648620023375,12.0893550784328,7.54139967654805,111.0624,107.841925,134.18245,102.067775,180.4923,184.835925,201.46125,167.317525,152.716022727273,164.989179038462,149.51195,153.27945,115.06135,178.827,112.7532,204.33175,7.29684612098897,3.37973878138128,1.08036587184507,1.02519865468947,0.111519971748169,0.0359034905758219,"HNSC"
"ZNF205",0.743014877844137,0.158758652332834,0.43926202870828,0.999684477616097,0.691863289948255,0.11600263374771,313.303378723404,294.481536607143,263.716211111111,311.4345,15.7350523169796,9.11866012474994,19.3594736929169,12.6349150529766,250.49745,231.314075,194.71845,230.925875,354.1692,336.317025,323.0785,365.82855,284.186747727273,359.0727575,258.5792,307.154,232.1586,315.761675,243.589,398.197125,16.2936656784148,9.8161618031464,1.26350985882211,1.18785269658194,0.337436921281716,0.248355941284361,"HNSC"
"ZNF45",0.996903215755539,0.732543338431127,0.747894179835683,0.983870349429208,0.996831190374559,0.84780203961682,219.737508510638,216.969992857143,202.116275,214.6537,11.8288573559381,7.17262274225622,11.1045875146633,8.85172504610414,170.1369,167.626075,164.8669,158.355175,243.6144,247.625,237.08315,250.442575,190.157031818182,207.334619230769,193.88415,195.0109,155.741875,227.45565,151.787325,241.160075,7.30887246877722,4.71720743186201,1.09033369551651,1.00581146009099,0.124769737928935,0.00835989651128495,"HNSC"
"ZNF133",0.117746807415421,0.108235452010451,0.932462071495144,0.401409921256624,0.892212655655834,0.694958948023915,383.573836170213,321.888229464286,303.638286111111,338.249782142857,26.5941856828287,13.5343749511918,21.8401534850297,19.1593220535936,262.53455,231.607175,224.360525,228.92945,462.51275,394.2705,352.533125,370.1888,270.862347727273,391.07194,259.6112,353.8567,224.721625,300.2678,262.4427,471.625875,10.0752322029403,7.99732378174044,1.44380325756374,1.36302555513784,0.529874164195182,0.446812611244374,"HNSC"
"ZNF436",0.425918908878549,0.448519388889223,0.986988951386047,0.858895153175771,0.837763866594424,0.790142456705072,757.320253191489,828.948458928571,846.347172222222,796.304572619048,28.9887270033462,23.7678087277343,46.3758060677059,35.1712633066436,601.8231,663.704025,629.41195,550.145475,871.273,1001.644275,996.804575,995.756325,814.266284090909,746.716577115385,827.0278,717.3822,576.0617,1034.6425,535.934925,929.02225,54.3749957552003,12.9478161650809,0.91704223999531,0.867422110840772,-0.124939907382987,-0.205193876503307,"HNSC"
"ZNF484",0.932593790910527,0.999999992688679,0.949323832155456,0.448825966815792,0.657485380174194,0.529661937452316,96.3419319148936,100.822084821429,96.367975,107.990352380952,7.45739819387612,3.74073406005583,7.95514859986453,4.43284060577289,66.65445,75.742575,69.724675,79.1367,110.1808,119.20475,111.782425,132.942175,51.2951454545455,88.3934838461538,50.63495,80.4634,37.798675,61.615925,58.745025,111.139,3.11948018144797,1.95759596900424,1.72323293096971,1.58908816933758,0.785117725150709,0.668199173734377,"HNSC"
"ZNF780B",0.999371155299083,0.231935990933903,0.161253368933384,0.0122246866999451,0.00127866293411227,0.894659555167749,130.293993617021,132.023099107143,164.934027777778,176.532788095238,11.9136104710097,6.17087069280873,9.87618794700733,11.7782178992557,84.83735,89.5715,113.157075,107.7621,139.00855,157.4763,207.168575,209.846275,159.89025,151.403623076923,148.3908,129.83515,123.189075,196.82725,98.0068,185.85145,8.91079578625616,3.78543072921063,0.946922173659264,0.874954175056675,-0.0786822376095068,-0.192720635827787,"HNSC"
