"gene","p-adj-Head & Neck Squamous Cell Carcinoma Basaloid Type-Head & Neck Squamous Cell Carcinoma","p-adj-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant-Head & Neck Squamous Cell Carcinoma","p-adj-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant-Head & Neck Squamous Cell Carcinoma Basaloid Type","mean-Head & Neck Squamous Cell Carcinoma","mean-Head & Neck Squamous Cell Carcinoma Basaloid Type","mean-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","SEM-Head & Neck Squamous Cell Carcinoma","SEM-Head & Neck Squamous Cell Carcinoma Basaloid Type","SEM-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","Q1-Head & Neck Squamous Cell Carcinoma","Q1-Head & Neck Squamous Cell Carcinoma Basaloid Type","Q1-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","Q3-Head & Neck Squamous Cell Carcinoma","Q3-Head & Neck Squamous Cell Carcinoma Basaloid Type","Q3-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","count-Head & Neck Squamous Cell Carcinoma","count-Head & Neck Squamous Cell Carcinoma Basaloid Type","count-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant"
"ZNF132",0.12809963504237,0.965722220872974,0.68375253735162,38.8778710629921,56.83453,31.5861,1.27285571065041,13.1025467169304,NA,20.858575,31.84275,31.5861,46.634025,56.143575,31.5861,508,10,1
"ZNF20",0.000631101479273477,0.995970663117981,0.543896392270134,79.9842419291339,120.87505,82.928,1.53186229726439,7.45484697214205,NA,57.945275,107.950075,82.928,98.4421,135.161525,82.928,508,10,1
"ZNF670",0.000305802745045991,0.773217831092429,0.156651227938732,61.932737992126,103.70412,39.052,1.45254333958391,19.3428935036721,NA,41.836125,60.53135,39.052,74.13435,126.306,39.052,508,10,1
"ZFP37",0.000275925472787764,0.946693416041911,0.641900112754345,55.4936196850394,106.67759,68.3409,1.79665652482696,16.2682472609371,NA,28.56025,80.5652,68.3409,72.927975,149.2868,68.3409,508,10,1
"ZNF189",0.00856615819622342,0.89918636270428,0.381710967563779,329.540184055118,460.93039,268.7693,6.1451952338713,38.7659659161843,NA,242.50905,355.374475,268.7693,395.4372,579.1247,268.7693,508,10,1
"ZNF434",0.168571581905785,0.5970359234443,0.304109519125991,305.800599212598,356.86227,219.9544,3.9220533341002,30.3596355393109,NA,247.4755,291.42515,219.9544,351.81595,428.275225,219.9544,508,10,1
"ZNF287",0.486611950604596,0.0269368836059291,0.0869274075473382,66.7250549212598,85.04868,196.4084,2.22247305474761,15.9768496921834,NA,27.514825,54.077525,196.4084,91.451875,101.263675,196.4084,508,10,1
"ZIM3",0.799411834242399,0.954713685635092,0.996245279631851,0.296869488188976,0.08861,0,0.045767013414786,0.0590746541815241,NA,0,0,0,0,0,0,508,10,1
"ZFP14",0.000541008343611926,0.876539504662943,0.240813686999002,78.0089230314961,149.72948,48.8149,2.64186838102696,20.383549934122,NA,37.312025,104.555125,48.8149,101.115775,163.8698,48.8149,508,10,1
"ZNF473",0.406488095311785,0.616863457068186,0.404446869581486,271.835703937008,320.49469,160.2279,5.27894700169567,36.9665987487367,NA,193.39695,230.041225,160.2279,323.7067,374.8886,160.2279,508,10,1
"ZNF614",0.997356187559878,0.993348226189226,0.99612565355438,160.34762519685,157.55435,146.4448,5.62378732945204,29.2295956765827,NA,70.290225,82.615075,146.4448,213.94335,216.012875,146.4448,508,10,1
"POGK",0.158698610462116,0.92015065880807,0.621479747408075,1360.60546889764,1791.1286,1075.0774,32.784577438196,115.136273014513,NA,1035.17045,1549.31185,1075.0774,1537.12445,2013.20735,1075.0774,508,10,1
"ZNF514",0.00506831734738122,0.891460206616266,0.345862017064922,131.978242716535,211.10809,95.907,3.48069774932884,32.1226662277258,NA,79.867,143.0013,95.907,158.896325,229.3607,95.907,508,10,1
"ZNF300",0.000125860925824339,0.999948126110882,0.414958608701237,95.6053127952756,210.59811,94.7584,3.76820477700168,54.6327321095441,NA,37.09865,72.33595,94.7584,128.359,312.828725,94.7584,508,10,1
"RBAK",0.854376972474146,0.836527594051332,0.923282432774862,552.055212401575,514.33524,426.1258,9.85726319714669,43.9091474284755,NA,398.276625,430.598775,426.1258,657.06345,590.837675,426.1258,508,10,1
"ZNF92",0.578587394060056,0.906092991428459,0.759141361059179,155.502937007874,180.46684,122.3245,3.47799991987983,24.0630390047253,NA,103.029875,116.803025,122.3245,190.08715,189.712925,122.3245,508,10,1
"ZNF157",0.092322992395217,0.937411203340452,0.599993259806078,2.12081929133858,5.13566,0.5743,0.19936281908185,1.71900558962313,NA,0,0.552725,0.5743,1.938925,7.21725,0.5743,508,10,1
"ZNF182",0.0169059274424883,0.719403882805614,0.994588655162389,111.253778346457,168.02007,161.2961,2.87047125743091,19.0667008050513,NA,74.10365,130.164625,161.2961,132.954475,204.560775,161.2961,508,10,1
"ZNF673",0.857870183609334,0.0251526209035259,0.0524749227586907,152.536644094488,176.16913,519.1613,6.27133604482025,16.8000165100385,NA,102.4904,123.2519,519.1613,175.22965,217.993125,519.1613,508,10,1
"ZNF41",0.988664939754087,0.99054886230914,0.996346741058586,182.848645669291,176.14639,163.6736,6.51114262828858,28.6322336180375,NA,121.278825,117.02185,163.6736,220.689075,224.8333,163.6736,508,10,1
"ZNF7",0.568389569010453,0.453249903861532,0.680003116745196,477.680076574803,532.58474,681.5026,7.55766235017703,37.6401202984062,NA,353.90495,444.9172,681.5026,552.813675,638.52695,681.5026,508,10,1
"ZNF214",0.0802606251668033,0.886650666864598,0.976011333574982,14.8857173228346,28.466,24.1203,0.844232836253418,13.9657256819926,NA,2.58355,3.37135,24.1203,19.3694,30.098025,24.1203,508,10,1
"ZNF215",0.969231699118198,0.732174471836616,0.70885868878153,36.6515799212598,33.68519,66.0437,1.73484573538243,10.6736661120457,NA,7.2038,5.3951,66.0437,51.2101,60.079,66.0437,508,10,1
"ZNF547",0.31024527181348,0.984969365477435,0.95564524334212,35.1569541338583,44.41934,38.4489,0.872381150580756,8.90380331223311,NA,21.741675,18.477325,38.4489,43.892925,63.025825,38.4489,508,10,1
"ZNF773",0.767717741237188,0.984865026319145,0.927437666576939,86.6120177165354,96.39336,79.2525,1.94594636074508,19.1435404063918,NA,58.7686,43.730025,79.2525,110.337625,145.10585,79.2525,508,10,1
"ZNF776",0.977060437861923,0.763790433046872,0.745664310611675,257.243538385827,264.50473,179.6275,4.88724355798934,45.4627569785596,NA,189.44055,138.755775,179.6275,317.632375,370.534075,179.6275,508,10,1
"ZNF256",0.201611720061449,0.993977618397789,0.906804462745523,74.5685909448819,105.00097,80.4011,2.46065372956637,20.9366551120387,NA,31.40515,59.606875,80.4011,103.7616,157.124675,80.4011,508,10,1
"ZNF599",0.00245302190429308,0.0627286927783087,0.493554256747409,60.2415625984252,94.56036,132.6618,1.42483134056867,8.61540418858634,NA,38.832925,67.803175,132.6618,73.362575,112.763775,132.6618,508,10,1
"ZNF18",0.0237445903258967,0.632716132464638,0.997336696965051,210.463275,286.30614,292.8897,3.98346750637871,35.9517439774583,NA,155.338325,213.7917,292.8897,245.26295,340.949925,292.8897,508,10,1
"ZKSCAN2",0.793428435453048,0.99993810551773,0.980853938505667,127.367736417323,141.02383,128.0674,2.91884321415362,23.8623101862938,NA,90.14915,106.863025,128.0674,155.397575,151.0196,128.0674,508,10,1
"ZNF689",0.956974745826658,0.620132954447094,0.700884125417534,129.088248031496,123.32738,69.4895,2.84886840778156,12.6993040456537,NA,84.8291,95.5516,69.4895,166.5419,142.705075,69.4895,508,10,1
"ZNF19",0.35675008561181,0.985710599243552,0.962503907214419,29.1519683070866,35.08933,31.3449,0.603274184872383,3.53635119592215,NA,19.405225,27.163025,31.3449,36.848625,39.334975,31.3449,508,10,1
"ZNF230",0.0963477975452492,0.934110736334679,0.952947176578883,73.6707511811024,102.53445,89.0155,1.9389647665641,11.6150749939058,NA,49.653575,72.5059,89.0155,87.57685,134.154375,89.0155,508,10,1
"ZNF222",0.565610786105083,0.696061440788447,0.887938653911242,43.381430511811,52.40514,65.9231,1.23240602145969,8.28429299857669,NA,26.647975,31.74185,65.9231,54.887525,74.38045,65.9231,508,10,1
"ZNF221",0.654399958895381,0.536761975508921,0.405384497445321,10.4606183070866,8.07455,19.526,0.380124191628275,1.30108307039003,NA,5.2172,4.092625,19.526,13.56205,11.72035,19.526,508,10,1
"ZNF233",0.00100894416548813,0.98566677070791,0.423722578820571,8.80240511811024,18.29256,7.4658,0.359550686945803,4.51647666139584,NA,4.6278,9.561975,7.4658,10.71035,19.9616,7.4658,508,10,1
"ZNF235",0.814083313042235,0.882702367567058,0.79794446394832,59.9276076771654,68.14157,39.8789,1.87580684946878,9.30426016523912,NA,40.380725,47.5574,39.8789,71.39585,85.65155,39.8789,508,10,1
"ZNF208",0.99265960447916,0.901443358872029,0.894712632008023,8.64384488188976,7.76785,18.9517,1.06122653402632,2.39592713130012,NA,1.653025,3.917425,18.9517,7.4884,10.030525,18.9517,508,10,1
"ZNF714",0.431706334834884,0.819604033063934,0.608647090743136,116.871947637795,150.25251,66.0437,3.71790306127832,36.9559650995988,NA,58.597475,57.1397,66.0437,155.010375,221.18375,66.0437,508,10,1
"ZNF394",0.842134668615576,0.848208612435362,0.768373910577514,491.637391929134,534.325,360.6563,10.5720950569908,92.6902004643113,NA,370.951775,405.4548,360.6563,550.3672,548.12265,360.6563,508,10,1
"ZNF333",0.00553801588790137,0.861973009621571,0.893430640612634,106.799038582677,155.16421,132.0875,2.15587506545815,16.44502963509,NA,76.4449,131.046525,132.0875,128.7823,190.9962,132.0875,508,10,1
"ZNF382",0.280309934324996,0.966409550794464,0.972117283228458,9.35927066929134,13.51301,11.4859,0.376603968576096,3.40737862594465,NA,4.005,5.259325,11.4859,11.8589,19.45785,11.4859,508,10,1
"ZNF577",0.00564577012749146,0.991512294056753,0.686208304339454,53.4706440944882,94.18383,58.5779,1.77125576264937,25.9825446576182,NA,26.437425,49.129175,58.5779,69.3123,93.76445,58.5779,508,10,1
"ZNF75A",0.0327256925582105,0.715063781747309,0.286765397869125,215.744092125984,308.17501,125.7703,5.12833304114752,27.1519073502047,NA,132.655675,243.002775,125.7703,271.657625,323.9502,125.7703,508,10,1
"ZNF496",0.584285787582083,0.982666758705216,0.990573119754296,289.370664370079,336.28956,315.8614,6.61187543924105,38.6629149601791,NA,185.692275,254.2549,315.8614,350.208725,384.0766,315.8614,508,10,1
"ZNF2",0.0479490714737341,0.964021230623668,0.598226483561715,100.224594291339,126.32627,91.3127,1.5385492002707,7.89840568497564,NA,78.4896,111.475425,91.3127,118.170975,145.8499,91.3127,508,10,1
"ZNF589",0.000221211137159671,0.627306566260596,0.0919871101875039,254.865586614173,477.06093,94.1841,7.6573010874076,80.0236946531075,NA,141.580375,276.84545,94.1841,316.258775,613.7163,94.1841,508,10,1
"PRDM9",0.857056038664754,0.97251833254113,0.998425044590961,0.686791141732284,0.17113,0,0.136566156458918,0.134776140362867,NA,0,0,0,0,0,0,508,10,1
"ZNF12",0.960187290437439,0.997262475366641,0.987679571890614,613.176780511811,634.13081,596.1166,10.7866109818961,44.4708921706933,NA,438.7729,533.6745,596.1166,731.4506,709.890325,596.1166,508,10,1
"ZNF202",0.352594891423104,0.816355655604312,0.577671545326863,218.321196850394,252.93505,170.5652,3.47856588205491,28.0950688079609,NA,158.98045,181.739475,170.5652,270.7992,321.0613,170.5652,508,10,1
"ZNF3",0.0572571119672087,0.999622153076086,0.778711650508748,512.912886417323,692.20708,519.3221,10.7985649423243,95.9251473570499,NA,354.7341,477.6748,519.3221,600.08895,787.01775,519.3221,508,10,1
"ZNF606",0.00104043603962689,0.961598622141809,0.369050646314295,116.20358523622,212.16818,93.8912,3.67185730532626,38.9325949751156,NA,52.3172,120.529625,93.8912,163.5369,263.42195,93.8912,508,10,1
"ZNF91",0.41902330584754,0.970331740388576,0.81665246752298,138.747815944882,185.72379,111.4129,5.19099714131932,33.7747708928144,NA,54.52995,128.06335,111.4129,189.988675,207.706325,111.4129,508,10,1
"ZNF226",0.487826930391117,0.781349124056443,0.954457497541515,187.291813779528,226.99126,260.1549,4.85140304428184,20.7576350623047,NA,124.3087,184.87955,260.1549,228.040075,259.0274,260.1549,508,10,1
"ZNF229",0.997909763601645,0.957486465825675,0.955705233518937,48.6869429133858,51.17052,13.2087,5.62484205550626,28.9531011434615,NA,5.484425,2.3399,13.2087,42.518675,31.75295,13.2087,508,10,1
"ZNF180",0.546243671241384,0.899424210961132,0.740981400404274,149.77139980315,195.25333,90.1641,6.06130248125608,23.2534095690458,NA,105.343025,143.123825,90.1641,168.92265,232.620525,90.1641,508,10,1
"ZNF641",0.897608845873406,0.501154084720344,0.45055843743342,145.266316732283,158.35311,41.3491,4.0637764339109,43.1092986459133,NA,87.1909,75.536,41.3491,183.854175,174.28655,41.3491,508,10,1
