"gene","p-adj-Dead-Alive","mean-Alive","mean-Dead","SEM-Alive","SEM-Dead","Q1-Alive","Q1-Dead","Q3-Alive","Q3-Dead","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.0534296789095527,223.439203020134,206.603762443439,6.02143076600077,6.00409451624339,156.643225,146.3959,270.011325,245.614,237.266563636364,216.176789807692,228.9811,195.71805,195.66725,256.8491,154.102325,261.126375,10.3791654038505,4.30429547785759,0.911113586737853,0.8547345173903,-0.134297171696208,-0.226451709883312,"HNSC"
"ZNF263",0.440491446038928,649.706707718121,636.404256108597,11.7334653828565,12.2498005467036,513.684275,512.2089,748.319175,737.3288,588.740272727273,644.037497307692,568.3472,617.3822,503.662575,683.2816,513.056925,741.4806,19.2676574953644,8.50096453527708,1.09392465088937,1.08627648733028,0.129513369271268,0.119391355565936,"HNSC"
"ZNF200",0.211481048903857,261.116156040268,270.118168325792,4.38669774610034,5.9019618822801,206.03735,210.8503,306.922525,316.8767,161.845868181818,264.804867307692,158.6769,255.0566,134.984525,178.2414,207.918825,310.542225,6.1931834117933,3.55598403516756,1.63615463454532,1.60739590954953,0.710309105216764,0.68472531569387,"HNSC"
"ZNF582",0.0634910642006888,10.0418322147651,8.40343846153846,0.603837020209857,0.619286157729652,3.4226,3.0337,11.95585,9.5779,24.5167181818182,9.35938576923077,21.6916,6.2757,15.4489,32.1235,3.2052,11.282175,1.87837875612217,0.436074236160618,0.381755245535749,0.289314757786424,-1.38928011427278,-1.78928817866355,"HNSC"
"ZNF285",0.812191898474478,13.3096617449664,12.9157461538462,0.8525289295158,1.54335935964316,3.465825,2.8359,17.102475,15.5477,23.0243727272727,13.1557594230769,22.1659,7.181,12.95835,29.9892,3.313,16.7107,2.24723916894613,0.817151621412972,0.571384053711644,0.323966092060327,-0.807467321042463,-1.62608527367984,"HNSC"
"ZNF275",0.101079143203929,407.139290604027,443.382663348416,13.9845973857541,17.3473700272332,244.24365,252.6468,516.8239,565.3629,271.169859090909,422.554947692308,212.37515,368.028,179.750975,332.09445,244.42415,537.955475,24.6919516615655,10.9072432706947,1.55826664920989,1.73291460888903,0.639942127222866,0.793200565999806,"HNSC"
"ZNF37A",0.0159776066615011,346.683686577181,304.445052488688,13.3592194977547,9.33135339925908,224.9745,205.0789,420.855975,374.1176,325.433568181818,328.528931153846,337.2188,301.32665,260.210775,402.6773,216.46205,397.62955,16.4139662543146,8.66499707692465,1.00951150488046,0.893564208163958,0.0136573524122395,-0.162356695255153,"HNSC"
"ZNF510",0.0796465860022528,190.30950704698,178.808195475113,4.53940549797436,4.51228283451643,134.33705,131.2136,233.005475,213.7798,171.282993181818,185.284188846154,168.29165,175.6974,123.658975,207.98035,132.25195,221.441425,8.89046998695973,3.24103694046322,1.08174305810661,1.04400545125085,0.113357862551068,0.062129244926988,"HNSC"
"ZNF506",0.0562999418256348,167.167636241611,149.077722171946,6.2040651878192,7.11282725265299,82.4879,57.2459,232.64495,215.4956,246.999822727273,159.407996923077,246.71335,148.062,206.4163,300.481925,74.69655,228.9245,10.2601148921627,4.67912995534408,0.645376968950657,0.600137771223162,-0.631786000442636,-0.736634362425863,"HNSC"
"ZNF324",0.00225550242745487,248.832659395973,227.183958371041,4.75125341727564,5.10076048816705,194.95235,173.205,284.892675,274.4324,239.172456818182,239.748343653846,243.46975,231.2504,200.042225,280.986425,186.425175,281.346025,8.72830144630759,3.5112297809354,1.00240783091551,0.949811629576159,0.00346959030197709,-0.0742866740994754,"HNSC"
"ZNF671",0.068852219286385,39.8012406040268,34.7322443438914,1.88977918620475,1.98225300411357,16.95765,14.8391,54.577675,47.6706,71.5563227272727,37.6604419230769,51.77685,28.38575,32.69825,89.531425,16.182575,52.28895,8.69174001825681,1.37530345560673,0.526304881074096,0.54823246296366,-0.926029320104674,-0.867140336643334,"HNSC"
"ZNF416",0.0963435495778528,150.005820134228,140.726999547511,3.63010290989327,4.22771164787595,110.480325,98.2946,176.383525,167.3248,162.653415909091,146.052340769231,157.04165,135.6883,115.9805,195.4433,105.8172,173.39775,8.39018553256519,2.75354932029258,0.897935896107225,0.864027472966566,-0.155315640643991,-0.210850909254996,"HNSC"
"ZNF586",0.271997852075848,130.613067114094,136.357740271493,3.32939268489811,4.08000062701012,95.947125,95.2994,158.25645,165.3772,179.403038636364,133.154155769231,167.8331,124.84825,155.24635,201.2913,95.37845,163.322825,7.43766249095348,2.58044039679562,0.742206803080544,0.743883357931183,-0.43010687002333,-0.426851672649152,"HNSC"
"ZNF446",0.0411724141661907,200.455322818792,182.702188235294,6.23242751027655,5.54911108392208,130.44045,128.004,235.463025,217.274,178.100895454545,193.474028461538,158.5844,168.4125,134.052975,192.9788,129.591175,228.654475,12.2790479620207,4.33226483011175,1.08631698884926,1.0619739394291,0.119445145049543,0.0867483632063659,"HNSC"
"ZNF8",0.0851168602342289,94.8889966442953,89.3300257918552,2.19864726383162,2.28307171993663,66.4941,66.2998,114.748625,107.2673,64.4756386363636,92.6134288461539,64.90525,86.2866,55.49175,74.3158,66.3946,112.07605,2.02739416502112,1.59601226707676,1.43640963943738,1.32942404505028,0.522467239765056,0.410801353006353,"HNSC"
