"gene","p-adj-[Unknown]-[Not Evaluated]","p-adj-Negative-[Not Evaluated]","p-adj-Negative-[Unknown]","p-adj-Positive-[Not Evaluated]","p-adj-Positive-[Unknown]","p-adj-Positive-Negative","mean-[Not Evaluated]","mean-[Unknown]","mean-Negative","mean-Positive","SEM-[Not Evaluated]","SEM-[Unknown]","SEM-Negative","SEM-Positive","Q1-[Not Evaluated]","Q1-[Unknown]","Q1-Negative","Q1-Positive","Q3-[Not Evaluated]","Q3-[Unknown]","Q3-Negative","Q3-Positive","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.61443098177605,0.0278666848308659,0.999928071581884,0.306069782436126,0.194757874628791,0.00126975230294912,238.892569090909,196.646625,198.706081944444,269.818713157895,10.0147372659185,27.005238499613,8.38913670144021,16.824818207262,178.1186,170.5274,146.289975,213.0462,271.58595,223.155725,240.99925,334.7104,237.266563636364,216.176789807692,228.9811,195.71805,195.66725,256.8491,154.102325,261.126375,10.3791654038505,4.30429547785759,0.911113586737853,0.8547345173903,-0.134297171696208,-0.226451709883312,"HNSC"
"ZNF263",0.999923929695784,0.00114509964146803,0.451833483187294,0.436297205960825,0.907631762033708,0.472260309580422,728.976859090909,724.431975,609.578891666667,669.978410526316,20.6719180530098,152.13022263089,21.0543610181643,27.1793636725069,589.00455,523.8178,475.777875,571.689375,826.988425,663.34255,713.34885,781.4639,588.740272727273,644.037497307692,568.3472,617.3822,503.662575,683.2816,513.056925,741.4806,19.2676574953644,8.50096453527708,1.09392465088937,1.08627648733028,0.129513369271268,0.119391355565936,"HNSC"
"ZNF200",0.986629654493576,0.978933751214446,0.960481142936563,0.103166384537888,0.859073556396375,0.0709944043808581,267.282122727273,256.831325,272.343065277778,230.921126315789,8.54228037446419,44.3022884845481,9.70966630345679,9.49390281572888,202.855425,147.07815,221.3727,187.532575,323.91895,354.366725,313.47935,269.9239,161.845868181818,264.804867307692,158.6769,255.0566,134.984525,178.2414,207.918825,310.542225,6.1931834117933,3.55598403516756,1.63615463454532,1.60739590954953,0.710309105216764,0.68472531569387,"HNSC"
"ZNF582",0.833044353721129,0.345352913363533,0.998717258941228,0.451687663755163,0.999819329363208,0.999206261190213,7.95099727272727,10.831525,10.3000027777778,10.5434947368421,0.931933576337223,4.22342420815783,0.977329576740959,1.49304010224048,2.621925,3.2714,3.86805,3.83435,8.757425,10.48925,16.29675,12.848025,24.5167181818182,9.35938576923077,21.6916,6.2757,15.4489,32.1235,3.2052,11.282175,1.87837875612217,0.436074236160618,0.381755245535749,0.289314757786424,-1.38928011427278,-1.78928817866355,"HNSC"
"ZNF285",0.984843131990013,0.847312171104253,0.905116342047416,0.99909265300254,0.978517592609847,0.961653639697086,13.8289945454545,10.8013,16.7207819444444,14.4295263157895,1.53100650772086,5.12034965606424,4.04751849601847,2.58299288873725,2.55425,1.863775,5.050425,2.3639,16.906725,12.5024,15.556675,22.377975,23.0243727272727,13.1557594230769,22.1659,7.181,12.95835,29.9892,3.313,16.7107,2.24723916894613,0.817151621412972,0.571384053711644,0.323966092060327,-0.807467321042463,-1.62608527367984,"HNSC"
"ZNF275",0.838316668685664,0.00392134896773022,0.121953429430124,0.203453807790313,0.307168369868436,0.876571759911691,349.341030909091,274.7600625,476.503966666667,439.769584210526,22.386670917938,42.9856892649209,30.1701315402689,42.9883986942103,183.8869,234.53145,275.7827,292.301075,447.130975,344.740375,660.1996,504.2745,271.169859090909,422.554947692308,212.37515,368.028,179.750975,332.09445,244.42415,537.955475,24.6919516615655,10.9072432706947,1.55826664920989,1.73291460888903,0.639942127222866,0.793200565999806,"HNSC"
"ZNF37A",0.879263837509505,0.449558926944126,0.542324016705429,0.0362347499888369,0.187028434736201,0.487048105612786,290.313670909091,223.8050375,345.210519444444,414.834860526316,28.4146909483418,43.6581697040237,21.2690911041403,29.9332217572059,187.34285,142.759725,227.014425,284.6247,329.159575,274.3075,420.046525,567.457125,325.433568181818,328.528931153846,337.2188,301.32665,260.210775,402.6773,216.46205,397.62955,16.4139662543146,8.66499707692465,1.00951150488046,0.893564208163958,0.0136573524122395,-0.162356695255153,"HNSC"
"ZNF510",0.954996778298304,0.20194200806103,0.557693660839939,4.13764763451674e-05,0.035964033512593,0.0260994739987455,160.973977272727,148.652775,180.429697222222,217.344823684211,6.11931597792181,19.9956515594172,6.42776220775233,13.7753990058893,117.59735,113.8048,134.218675,145.751425,193.681025,194.224,214.612625,287.176675,171.282993181818,185.284188846154,168.29165,175.6974,123.658975,207.98035,132.25195,221.441425,8.89046998695973,3.24103694046322,1.08174305810661,1.04400545125085,0.113357862551068,0.062129244926988,"HNSC"
"ZNF506",0.860815689386552,0.653084826214317,0.59969391493782,0.959876609807184,0.761103388344978,0.976542815088796,161.607369090909,131.6799125,179.884129166667,171.316194736842,9.03293759401322,41.2411229145412,12.8975297943976,18.8314748609201,91.64995,58.44355,95.581725,87.35315,218.037425,164.292275,254.263075,252.5324,246.999822727273,159.407996923077,246.71335,148.062,206.4163,300.481925,74.69655,228.9245,10.2601148921627,4.67912995534408,0.645376968950657,0.600137771223162,-0.631786000442636,-0.736634362425863,"HNSC"
"ZNF324",0.492139551884376,0.262922995883355,0.917046079129175,0.0430029689647236,0.0471867105342205,0.000833537518823424,240.927802727273,201.07305,219.593230555556,279.259536842105,7.75970762642202,26.7475007332394,8.38644212204828,12.1108203649762,184.721725,150.096925,163.643575,229.20965,282.0291,225.79655,261.7291,304.824,239.172456818182,239.748343653846,243.46975,231.2504,200.042225,280.986425,186.425175,281.346025,8.72830144630759,3.5112297809354,1.00240783091551,0.949811629576159,0.00346959030197709,-0.0742866740994754,"HNSC"
"ZNF671",0.999868995581724,0.309656678542021,0.920876622692584,0.000490107381279636,0.244256509424615,0.0712777766587052,33.7676963636364,34.620725,42.3310763888889,58.34,2.65924321388882,9.20227006940504,3.46477406676771,7.8861178056999,15.4934,20.393325,19.591625,20.816975,42.981725,43.209975,60.563775,87.8289,71.5563227272727,37.6604419230769,51.77685,28.38575,32.69825,89.531425,16.182575,52.28895,8.69174001825681,1.37530345560673,0.526304881074096,0.54823246296366,-0.926029320104674,-0.867140336643334,"HNSC"
"ZNF416",0.63899189233004,0.975812612403041,0.753997331376158,0.998916267346869,0.724652657064546,0.997986387064185,145.831141818182,119.80205,142.044443055556,144.193165789474,6.07465056801722,21.5683492427479,7.39272725685456,6.66801061001672,102.797175,59.757375,95.034,120.016825,172.387525,172.831725,176.31495,165.009175,162.653415909091,146.052340769231,157.04165,135.6883,115.9805,195.4433,105.8172,173.39775,8.39018553256519,2.75354932029258,0.897935896107225,0.864027472966566,-0.155315640643991,-0.210850909254996,"HNSC"
"ZNF586",0.999207775921155,0.995102216018613,0.995929666845797,0.930131245267216,0.998236000923214,0.876457554626653,136.319287272727,139.0155875,134.260095833333,142.761489473684,5.80721042981858,19.8275293738677,5.74577725101762,9.24295187559874,96.380475,104.46575,102.86185,112.52845,166.031125,174.386275,156.6815,176.27995,179.403038636364,133.154155769231,167.8331,124.84825,155.24635,201.2913,95.37845,163.322825,7.43766249095348,2.58044039679562,0.742206803080544,0.743883357931183,-0.43010687002333,-0.426851672649152,"HNSC"
"ZNF446",0.999960501986408,0.0077968521904539,0.526056628977643,0.159910875962755,0.769274052289728,9.82905343416274e-05,215.134621818182,217.0154875,162.647747222222,257.306934210526,11.3350065983573,30.4366596329541,8.5483115227715,20.8795053338467,148.750575,161.491175,120.415125,182.166725,262.60355,247.5712,189.45135,324.165325,178.100895454545,193.474028461538,158.5844,168.4125,134.052975,192.9788,129.591175,228.654475,12.2790479620207,4.33226483011175,1.08631698884926,1.0619739394291,0.119445145049543,0.0867483632063659,"HNSC"
"ZNF8",0.984133773137482,0.999825926029787,0.98061676287977,0.0562663587858999,0.809014651132528,0.0716917364521589,89.5246427272727,94.2530125,89.0963597222222,106.737528947368,3.19306556455685,12.2519145533673,4.28920276082638,6.81390872769504,65.9966,77.39185,63.48705,79.698125,103.6015,110.9447,107.151125,116.982525,64.4756386363636,92.6134288461539,64.90525,86.2866,55.49175,74.3158,66.3946,112.07605,2.02739416502112,1.59601226707676,1.43640963943738,1.32942404505028,0.522467239765056,0.410801353006353,"HNSC"
"ZNF264",0.988297291676258,0.00666499758348538,0.352914282657768,0.0333221262156924,0.363917420059308,0.999687349854299,544.757265454545,518.48705,654.942209722222,659.191055263158,19.4434673897683,120.319349766591,26.8488688039104,37.7452222085914,417.647925,299.272075,491.8234,497.025625,672.55955,630.600675,782.763875,810.248425,674.428656818182,649.597953076923,685.3849,629.32455,552.05065,791.754125,487.484425,783.531425,25.5063399364529,10.6372731908769,0.963182608730766,0.918206032843735,-0.0541187519222147,-0.123110183937991,"HNSC"
"ZNF213",0.890706732998382,0.20607871290147,0.438588213512715,0.982122027192377,0.827990654868765,0.670471830660728,438.128953636364,395.6270125,486.319743055556,449.537468421053,15.7333243914174,93.2577594152979,19.1915167676261,19.7769427377189,326.1996,283.839975,379.2811,350.415425,505.397925,382.062175,575.904925,530.969525,513.7374,493.380626730769,520.21375,474.96975,430.41375,589.2388,378.335525,575.3954,21.4530887368003,7.75329035612036,0.960375138603437,0.913028058178008,-0.0583300381305492,-0.131268898673179,"HNSC"
"ZNF343",0.306216387431632,0.108873926241607,0.860747888393953,0.450516773304018,0.794135689827706,0.9882152425663,277.699328181818,213.1608375,242.857045833333,249.443755263158,10.8913168001108,36.0768963654122,10.369812248645,13.5224019161949,207.79225,156.876325,179.076275,189.05605,306.798825,233.159775,288.8423,302.22195,215.188952272727,256.301050576923,212.0644,233.1858,188.744,253.495775,191.4902,290.073325,6.9091146421267,4.54112694499074,1.19105115699477,1.09959898974085,0.252235379917098,0.136977486484665,"HNSC"
"ZNF302",0.994339519194364,0.75511542418095,0.99867647043122,0.00124753180511794,0.17127744775275,0.000165583231041877,241.143824545455,228.661675,220.874686111111,336.595313157895,12.5127641199669,50.5017359317789,12.3743347603367,30.180366801953,147.59335,143.57925,152.107025,227.680525,314.269125,304.378375,263.9986,405.42535,277.347318181818,228.691070192308,209.65525,205.3342,161.8763,354.899225,142.664775,282.725825,26.4625849745424,5.58665258741061,0.824565644591475,0.979389736245575,-0.278293742089761,-0.0300450178372111,"HNSC"
"ZNF268",0.929600188295388,0.0119930220820411,0.25106701278361,0.000799809437292298,0.0714211829177632,0.563294409889282,206.703541818182,178.6954875,265.679356944444,298.5178,10.4676568759708,29.3072977995208,15.0267073398257,27.1165797413675,125.863925,130.445775,169.237825,149.814775,257.9283,221.84905,343.47935,460.967275,296.294975,265.087921538462,319.4538,243.37145,239.28445,348.325775,158.7839,356.88805,14.33388086606,6.33968506454534,0.894675724886868,0.761836140311995,-0.160563222420904,-0.392447366172031,"HNSC"
"ZNF184",0.198279837116736,0.998658912744488,0.238205974270823,7.26398718953192e-10,3.68518413607077e-06,3.91827292833824e-09,184.942941818182,127.6271625,183.081091666667,285.385215789474,7.76735467003336,15.6216778497512,6.42017113540338,17.9052854836435,131.38,95.323475,140.518925,214.610675,222.446875,154.38185,207.946425,364.577025,160.283836363636,199.832361923077,160.77825,182.8766,136.24805,190.5618,143.0707,235.16895,6.46633234984305,3.84142793722522,1.24674057257849,1.13744614088037,0.318161293882767,0.185798233993181,"HNSC"
"ZNF500",0.912808918710208,0.695810080781506,0.997050750341023,0.0442302253673267,0.233649496493797,0.00620083879298483,197.660487272727,181.682175,186.691961111111,230.567128947368,6.95207254543619,11.0087846209248,7.04085257848858,10.2163142231552,150.172675,165.16785,148.92885,187.173625,226.71495,206.926575,208.5713,269.259875,181.302470454545,199.146354807692,180.0569,189.4439,144.211775,212.588575,153.518125,235.722625,8.50066213076503,2.84669567058284,1.0984205251501,1.05213352001506,0.135430489133339,0.0733178001058735,"HNSC"
"ZNF419",0.999887685784308,0.0282627930595239,0.706857028438025,0.239635123826911,0.832623733021491,0.984940082927097,148.551775454545,146.710075,117.086959722222,122.326981578947,7.47743026111858,29.4765675422854,7.91385056782559,11.6856495085552,100.510575,66.758,76.1563,71.6296,174.93625,184.105925,134.00605,156.942675,101.536536363636,123.608520192308,97.0456,109.6768,84.87525,116.090525,79.2643,157.3051,4.95912416786634,2.89292963356239,1.21737971984414,1.13015736931917,0.283779237476753,0.176523675409267,"HNSC"
"ZNF175",0.953243833799496,0.479877124057521,0.691209835668129,4.75980364944562e-06,0.0183405773894882,0.00164073839144985,90.2591781818182,81.0328625,100.708340277778,136.212494736842,4.0813012011213,18.1155550319227,5.10448215412329,10.8890445880362,60.215425,34.54485,73.144925,86.287075,116.80105,117.51085,124.942625,187.4129,111.374827272727,102.788986153846,111.0118,98.2012,78.369525,139.6281,68.40385,131.572125,6.04274597313672,2.23429370042515,0.922910397895777,0.884601456782072,-0.11573750637311,-0.176900476785388,"HNSC"
"ZNF14",0.965237145809017,0.782878685882068,0.832335543493058,0.127449422745126,0.435443744717156,0.532377048059328,88.8659536363636,76.7117875,98.9036652777778,117.949597368421,6.820081694004,25.654176071955,7.38575603322031,12.9601542505652,33.508825,39.712075,49.966325,52.344125,123.636025,69.61275,137.0999,177.1786,105.196097727273,89.6106478846154,103.9026,78.13195,73.3445,130.921725,37.252625,126.990475,7.25887789313302,2.92158253783471,0.851843840414465,0.751973001638073,-0.23133911432881,-0.41124722966275,"HNSC"
"ZNF85",0.950970080213806,0.999987467830231,0.956560089518064,0.0751562069241171,0.907657646982176,0.112711919016074,45.0355390909091,37.6285,44.8477097222222,27.7099657894737,3.96978845680493,11.9757345014677,4.60494410905158,3.50895753741856,16.518775,6.670575,14.6302,10.5964,59.325375,73.96445,64.167425,37.38905,58.3213931818182,42.0730878846154,59.26165,28.72745,40.5563,72.608425,13.80615,55.551025,3.32341980256073,1.80649766690485,0.721400597435175,0.484756161868595,-0.471127476978947,-1.04466885794619,"HNSC"
"ZKSCAN1",0.999995204777239,7.87116954714673e-06,0.191582043196546,0.912861494404278,0.990986866024209,0.0102426067810724,531.352700909091,534.6656875,819.022529166667,578.577242105263,33.714556759239,152.583352317291,49.1886436280166,61.6682016662194,267.4875,271.51975,534.5236,216.3986,700.6428,696.2182,1051.549875,855.6176,944.602509090909,705.7459625,930.03735,652.7915,592.986675,1246.80485,406.43785,931.76635,70.1430778072102,18.6470873522204,0.747135388385972,0.701898154950444,-0.420558397448989,-0.510666383456171,"HNSC"
"ZNF862",0.884733041722197,0.999931802464147,0.899117325992597,1.58008918504926e-07,0.00337611696293039,7.65108421396654e-07,188.101735454545,155.7293,187.048183333333,319.439215789474,10.0361287389966,35.4582818512222,14.3280485997247,26.0240181737424,106.5709,78.82705,112.557625,210.275525,251.146,222.5667,250.20075,378.68295,291.122338636364,198.895595192308,268.13295,167.22595,211.9536,346.110275,98.270575,255.37815,17.693211777959,6.28899582157446,0.683202794137846,0.623668034831228,-0.549614219635384,-0.681149777243373,"HNSC"
