"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","mean-N0","mean-N1","mean-N2","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-NX","count-N0","count-N1","count-N2","count-NX"
"ZNF195",0.467216127740575,0.339038413639541,0.161215888572894,0.423260349581403,0.11008443670013,0.563066553152225,335.117023308271,389.865273684211,151.825,295.94423877551,13.7136241797628,45.5855895542197,42.2666,16.9163190976779,226.6783,249.41825,130.6917,228.7295,403.7559,566.13005,172.9583,348.8844,133,19,2,49
"ZNF263",0.511591497968067,0.998506276032074,0.990426856385108,0.750427615827464,0.243312556558794,0.979743738063622,735.886601503759,798.536221052632,757.0929,705.062597959184,15.5937103246105,47.9392678840181,261.334,26.0753111850139,609.4997,625.8595,626.4259,565.9921,842.2597,927.90675,887.7599,776.3271,133,19,2,49
"ZNF200",0.00249373445820689,0.4747393778542,0.0540980294986716,0.999613553171581,0.00925695445559016,0.471186541699854,167.713487218045,211.317126315789,116.5751,168.565981632653,3.92031833725989,16.1899179006743,19.8139,7.5163271995986,139.2203,162.46825,106.66815,139.4102,193.7544,248.50855,126.48205,202.3568,133,19,2,49
"ZNF582",0.988550084379586,0.846137469217078,0.905492555412529,0.888697831207364,0.88211291899918,0.76421957114539,27.5463947368421,26.2242263157895,17.75985,29.5706306122449,1.30318663738091,3.9945236388359,5.23785,2.97822221007974,16.4716,13.884,15.140925,16.4476,34.6244,41.11285,20.378775,35.7439,133,19,2,49
"ZNF285",0.662000694839664,0.999950613925325,0.973758145875547,0.830018171406941,0.4008532439888,0.998883544732265,49.0784315789474,38.5325368421053,50.4578,54.4166408163265,3.43958014283458,8.91497368167313,1.9071,4.40653199117044,25.1061,16.4798,49.50425,31.5887,63.9357,46.1774,51.41135,75.6909,133,19,2,49
"ZNF275",0.348972258986688,0.936250125822785,0.9999988835683,0.653889488075347,0.85977177413001,0.98961498470052,405.213426315789,510.271563157895,513.07165,455.227965306122,21.3761474802169,49.5478810849332,115.21235,43.2532648347742,269.2228,373.3895,455.465475,258.8025,453.0064,632.38475,570.677825,554.0145,133,19,2,49
"ZNF37A",0.0973609325780112,0.994697097650709,0.952176176342006,0.580400354624869,0.554030320441657,0.999951236964142,295.357727819549,377.739405263158,320.8467,326.214363265306,12.4261843745414,31.0898700331001,187.6577,21.295886173569,190.762,302.9459,227.01785,229.7407,377.1303,428.76205,414.67555,409.0327,133,19,2,49
"ZNF510",0.924639725611231,0.972443870763362,0.99667144411341,0.917193180514783,0.76997057364024,0.938409456321471,182.019760902256,168.850973684211,155.33215,191.310908163265,7.38558002389025,23.7023999948581,42.06465,11.760595425917,125,105.54895,134.299825,144.8628,220.2178,189.00645,176.364475,225.2519,133,19,2,49
"ZNF506",0.0603410920118077,0.191363377130977,0.698228489066935,0.440917334911735,0.527099527965945,0.365041749904871,354.826219548872,271.627394736842,162.7768,321.098306122449,12.3889892094207,33.3585173660117,139.4597,14.5883482363158,267.9356,184.57115,93.04695,255.2279,420.4703,357.651,232.50665,385.8648,133,19,2,49
"ZNF324",0.726407939699163,0.997512277519496,0.998546395411274,0.993782063501421,0.687170648061207,0.994547506090376,147.024385714286,135.991405263158,141.12805,148.908908163265,3.61156706212127,8.03473720287524,4.52395,7.18843410967505,122.284,111.0247,138.866075,117.3681,169.8478,155.4031,143.390025,185.5884,133,19,2,49
"ZNF671",0.0159774593220443,0.427196789955626,0.96611430707698,0.855872327534667,0.00822274675213908,0.333749810895986,133.371059398496,60.6111842105263,26.2568,146.537081632653,9.14857869392866,15.5072027902114,1.2127,12.9498265729673,58.1793,19.4205,25.65045,64.889,191.3577,82.9307,26.86315,213.7623,133,19,2,49
"ZNF416",0.988735171089964,0.564387779518675,0.665247693389264,0.343881644780508,0.551062053432876,0.342640965049666,75.9342646616541,73.5849105263158,48.14015,84.2990469387755,2.54557522710045,7.49475313537206,4.88225,4.44053936033847,57.4188,60.42465,45.699025,62.1013,90.6999,89.5124,50.581275,102.1053,133,19,2,49
"ZNF586",0.00391290665545041,0.970944325789315,0.892690276501017,0.913407006587433,0.0358022498228999,0.991882718184863,126.100479699248,84.9012263157895,110.70215,120.749979591837,4.38734904962499,11.4587118582934,16.79495,6.21713345761636,95.1426,45.75785,102.304675,100.8255,148.2267,106.1423,119.099625,141.7734,133,19,2,49
"ZNF446",0.148934618320281,0.970304845653171,0.992843744000782,0.71879398379344,0.578580234791045,0.997292878899049,337.192778947368,258.234036842105,289.0274,310.540944897959,14.367940381951,18.6912626765553,94.5852,18.5444712707274,233.1854,194.26635,241.7348,211.7825,384.3511,302.78055,336.32,365.6183,133,19,2,49
"ZNF8",0.490775140589848,0.949073984563962,0.758237038803786,0.989894966653543,0.692992251182404,0.930497535558622,77.9420864661654,89.3775315789474,65.2713,79.6335551020408,2.81922592161827,10.3911129004438,22.6565,4.03236515658992,55.7177,53.8488,53.94305,61.5299,94.6305,109.67415,76.59955,98.8139,133,19,2,49
"ZNF264",0.403683795346397,0.990621019132103,0.853421400133718,0.999999942249455,0.492904722639416,0.990846503783569,649.218029323308,556.570226315789,700.90355,648.998314285714,21.2872168349708,59.1705930872572,103.92195,32.5260634567249,489.121,362.25015,648.942575,472.9999,793.4705,817.6321,752.864525,822.0081,133,19,2,49
"ZNF213",0.231240825143752,0.906565253440977,0.999997259759989,0.999700204602531,0.344338892629596,0.91736648741328,538.57965037594,627.768189473684,630.56545,541.590385714286,15.1225821968999,76.5878898051675,109.19335,22.9898992399387,421.092,434.83425,575.968775,460.0527,620.8684,716.3695,685.162125,634.8525,133,19,2,49
"ZNF343",0.743850114509395,0.99769347961372,0.998682929305824,0.99403878995978,0.705001944673312,0.994901570216289,257.601687969925,282.102936842105,270.74245,253.35472244898,8.87948422039956,25.9216353030254,70.38985,11.7286585156717,190.4949,206.42785,235.547525,202.8015,321.5926,313.194,305.937375,286.1205,133,19,2,49
"ZNF302",0.996200365477389,0.782565893910625,0.840468068782233,0.850385414127898,0.990615300567212,0.879811233901471,542.686152631579,527.855484210526,358.84875,505.649504081633,26.0615966566266,52.7978712176906,129.51075,29.4610998681564,347.9491,345.22135,294.093375,368.9186,659.4465,630.13,423.604125,627.2156,133,19,2,49
"ZNF268",0.328843963633622,0.775263854280646,0.455054490898213,0.991825364722068,0.524910409255558,0.744360766638288,387.532183458647,464.731431578947,261.26355,396.405408163265,15.224681107211,34.6437178841894,18.22215,31.8073070069775,253.3693,371.7652,252.152475,250.8298,515.7068,525.6792,270.374625,505.2709,133,19,2,49
"ZNF184",0.00901535473486437,0.91839375851192,0.344517719758461,0.881120247403156,0.00533164655307583,0.967144378637594,161.809076691729,229.077526315789,122.46655,151.173991836735,5.78999597189439,44.5876284154187,34.62815,9.31035817367632,119.2412,150.78575,105.152475,106.679,196.65,243.14045,139.780625,179.1247,133,19,2,49
"ZNF500",0.772961082374097,0.999929984029548,0.982410610060403,0.969067422093533,0.659059844707751,0.999961088262794,253.700778195489,272.112247368421,250.46915,247.779048979592,6.69234010564772,21.2270265827069,102.48145,10.486186168936,196.3096,214.8075,199.228425,199.6888,311.5803,315.89715,301.709875,293.2817,133,19,2,49
"ZNF419",0.252980741794853,0.626517528118932,0.948852102496332,0.993207951975491,0.431442940632793,0.674875003767929,148.543140601504,111.656442105263,78.9685,144.896104081633,7.47620540249841,16.8638211913568,13.8084,10.0072511316769,99.5452,53.19755,72.0643,104.3789,176.7276,142.6459,85.8727,162.3335,133,19,2,49
"ZNF175",0.30477510053751,0.861121986820419,0.998000543275223,0.999998236655439,0.397895636068525,0.867255134833752,147.695733834586,122.504663157895,114.7152,147.528475510204,5.44607289322735,11.4666489148557,15.0586,7.30938418536505,110.5339,93.3641,107.1859,125.2632,176.7585,155.1172,122.2445,179.9926,133,19,2,49
"ZNF14",0.434420467762789,0.693663430531557,0.412133877377443,0.805689322674152,0.848140568376319,0.571387009355813,131.99494962406,151.113473684211,91.71855,139.753853061224,4.53279648313131,10.9822480373328,6.34105,7.41985174881184,94.5709,118.04015,88.548025,107.6041,155.1273,184.6256,94.889075,171.5915,133,19,2,49
"ZNF85",0.296084584263947,0.999773531173324,0.910973272261181,0.903059261696068,0.644168422572247,0.994933441894088,64.0121872180451,79.8005210526316,61.7778,68.1950693877551,3.00065367158736,8.85849503306256,19.6154,5.85813709909451,44.4683,52.30995,51.9701,42.0521,74.6657,95.8735,71.5855,81.0373,133,19,2,49
