"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","mean-N0","mean-N1","mean-N2","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-NX","count-N0","count-N1","count-N2","count-NX"
"ZNF195",0.862469346828255,0.189286018179428,0.103506943721956,0.503081517557047,0.221599907633694,0.364990768423819,349.371276,378.350395833333,194.111875,316.623410900474,26.4930822645607,37.3455320942496,61.8321837037069,9.26922916433589,236.848625,235.898475,108.1244,232.48325,400.33395,462.873075,237.812475,374.0626,50,24,4,211
"ZNF263",0.0694570464991283,0.252594751113299,0.915301650631576,0.847786849944163,0.116282103056435,0.352295933845602,708.432358,817.971116666667,881.106025,731.442498578199,22.7799575078244,39.7033191729826,160.668426545144,12.3442193320561,573.9708,676.6633,700.562975,601.2374,846.515875,960.14665,1074.172,826.4069,50,24,4,211
"ZNF200",0.00474526019912291,0.243628596751007,0.00509493751192325,0.970602406948692,0.002454024797518,0.167833714779762,168.125866,208.8829,120.79915,171.533689099526,6.04617262282992,13.305061897184,19.2210952430526,3.3079604776391,142.76725,163.718625,93.25425,140.43975,189.769375,235.644375,144.12,196.65555,50,24,4,211
"ZNF582",0.996651927538261,0.516711148464295,0.488367479231602,0.145452520187618,0.555405551806538,0.162464762936372,24.84378,25.7065291666667,13.1138,30.3535322274882,1.98335911095602,3.50718359596104,3.46910772942169,1.16713266680111,13.595775,15.07965,9.100525,19.89915,33.488925,40.797575,15.140925,35.80365,50,24,4,211
"ZNF285",0.945140108281096,0.582486489167582,0.768201517559883,0.998889502805952,0.878181971007256,0.529678495432163,51.487448,46.5679166666667,27.92205,52.3068630331754,6.77576479724809,8.54868808388772,13.0488297928397,2.16807337150345,23.072575,17.7111,6.1404,30.2248,68.658625,56.913475,49.50425,69.80065,50,24,4,211
"ZNF275",0.878343499894017,0.964654096647623,0.999476028556366,0.551179737675559,0.264442347390441,0.804986554033504,452.285718,499.157958333333,514.66835,399.765298578199,45.4644503691615,41.9493903418176,84.7841364209377,16.5428973803796,303.523925,339.8643,384.26705,257.8954,443.744275,648.38855,643.47295,459.8421,50,24,4,211
"ZNF37A",0.0272166004787194,0.999960846266917,0.54015850392538,0.406334723926407,0.155109945374919,0.950803508891487,283.420782,386.698158333333,279.746175,319.643238862559,13.9579177898029,31.7106549787879,87.6421935033423,10.7584391994668,227.440675,299.97355,147.359875,218.78085,372.229125,445.792475,371.03195,409.75845,50,24,4,211
"ZNF510",0.58539055346439,0.96475022774418,0.727167570952246,0.228322005169185,0.99988400363927,0.701075093916545,166.860756,192.588716666667,146.703775,191.37948436019,7.23151614149843,20.8891218878094,22.2070707851642,5.88376628944495,128.41305,123.013275,111.404925,134.34325,200.283675,255.231425,177.0994,236.18455,50,24,4,211
"ZNF506",0.224809812068547,0.0245067139845524,0.249076573198051,0.999644215293358,0.10557297055482,0.0174902894528808,347.291292,284.2450125,151.147475,349.372824170616,22.3921476345763,27.3714072184662,65.0778016992786,8.66437315415545,257.59115,216.514975,53.8877,265.76905,411.88315,367.6739,236.777925,411.14675,50,24,4,211
"ZNF324",0.999999790072354,0.94303673834251,0.947805640271854,0.623931282091126,0.820118604899642,0.775132143783443,141.66397,141.753125,129.100675,149.812149763033,5.18790700499415,6.80484501938133,12.2165542277255,3.12647510221311,112.493675,125.13545,125.671175,120.0675,168.81615,160.1569,142.36865,178.72245,50,24,4,211
"ZNF671",0.0586000827343489,0.195006156092388,0.875514946722087,0.995704241735787,0.0122683865560083,0.149806987384892,140.687712,77.8667375,37.106875,144.315919905213,15.7955488068337,16.5698769928566,9.34178082151854,6.88823049533188,53.033,26.137725,26.86315,67.1642,217.674175,109.753775,39.490925,201.22715,50,24,4,211
"ZNF416",0.868678628017632,0.451785179285218,0.287083358317769,0.458257784289159,0.997706985435214,0.198067379270553,74.2095,80.1809416666667,50.163225,81.4360639810427,4.03460996334547,6.94717742689489,5.52631128306139,2.18880267212146,54.6938,61.7033,42.415725,61.0652,94.776975,97.17305,55.88765,96.7578,50,24,4,211
"ZNF586",0.635863757896309,0.332531208291477,0.703637879957943,0.253489957561085,0.0350991492056132,0.0976251519080109,115.54202,101.799704166667,74.66275,129.093347393365,6.85714285115595,10.8511672067138,22.0722375848976,3.12930964724281,92.683425,70.0577,41.915575,101.60915,135.96225,119.4861,102.304675,152.2881,50,24,4,211
"ZNF446",0.382312796220146,0.999951076778243,0.902932677608583,0.964704233923501,0.442462733340942,0.999693837963698,331.221418,274.7434625,327.414525,320.594848815166,17.9846990403534,19.3213698307192,44.714073689898,10.3670550640083,241.3751,200.02455,315.365375,220.18075,382.985575,310.53605,377.8508,371.0521,50,24,4,211
"ZNF8",0.0626606629985673,0.99889363059915,0.745182665907393,0.47307071571247,0.264585984032229,0.990610921846534,74.047642,94.6098666666667,76.56025,81.5815450236967,3.98278213731905,9.61575120178102,13.7690106532447,2.23562631572401,51.9521,62.1399,62.1274,58.27415,87.3542,108.567725,92.71255,100.09485,50,24,4,211
"ZNF264",0.9999497516567,0.831572749357168,0.835622004346213,0.460923904818056,0.744378616696965,0.545353847935401,623.453822,626.47455,520.192175,677.426516587678,28.0199122270233,51.6851892883861,116.981849073117,16.5270182265478,485.922225,412.54145,378.19625,516.54975,769.146925,853.2244,648.942575,836.18355,50,24,4,211
"ZNF213",0.996566160143668,0.95647594856026,0.935196569605016,0.35014502121432,0.771204964579698,0.725273354813806,577.547638,568.134379166667,624.7226,531.306474881517,27.4461243739814,39.0120792755641,101.740998187137,11.8226715458154,436.991475,404.17765,489.78255,431.7405,684.678375,703.5379,765.5055,598.99615,50,24,4,211
"ZNF343",0.172960346822664,0.992705693107269,0.905749769044812,0.893853348027948,0.254913058497579,0.999911500383948,247.855454,296.416083333333,261.508025,258.488256872038,10.7743174060079,24.5159256739537,30.9748184590423,6.66793127044721,190.767625,214.975525,220.44825,193.6492,305.8488,336.920875,293.333375,305.57225,50,24,4,211
"ZNF302",0.999594921618248,0.0618892262462714,0.0876444147017661,0.729474113179813,0.920616297057114,0.111883587105501,573.367204,566.812220833333,243.977425,532.134258293839,52.5153149220879,44.2871216762073,87.7833165429549,15.3040357064649,362.032325,409.5324,156.81705,380.21225,675.846175,728.796875,294.093375,636.537,50,24,4,211
"ZNF268",0.0175560259511137,0.692796828080763,0.0767381463671869,0.340434932153887,0.128661092424341,0.353175824061924,365.94683,503.805004166667,259.15665,415.299353554502,23.9223464577145,39.7691059778356,21.2777996201244,13.2305270102505,254.407025,374.47375,234.3586,287.4898,434.307625,602.68105,286.0616,529.2038,50,24,4,211
"ZNF184",0.0143518147489206,0.82356546205402,0.119787746245546,0.991297033623687,0.00146706972194877,0.855260090222859,161.252274,220.7101625,125.730125,157.613901421801,11.1649484178422,35.4729482307476,17.6757292616823,4.20061035404336,118.476125,152.932825,99.5222,119.9408,196.961325,222.75065,155.201625,185.64345,50,24,4,211
"ZNF500",0.803770866047265,0.971919146240028,0.999999911019281,0.981160374585059,0.55227979980992,0.941160569544695,263.309378,280.969583333333,281.236775,258.586143601896,11.5524230513332,18.1647746289037,56.2041227886261,5.25706447122821,194.343175,216.01115,210.2656,203.49075,331.67915,329.46355,362.958925,306.73555,50,24,4,211
"ZNF419",0.704237403426925,0.321102680184183,0.659506985075196,0.999999396653196,0.606941862861537,0.297274682895541,151.643614,130.178604166667,80.350275,151.493592890995,15.4772715883718,15.3721439723497,8.42777935939385,5.02703681825758,89.564075,92.52005,66.173425,104.3987,175.983775,157.855575,93.8209,178.2136,50,24,4,211
"ZNF175",0.97148260386028,0.735111984514613,0.634801565923009,0.455505274612241,0.941516992798728,0.430528563612224,138.737282,145.1775125,107.35135,152.389572037915,6.83265868028358,11.640040266162,7.57820514991292,4.25018301151693,111.7467,104.76675,98.974425,111.89765,162.71995,170.335475,109.728775,186.64155,50,24,4,211
"ZNF14",0.50064186381115,0.0376251137261118,0.00744831082650455,0.869236370721821,0.133171465966084,0.0572834484540261,137.754646,155.561925,66.108975,131.573121327014,7.80598807475871,9.14605707594779,15.0106225548429,3.52317020323579,97.810125,125.1265,40.5275,100.38705,158.4802,193.37905,88.548025,155.4339,50,24,4,211
"ZNF85",0.30052850437462,0.494618033481432,0.137086332052137,0.995131271587254,0.128159179076164,0.515444836666539,67.003336,82.4504291666667,40.95715,65.6607990521327,5.57584983295784,7.50261840962313,14.7703615646052,2.37881945939831,43.646775,56.85405,23.91865,45.6011,76.221825,94.1819,51.9701,75.8916,50,24,4,211
"ZKSCAN1",0.887595895349443,0.99997779483112,0.991077347687346,0.160757865267755,0.901818291213668,0.929230599484659,529.689108,610.677775,538.9424,677.422959241706,42.2958241819577,75.9638763091017,161.813794754089,33.5926055418627,355.523125,341.04295,353.7256,309.70445,695.3005,965.2343,752.19255,920.5444,50,24,4,211
"ZNF862",0.291403721389409,0.923684795778586,0.996705879782109,0.565902849483411,0.0162647472618506,0.721045697296583,907.872358,573.0650875,659.722075,1063.45996066351,112.547515295811,73.967061760989,184.656830497089,54.4647451704933,445.031675,327.48315,368.1072,601.73735,1166.010225,684.5856,870.004975,1343.0242,50,24,4,211
"ZNF684",0.231280978698861,0.683357353579323,0.997334012845332,0.438765649951944,0.00631692228483272,0.374152034697596,98.94965,65.91965,58.506825,115.48648056872,7.20959709974751,8.33638011304467,20.9944328809796,5.26645785466499,54.35075,32.586875,33.08,69.01005,127.9152,78.2597,69.905875,144.93785,50,24,4,211
"ZNF430",0.0871512546759663,0.920500615653507,0.327189528251942,0.868436575937865,0.137062859432528,0.808076439880523,50.099246,73.375875,36.9893,54.900827014218,3.41140013500377,7.30770399554681,6.88405249556296,2.96951752594781,28.116825,48.190575,29.578725,29.23915,69.8422,100.8751,42.820625,68.65255,50,24,4,211
"ZFP30",0.121909439207293,0.731775031124067,0.186918055137627,0.16926468187016,0.720824058771879,0.324301715757185,129.973158,163.8816375,96.951775,149.946638388626,7.16159989582084,12.2220971544902,13.2358379557407,4.44106924573032,93.601825,124.005425,74.950825,106.00345,161.99605,206.87005,119.65055,181.61175,50,24,4,211
