"gene","p-adj-Stage II-Stage I","p-adj-Stage III-Stage I","p-adj-Stage III-Stage II","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage III","mean-Stage I","mean-Stage II","mean-Stage III","mean-Stage IV","SEM-Stage I","SEM-Stage II","SEM-Stage III","SEM-Stage IV","Q1-Stage I","Q1-Stage II","Q1-Stage III","Q1-Stage IV","Q3-Stage I","Q3-Stage II","Q3-Stage III","Q3-Stage IV","count-Stage I","count-Stage II","count-Stage III","count-Stage IV"
"ZNF443",0.536618829872349,0.00150406908436351,0.66084806478776,0.00737581922068942,0.310629560752568,0.761965806794457,118.229586627907,104.396469565217,91.0696923076923,77.7650533333333,3.77343034801517,10.2550067422298,4.65610064338132,11.1414021871527,84.496425,77.3602,63.6452,49.9199,144.698675,123.3599,110.081575,96.0925,172,23,52,15
"ZNF792",0.30840039540753,0.720445929387951,0.818434477822927,0.999773712925491,0.608818392629512,0.91707346106346,81.1353651162791,96.6367173913043,87.8243826923077,80.20588,2.19797740493282,14.6242009190876,7.63374897091219,8.05687961362805,62.072175,61.03835,64.0223,53.28505,94.2118,108.5973,96.6598,108.7822,172,23,52,15
"ZFP82",0.549948549029545,0.11144971213382,0.994277574375083,0.999999464011866,0.808273020137338,0.609472516040775,55.331636627907,46.5339913043478,44.6313,55.4237866666667,2.27219616530297,5.41257202916193,4.45548356276842,7.74200626871643,32.9919,29.85455,18.441875,34.15185,74.215325,60.3318,65.62325,79.19825,172,23,52,15
"ZNF707",0.995386398837615,0.810950111966558,0.98494771080145,0.999228445958845,0.993658723092618,0.932506211217607,191.647194767442,194.905126086957,200.402444230769,189.481253333333,4.20981712180599,15.1954573099459,10.805027274158,15.8923843429183,154.138,139.4004,158.471825,147.1267,221.15345,250.90555,228.5464,227.3273,172,23,52,15
"ZNF746",0.983991559510616,8.0533488579837e-05,0.0107416195935879,0.00769002403708663,0.0237259723268728,0.941120784805745,481.045458139535,466.138652173913,611.901530769231,643.018626666667,11.0705897668077,32.3389241875395,38.7987984818658,63.5003224657193,383.64465,326.37885,417.4063,408.69385,532.5687,553.9726,716.15615,849.2957,172,23,52,15
"ZNF678",0.894846278477131,0.0728618736874953,0.797250560398622,0.635544180232742,0.961048212737823,0.995965365761313,22.3330720930233,25.6357347826087,30.4630884615385,29.0716066666667,1.33159505497225,6.12522349890402,3.59217857487287,6.66838097565823,10.02405,7.51955,14.5966,14.51965,28.4984,29.0347,41.397375,35.60915,172,23,52,15
"HKR1",0.728884553019465,0.00646072045315049,0.655964959387704,0.99925948155101,0.935280125284426,0.350496144565966,691.268355232558,644.272352173913,585.153628846154,684.254826666667,14.7050031661083,39.328449025632,28.7868949481334,82.9585456148388,556.023325,548.6327,438.4773,505.5879,789.30305,760.8407,730.0523,854.48455,172,23,52,15
"ZNF101",0.989607698075792,0.998633495657689,0.982109205794946,0.936570166033295,0.903822303301476,0.969036084154558,76.8668325581395,78.830847826087,76.1613519230769,72.3796666666667,1.93253993498857,7.48719654068785,4.53929770746474,8.89924951216549,59.691975,54.02185,56.222475,57.1993,89.460875,87.98485,86.335525,78.3928,172,23,52,15
"ZNF716",0.794562352487042,0.157300790677982,0.956844380557265,0.0392949075528346,0.405475891888859,0.546299734137236,0.187920930232558,2.42311304347826,3.81961346153846,8.08020666666667,0.0790640217054629,2.30813332173883,2.60862768310853,6.90625421459534,0,0,0,0,0,0,0,0.22475,172,23,52,15
"ZNF708",0.921010287913081,0.556073286220267,0.993314243450822,0.141123020106112,0.55243848033491,0.586730406575352,122.347580232558,113.735686956522,109.641978846154,86.97446,4.55820438437453,19.6746682352643,7.37601121316202,8.38430902893301,76.7302,52.4675,66.802625,71.74095,163.1229,148.5136,135.823125,104.80755,172,23,52,15
