"gene","p-adj-Esophagus Squamous Cell Carcinoma-Esophagus Adenocarcinoma  NOS","mean-Esophagus Adenocarcinoma  NOS","mean-Esophagus Squamous Cell Carcinoma","SEM-Esophagus Adenocarcinoma  NOS","SEM-Esophagus Squamous Cell Carcinoma","Q1-Esophagus Adenocarcinoma  NOS","Q1-Esophagus Squamous Cell Carcinoma","Q3-Esophagus Adenocarcinoma  NOS","Q3-Esophagus Squamous Cell Carcinoma","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",5.8665616808895e-10,593.650858139535,342.263056470588,31.7998933570632,21.0845934396652,396.2257,221.9294,735.281675,418.7594,346.562018181818,458.327794021739,402.7027,393.4047,230.0119,456.59735,265.57645,562.900325,44.4471130456694,20.1932601206465,1.32249862932552,0.97691100655645,0.403266227090677,-0.033700951575462,"ESCA"
"ZNF263",0.196659295884853,578.68988255814,547.033154117647,17.2088431862507,17.3289829121941,464.305125,440.5298,680.701225,626.5054,611.928563636364,561.544527717391,597.6276,546.8631,533.4648,695.45545,457.2241,648.1739,37.5965670158116,11.5323268011609,0.917663533109867,0.915056633930561,-0.12396281716753,-0.12806705863572,"ESCA"
"ZNF200",0.969340521496004,239.062788372093,239.569448235294,7.59020328309632,10.7852438331165,185.89305,171.8858,286.773175,262.9538,163.809936363636,236.488877717391,151.8781,218.502,141.59485,180.9971,176.734675,273.917825,10.2970902117785,6.25294304570726,1.44367846644185,1.43866693091367,0.529749463469757,0.524732629091668,"ESCA"
"ZNF582",0.612383131614768,11.5660104651163,10.4069105882353,1.80291724171201,1.39562368950643,2.44675,3.3076,13.49595,11.7028,40.7932909090909,10.8377315217391,33.6081,6.3796,24.40525,56.66655,3.103225,12.675,7.31507103919342,1.07469719123867,0.265674361646658,0.189823286648159,-1.91226908463481,-2.39727110847638,"ESCA"
"ZNF285",0.45531259667616,13.118,15.4909611764706,2.39954514876359,2.06879384595853,2.440075,3.6914,13.741275,19.6532,47.5942818181818,14.3908494565217,53.2275,6.5676,40.63625,58.28345,2.828425,18.65065,5.01255549647479,1.51747223942938,0.302365093174369,0.123387346766239,-1.72563649901569,-3.01873363956995,"ESCA"
"ZNF275",0.154823815663121,812.065703488372,734.220089411765,35.6902673532217,41.2092799085835,595.569575,448.1978,1009.5426,869.2308,910.223281818182,782.321395108696,1038.0469,729.8039,753.1412,1088.01435,503.861625,991.9197,106.198723900125,27.4485625787105,0.859482954057162,0.703054842705084,-0.218459067564553,-0.508290861901652,"ESCA"
"ZNF37A",1.02593826635244e-05,608.299079069767,460.653885882353,23.5094331517523,22.36385419491,457.1846,291.9408,738.639775,581.9168,749.920454545455,527.392183695652,840.2654,510.93345,699.43045,886.98805,350.03665,688.249975,75.4831816578036,16.5900986754348,0.70326416688463,0.608061988509821,-0.507861384726217,-0.717709689052242,"ESCA"
"ZNF510",0.236716019932316,349.03308372093,321.358510588235,12.6965883909769,19.6099490900994,259.975425,221.1921,419.274875,389.6509,396.509354545455,330.447995108696,442.5694,304.4528,324.8413,468.67725,233.983825,402.934075,38.0106187710567,11.0398100472202,0.833392683730023,0.6879210356613,-0.262931660064976,-0.53968512298026,"ESCA"
"ZNF506",0.000161327492890995,531.044358139535,340.651941176471,41.3937386650192,26.6047637282587,305.382625,195.8585,676.801775,392.4507,583.9135,423.868583695652,647.4381,345.04335,481.54185,693.27295,237.583575,530.83755,50.0977064995867,24.346893294315,0.725909888529127,0.532936430525173,-0.462137625785985,-0.907964638517552,"ESCA"
"ZNF324",0.00796798331827309,186.019734883721,237.251797647059,5.84072388833123,18.2583704616179,148.0128,166.4468,213.9328,261.7325,238.520554545455,212.251344021739,212.2093,186.8305,198.8786,260.3844,155.802725,246.263675,22.1471064109035,9.12578021452273,0.889866051276896,0.880406749374321,-0.168339906788403,-0.183757889626614,"ESCA"
