"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","mean-N0","mean-N1","mean-N2","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-NX","count-N0","count-N1","count-N2","count-NX"
"ZNF195",0.994092637538679,0.960061453507144,0.981749266423259,0.791291358242498,0.659781665558698,0.754686083207947,422.94215,399.18872,326.159866666667,531.691281818182,64.3666089540103,32.2467191240411,61.7707401300792,170.812506030106,222.977175,265.3436,281.0545,254.87815,516.12835,520.2703,385.2618,472.1449,22,25,3,11
"ZNF263",0.999999484256394,0.76245160425929,0.761469946911039,0.244023019981994,0.231547155300741,0.998852743427025,522.217486363636,522.657196,602.819566666667,615.645081818182,34.8715783452242,24.7281553714408,49.9724462579241,26.6916725422328,411.2113,454.9978,560.55125,553.77475,605.682,584.748,647.04,681.84925,22,25,3,11
"ZNF200",0.999997969680859,0.926141540884203,0.921865803240928,0.998897701988747,0.999135384108894,0.909577061972613,245.82755,246.316128,210.0272,250.876227272727,22.4573467265711,18.9051029680503,35.8108185290888,21.5229400855759,174.60415,195.8951,185.94485,207.0116,301.173325,262.9538,245.0214,282.7998,22,25,3,11
"ZNF582",0.951848075462309,0.925191917961377,0.982263003482369,0.998773509150787,0.93757786337278,0.907480184074895,10.2795363636364,8.300568,5.38876666666667,10.9910181818182,2.77510031936405,1.41393346120813,1.31092605478384,6.45878896467045,4.02135,3.1825,4.39845,1.6666,11.9034,11.8147,6.6278,8.13195,22,25,3,11
"ZNF285",0.776229181438674,0.607808711128527,0.859876302393201,0.797865154003449,0.998471931137172,0.915574493341208,19.1786,12.768476,1.70173333333333,11.4210909090909,6.48326440040364,3.84181032918198,0.572816102931628,4.13812020934527,3.720175,2.9377,1.24455,3.19615,22.47695,13.2939,2.2292,13.7709,22,25,3,11
"ZNF275",0.536492165629991,0.987712818435562,0.989067538430292,0.825522818292118,0.996585289795088,0.997987598426356,781.571513636364,650.051356,714.257533333333,675.665845454545,83.8299545028615,50.2380603983892,17.6016198449966,119.954017791762,490.13655,453.5448,702.04605,429.93395,1009.81885,799.6303,731.34155,745.70105,22,25,3,11
"ZNF37A",0.97449625877091,0.937536491394433,0.860211462191461,0.506297115907524,0.29971914695608,0.994862224789692,540.952409090909,566.12204,468.051933333333,435.679981818182,41.227442380375,46.9528356823408,65.6921203013556,46.618442605828,393.989725,398.2402,431.2528,317.0599,726.958875,760.8696,533.57855,517.2481,22,25,3,11
"ZNF510",0.414009162865174,0.970304625134662,0.991050445859337,0.330893690392224,0.961958743915361,0.947319719211959,409.910259090909,319.660672,355.413266666667,284.695872727273,60.6183324093461,24.9395967178665,90.8780581316219,35.0954221029081,251.75425,244.6235,292.1127,200.8188,481.31945,389.9217,443.53385,373.4125,22,25,3,11
"ZNF506",0.903290283087923,0.748850607405066,0.903263724224941,0.155330930898045,0.3731913276132,0.993625313577409,465.836863636364,413.037364,302.6662,257.501336363636,73.2942970159673,45.3896055267003,109.457885316089,42.7126180928461,245.20105,298.9842,237.91825,173.7606,644.21915,489.726,411.4702,323.57205,22,25,3,11
"ZNF324",0.973052093345764,0.970186563367086,0.994889965841264,0.640980657738437,0.413196964513431,0.696463566070659,218.210122727273,195.659112,169.018933333333,296.437627272727,39.2797213263538,11.0851828271516,4.726523335509,97.5242118048344,161.4129,172.0959,165.88285,142.3379,226.78445,226.1516,173.64945,291.06315,22,25,3,11
"ZNF671",0.790835551220647,0.886370769125534,0.645343065896692,0.947725602695477,0.564254138615499,0.981519368189421,53.6854136363636,64.340732,36.1097,45.7781909090909,8.5999866118372,7.86213761901244,13.6795600261851,12.0064299820135,21.857025,34.5584,27.5821,16.15285,85.74135,80.7498,49.63675,60.3883,22,25,3,11
"ZNF416",0.592860802159191,0.993556612813651,0.821805714275238,0.338374696492808,0.893464423052479,0.625218773344259,98.8667727272727,121.022544,89.1165,136.454854545455,10.7920365646938,11.1022730182023,9.9488437003168,26.7020633678284,77.9853,90.8074,79.1939,61.711,105.685925,151.3593,94.7032,216.3023,22,25,3,11
"ZNF586",0.933074688299534,0.939273813374469,0.823487547479375,0.399680150150398,0.673590525900306,0.481946583303827,214.808777272727,198.899556,247.135933333333,161.573809090909,21.3181322146865,15.1699982629356,24.6269946947338,33.6601421375664,144.150175,167.16,222.73135,78.5163,263.16605,224.196,262.1981,204.4318,22,25,3,11
"ZNF446",0.331271031683954,0.640961622691149,0.981857921552311,0.692905745958076,0.993976532417674,0.960008953557773,232.439422727273,169.196876,140.111233333333,181.008018181818,40.4656380232655,9.3890903315999,7.68201515084276,31.5290207064822,159.73885,145.0078,132.4739,130.2357,246.705775,181.715,144.6464,184.7962,22,25,3,11
"ZNF8",0.983609885340798,0.7406125320987,0.829997251283936,0.987344773277199,0.999965691016212,0.86649584827376,246.959327272727,234.241132,171.774133333333,232.261127272727,24.1115094336971,17.506417336351,49.1790265977389,56.935214792108,143.990425,176.0634,127.74145,138.17485,305.341975,302.6851,212.7582,260.9784,22,25,3,11
"ZNF264",0.942782142921407,0.99983933596089,0.985645012595238,0.834048938376459,0.557992626750318,0.977247249589959,1076.98189090909,1158.061296,1053.8478,923.564818181818,100.213592620311,76.2190070499705,306.773045504007,216.959644953009,707.52425,843.8074,823.5668,504.6938,1418.043175,1430.0823,1344.51685,1207.8998,22,25,3,11
