"gene","p-adj-Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","p-adj-Current smoker-Current reformed smoker for < or = 15 years","p-adj-Current smoker-Current reformed smoker for > 15 years","p-adj-Current smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-Current reformed smoker for < or = 15 years","p-adj-Lifelong Non-smoker-Current reformed smoker for > 15 years","p-adj-Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-Current smoker","mean-Current reformed smoker for < or = 15 years","mean-Current reformed smoker for > 15 years","mean-Current Reformed Smoker, Duration Not Specified","mean-Current smoker","mean-Lifelong Non-smoker","SEM-Current reformed smoker for < or = 15 years","SEM-Current reformed smoker for > 15 years","SEM-Current Reformed Smoker, Duration Not Specified","SEM-Current smoker","SEM-Lifelong Non-smoker","Q1-Current reformed smoker for < or = 15 years","Q1-Current reformed smoker for > 15 years","Q1-Current Reformed Smoker, Duration Not Specified","Q1-Current smoker","Q1-Lifelong Non-smoker","Q3-Current reformed smoker for < or = 15 years","Q3-Current reformed smoker for > 15 years","Q3-Current Reformed Smoker, Duration Not Specified","Q3-Current smoker","Q3-Lifelong Non-smoker","count-Current reformed smoker for < or = 15 years","count-Current reformed smoker for > 15 years","count-Current Reformed Smoker, Duration Not Specified","count-Current smoker","count-Lifelong Non-smoker"
"ZNF184",0.0345852001040792,0.493229987799661,0.991452218520614,0.748306676145063,0.46293269983683,0.795032761963527,0.60704824217474,0.426489833382382,0.80727709752607,0.999972557640838,255.333825714286,195.808879411765,172.687566666667,230.381621212121,228.37818,19.1162665743827,10.9565149976529,27.6312830786854,14.444489671879,11.0176326092881,191.7046,152.3704,145.4448,179.6372,181.215575,292.87015,231.5768,190.30765,281.9836,269.705175,35,34,3,33,50
"ZNF500",0.330997728021932,0.733328992360246,0.989355385874515,0.996756153440389,0.558874290775214,0.812877326487388,0.758145473678168,0.910353785194417,0.928659627627398,0.933440809055345,264.760042857143,228.925211764706,206.2331,258.051266666667,244.063618,14.8939636684953,12.8476150844496,40.4266072922689,11.7483629495472,11.6448153621134,196.59205,178.268625,179.53645,213.732,177.578725,328.286,261.02185,245.8721,281.1594,297.537825,35,34,3,33,50
"ZNF419",0.997040475994345,0.999829789495002,0.998172471120425,0.994062144004843,0.946000082130681,1,0.940141337665799,0.995130769313923,0.991357865253146,0.754551616682409,78.5822285714286,82.3991617647059,73.9618,73.9772151515152,86.405972,6.24441735991434,7.41525312000738,19.2588904338576,7.93792541483237,7.71906796122277,53.42525,54.6696,58.27725,46.8708,51.997875,99.37005,110.8415,91.48265,97.5744,108.585825,35,34,3,33,50
"ZNF175",0.388374392317737,0.999784515500097,0.983385331508622,0.986789523200396,0.719653553060452,0.999999861874936,0.672121306405764,0.973413283720765,0.997821842346693,0.940961904712304,126.312665714286,167.308697058824,136.414566666667,138.019993939394,154.359038,10.6785829619568,18.2441547727002,34.0625930988004,15.5232935390029,15.6472198508507,85.6914,117.754575,111.53215,75.5487,85.769975,175.87575,204.4656,169.00135,180.893,212.668225,35,34,3,33,50
"ZNF14",0.371239536859987,0.952920111272908,0.999999997381826,0.954937323924538,0.814727359173467,0.992887591441053,0.988119089645279,0.108424067092156,0.894596567074887,0.724600548455053,169.368554285714,124.452785294118,125.093933333333,151.730775757576,180.510482,15.7343576474501,13.1122681640322,21.9734791299522,14.1291687405622,19.0647355578133,111.3724,69.4212,103.15635,108.0745,113.515325,216.32915,153.92805,137.15,180.5819,199.780275,35,34,3,33,50
"ZNF85",0.993215695339548,0.989341369824551,0.998050595726442,0.98447600812019,0.999971280503817,0.998926139520345,0.905968334115328,0.675788713447478,0.928210908284347,0.609929889549559,57.53892,50.3208558823529,37.2353666666667,48.4893909090909,71.173704,7.94808495837052,9.01848227882493,9.21973962924719,9.1699473890478,14.2223654633886,20.6934,13.7418,28.3285,12.9665,15.3946,80.50935,83.095725,43.7512,89.2473,87.91945,35,34,3,33,50
"ZKSCAN1",0.625678553584458,0.799102376242528,0.981686170664286,0.260667565139362,0.971123940067975,0.998274785403773,0.159390942728403,0.948645315647846,0.998556825420897,0.999998925406087,2584.35180571429,2025.21960294118,1476.74046666667,1773.36646969697,1756.116168,480.056314211966,216.849759766071,373.090104314428,198.3142822487,128.674412185802,1322.0651,1254.28675,1144.2122,978.2911,1180.0924,2419.7619,2446.532,1789.517,2256.9146,2096.078575,35,34,3,33,50
"ZNF862",0.999985558228055,0.993599151703446,0.995483319418851,0.753343412685696,0.80614380609474,0.999995833473598,0.749597873648878,0.808243446264565,0.999999925530967,0.999963675811503,449.723888571429,443.401276470588,375.802233333333,364.203084848485,371.623516,46.2873237876442,56.2526717410681,49.7033911840474,45.8699578042368,43.6937051323155,285.19425,207.22105,327.20265,179.4132,162.02525,561.3884,607.4792,409.12315,478.0039,492.27235,35,34,3,33,50
"ZNF684",0.707830424213577,0.738051857495902,0.953406114828574,0.999716138036866,0.601674606552337,0.694215744428927,0.930408436832104,0.976841230883384,0.880291987363321,0.859816176133949,63.6766571428571,53.8687058823529,40.1467333333333,65.1380545454546,58.041706,5.81427022855927,4.1204001372501,4.01650353140362,7.18689857876671,4.01624910793327,42.32805,35.0398,36.4731,36.3303,35.0543,75.40935,68.92875,43.3898,77.807,72.5524,35,34,3,33,50
"ZNF430",0.999994775887965,0.973202440704191,0.977488591155879,0.96038461443905,0.973702819430745,0.997243131925557,0.999551043470643,0.998553538608604,0.956967063985924,0.879173992307862,185.292514285714,183.742641176471,151.069033333333,169.912442424242,189.632176,12.4387556929127,14.8415459088792,48.1076720681963,14.2881188884908,16.1684509100311,127.90005,126.017125,104.5839,117.7232,109.419275,234.6673,224.21125,185.04055,191.0183,227.6375,35,34,3,33,50
"ZFP30",0.0651711517226752,0.986174098234166,0.98146965038174,0.999747095766715,0.0449267693238351,0.977365597456447,0.999422545112654,0.0655018940527687,0.99258087029102,0.993474031312219,138.29692,75.6495764705882,108.218666666667,142.639903030303,133.437854,18.303902609103,11.939624231316,26.7862874739006,17.250184150555,15.1072442347102,62.1624,20.529675,88.02705,62.4565,68.173225,204.5272,115.173925,133.5576,198.9348,163.357825,35,34,3,33,50
"ZNF549",0.999417415969614,0.99471394169153,0.988484616775595,0.992714421399306,0.966226968421681,0.99945211733244,0.998481858936156,0.999999356608089,0.986423482677223,0.944217472744595,124.089985714286,129.601364705882,99.8883666666667,113.477578787879,130.523392,14.6121620118985,21.6786674575464,30.3368195741486,14.7133627272893,14.6454373393967,50.16875,46.2304,69.55335,50.6278,54.291975,189.49725,166.1421,115.3423,163.1648,197.59165,35,34,3,33,50
"ZNF211",0.956840902080719,0.999999958304673,0.999013203547322,0.559082344470206,0.191416260871302,0.970472066579736,0.955655478150097,0.999997277781788,0.999264383902958,0.143839408383802,203.452448571429,222.310479411765,204.847666666667,162.353381818182,220.844506,18.7511278848211,22.6583804660802,11.3039075739813,15.1516424802678,16.355830096713,126.7609,156.360175,197.38575,100.6464,130.947225,253.47095,243.916075,215.9321,199.694,296.013075,35,34,3,33,50
"ZNF205",0.996461445265558,0.944513896400044,0.974155229423907,0.995315363582004,0.948107084905546,0.89586437431621,0.893493128271374,0.986004141497105,0.993365437248849,0.686492686153337,271.783871428571,263.785155882353,229.9651,280.449945454545,253.205392,18.7446268669308,14.7472272237005,54.9473984508821,14.2663165469761,12.744718354097,189.8086,198.9365,178.1918,220.646,188.108175,329.99325,341.362375,271.7909,332.3172,300.45365,35,34,3,33,50
"ZNF45",0.640899908024487,0.999857646567839,0.953915846292189,0.999432258943832,0.786172400784305,0.999154463878358,0.494822830398493,0.99997872508597,0.94253217725209,0.668537456713279,208.822814285714,247.731841176471,197.680433333333,215.192981818182,250.287018,11.5653471109892,29.9920243211876,3.14926727792002,13.3499360339671,16.8724515294064,155.2909,168.250625,194.68255,167.352,166.01315,271.2883,259.007775,200.0148,255.6452,294.424475,35,34,3,33,50
"ZNF133",0.942950742322122,0.999997996597068,0.999164457828322,0.995379432575907,0.793508577835131,0.999575301658578,0.984354575749155,0.666029682459101,0.99911827508761,0.9999730285098,332.720277142857,305.04395,327.738866666667,346.884503030303,350.445304,26.5761188104916,16.934885666044,31.7078065982881,19.9141840207402,27.7901438609969,249.4309,225.7916,296.03445,276.7239,221.421525,364.606,364.7198,343.9926,401.5152,445.58815,35,34,3,33,50
"ZNF436",0.181358947807043,0.886007750854246,0.37171503931078,0.963063467674478,0.0403587374442802,0.965212088712082,0.999744716352413,0.079912224357609,0.90734025641908,0.982777761358116,769.385942857143,551.238347058823,997.9278,835.742157575758,785.943672,56.2663317160358,52.8016472662799,233.48505964745,79.6465054630264,67.8099160472373,501.4835,337.372525,778.8377,527.4916,404.844325,997.07815,654.35705,1177.3735,916.0867,1156.739575,35,34,3,33,50
"ZNF484",0.867599787832016,0.528642172638081,0.771404383186311,0.999925539209271,0.81103399283842,0.4963546713177,0.993843983375306,0.967704370164361,0.615437728570838,0.981635616886789,178.463851428571,159.250276470588,101.636566666667,181.144036363636,170.988992,13.4637382066098,11.8796119887639,18.5542563606785,17.7435316488688,11.1258087378762,121.74435,112.86465,84.1822,110.5528,123.233125,215.56455,182.502475,115.8139,237.7205,204.249825,35,34,3,33,50
"ZNF780B",0.999858066741356,0.714781765790922,0.676855890537362,0.729269906713017,0.638263673797944,0.941283172466848,0.982612831002133,0.996082865061776,0.577912914285518,0.336440432617021,355.759062857143,363.1949,207.520233333333,297.116484848485,379.13507,25.6109760807128,36.0293651038765,13.6062519282293,27.6474758743072,33.0311335729844,248.0502,221.42855,193.91535,172.6974,199.989725,421.12755,425.039425,214.4898,361.4623,490.14145,35,34,3,33,50
"ZNF557",0.865417533433305,0.999583923814655,0.975265412578195,0.916040276282206,0.999947358289671,0.982173452677427,0.923949645412255,0.999204946483184,0.985848812099352,0.999969133776274,204.574777142857,187.179405882353,213.804366666667,189.407954545455,191.19704,15.5550136296751,10.7204380779331,12.6456478126315,12.8719053327069,9.64834730371191,143.53235,150.004325,201.51485,158.2011,146.7491,256.32,204.237075,222.52985,235.5316,218.0514,35,34,3,33,50
"ZNF337",0.472863860372771,0.914763127958063,0.99969887845505,0.999747911152854,0.604861253825973,0.93794393168894,0.962021146555439,0.799830274879236,0.973387851404586,0.990456619089154,464.539911428571,383.539211764706,359.961566666667,455.457448484848,434.18092,28.1189313103043,22.367615754408,15.658926549132,28.2743218502673,40.1229652623605,379.8761,300.902975,345.3108,359.5535,258.010825,531.1096,442.881975,372.0742,546.8051,522.9434,35,34,3,33,50
"ZNF317",0.999544386070354,0.999718504530334,0.998777487988252,0.918569401838778,0.971317192972843,0.984760956938728,0.999988084040087,0.997868115410499,0.999856166385318,0.859796988220709,953.142591428571,940.579423529412,980.937166666667,903.191527272727,957.74578,45.8342136428059,34.4108631245939,51.9226135372419,35.3103095950414,39.9288589997002,733.77095,785.87515,932.5102,773.4506,743.082325,1113.2221,1095.94005,1021.3707,993.2189,1068.29185,35,34,3,33,50
"ZNF426",0.991579426764703,0.148059088168017,0.214497470216653,0.997029216928979,0.935693378568172,0.110437361735225,0.99856888661161,0.939710143000544,0.11021007868291,0.999984159845526,225.270508571429,248.124535294118,519.2934,207.697348484848,212.030292,27.5099033435846,50.7829827525214,295.237205191729,22.9584092045079,27.4994729507253,116.02845,115.177475,226.69605,125.2372,103.231875,269.7227,280.8134,699.7073,280.4411,236.020175,35,34,3,33,50
"ZNF331",0.998066668618698,0.99114362097793,0.997379365744448,0.999733530296567,0.999956025828417,0.995598264013634,0.948665227649717,0.827669535485627,0.948934709558524,0.888802949792455,264.903991428571,245.347029411765,192.4669,252.9814,307.688002,31.7833800586754,54.0244967721125,9.08744175570514,37.6519899639249,43.1846219756134,101.11615,44.909,183.511,88.6128,73.846925,358.7156,300.98625,198.27905,328.5794,438.786175,35,34,3,33,50
"ZNF227",0.780315752463305,0.933840571242291,0.724391088423772,0.999999999997883,0.790382302116114,0.934178464791104,0.551658731822074,0.998952546788138,0.653790987823431,0.569950898814323,239.605194285714,271.718929411765,184.5824,239.654548484848,278.482104,14.3662186932546,27.5351624176514,11.9969673944432,13.7322985655502,17.2140143781978,184.9868,183.4929,178.5085,191.5263,189.45375,303.5739,306.2323,196.57905,274.5052,312.601175,35,34,3,33,50
"ZNF141",0.502082145010327,0.941333195479654,0.999950041826722,0.999986054733684,0.461376893187942,0.931860329767481,0.999674522846211,0.309970126055236,0.916951984955703,0.999980631395284,76.8728485714286,54.7156735294118,50.4916333333333,78.1087454545455,79.34913,7.65022054833218,8.03816900683752,15.5899259526073,10.3407481080578,9.93602111704198,38.415,17.530725,38.7293,41.4295,44.870425,107.9259,74.0053,65.23395,94.8181,119.923325,35,34,3,33,50
"ZNF304",0.99999124293602,0.966510149048379,0.96046883353213,0.999939632148001,0.999998657338601,0.956370408287932,0.999018605586634,0.997072285631904,0.980309242861317,0.994996406671979,300.378542857143,297.852714705882,352.489466666667,296.24946969697,307.954522,20.327836698194,21.5002267245423,58.4750743084132,27.599364561672,18.439807712893,218.1755,223.99275,299.85305,174.3208,226.7319,388.82175,349.59005,400.8657,331.8568,377.179125,35,34,3,33,50
"ZNF132",0.388894380614285,0.997927455246317,0.994538140882193,0.16216955256998,0.987750727346556,0.974849773723818,0.38178962123189,0.99988080063032,0.9967865983109,0.958585662780864,67.7064742857143,50.8742470588235,60.3405666666667,46.1270303030303,52.195358,10.2681149672319,6.28600352241398,16.9610716359878,5.03452009418566,3.66791258302581,36.8672,30.23375,46.10105,27.5142,30.20835,67.07065,60.00865,75.44065,61.2121,71.511225,35,34,3,33,50
"ZNF20",0.901261091519574,0.993790495027326,0.999997278591395,0.987459371962717,0.648671084835552,0.972812223236198,0.999991818500237,0.837439527523199,0.991625982953338,0.990499580951761,98.7600057142857,106.596544117647,107.893433333333,94.3287181818182,98.134928,7.68197716081674,6.41958949609007,3.51264500641769,5.42520839390004,4.70438549081472,65.89325,85.724875,104.42035,78.6476,74.895175,126.38405,124.66785,110.08525,115.5501,113.925175,35,34,3,33,50
"ZNF670",0.992993755913602,0.376336212004758,0.481304716198184,0.981142426532871,0.999934119576062,0.516247436244279,0.999836568723568,0.970833285861851,0.330226432300178,0.941087388143956,95.3527485714286,90.2951941176471,42.0486,88.7280333333333,97.12865,8.68149463315904,7.37337813076908,7.35439352858775,7.4790409618701,7.89286756731787,63.21025,57.7057,36.037,58.306,61.616525,115.9236,113.4726,48.7233,110.6528,120.7232,35,34,3,33,50
"ZFP37",0.296999932364843,0.735500620429805,0.991653048633126,0.921019506128762,0.808726375333095,0.900050174336167,0.789050953723953,0.860836105169715,0.923437807330384,0.999518316193645,72.8300171428571,50.2198882352941,37.2361333333333,63.1237757575758,60.796788,11.3162246816605,6.1358894685326,8.7602821602833,5.58107401473883,7.01735358548909,32.4115,20.74795,28.8098,36.6667,21.65025,88.9259,67.8525,43.52405,92.93,91.972625,35,34,3,33,50
"ZNF189",0.953140696070599,0.999992208644248,0.996313892232822,0.0985490265554302,0.395800285516086,0.817700554500099,0.614014334585703,0.968652922119606,0.974151223687613,0.69477804583587,554.494677142857,514.564370588235,565.1736,414.122533333333,481.619418,42.227451684644,40.7789080306956,323.312057957463,32.8405435246574,30.9604580182167,370.9455,351.10185,241.9835,301.423,298.71695,684.7358,714.534,734.45855,480.4845,649.394125,35,34,3,33,50
"ZNF434",0.994136383097258,0.921531697427946,0.963696228584286,0.994626552747063,0.999999999700615,0.963377043182363,0.932182875096827,0.996929073974046,0.982524500279233,0.996806988366021,362.472488571429,353.110252941176,314.966966666667,353.250275757576,345.799046,17.1527820170916,16.3161372696651,67.5127042385933,14.413279302977,13.8250872317334,294.8673,295.042325,250.9709,289.8236,273.5207,437.0765,432.023125,365.58895,415.8378,412.237975,35,34,3,33,50
