"gene","M1-M0","M1a-M0","M1a-M1","M1b-M0","M1b-M1","M1b-M1a","MX-M0","MX-M1","MX-M1a","MX-M1b"
"ZNF195",0.999963765441669,0.926443495712625,0.961454958076501,0.946880119904133,0.946425889374135,0.813317796770592,0.998245320080307,0.997608002002875,0.918791713055156,0.98784104940643
"ZNF263",0.333409303249999,0.997141524849433,0.717484205380915,0.998763820127912,0.99060446296711,0.993134118808648,0.998458050132101,0.656865500335393,0.999990960890931,0.995153748125981
"ZNF200",0.954084539755408,0.992279862927316,0.943739932576453,0.998380156136464,0.982377923835894,0.999999982083195,0.999725092280137,0.999051063254276,0.990073746768122,0.996662605580235
"ZNF582",0.610598411723157,0.994940649355138,0.8192003280222,0.988234706967303,0.853287937917287,0.999798196169313,0.989784187032331,0.992402312895364,0.972162465746217,0.96237953401128
"ZNF285",0.99999567264134,0.999988508784604,0.999999251015365,0.974436696943085,0.98238944185879,0.991580938338636,0.944860860265807,0.973904258895089,0.993346468259015,0.99990667729957
"ZNF275",0.999973120352134,0.333919010726603,0.472645302529007,0.987691353000809,0.986514415039868,0.553309854003614,0.943138007528028,0.953641135057981,0.286562900984651,0.999999104358849
"ZNF37A",0.872336000443671,0.493510356560762,0.8669573216298,0.971065098370818,0.875909206365174,0.589072268826901,0.731104785094486,0.486822628744425,0.241832217737851,0.999982625855498
"ZNF510",0.994493844823155,0.585539193808441,0.794173736532084,0.983509201711803,0.99657916750092,0.992897446470718,0.992929857401503,0.974280477969454,0.604707022018065,0.958665971457926
"ZNF506",0.546708021062181,0.992651301519249,0.995188115106535,0.910175511910641,0.635007483653156,0.870424711459873,0.999763467713097,0.945145330771044,0.999427202475415,0.915375241398807
"ZNF324",0.121631088764519,0.942691397365432,0.981536505911374,0.998345526039251,0.752733488206589,0.958829025346264,0.999999372965106,0.591417616025614,0.97098170027004,0.999298736453561
"ZNF671",0.992833749871751,0.996341681071488,0.982840735578842,0.855200873587921,0.803223557730902,0.972669857816909,0.121396421367716,0.357011469137641,0.344948833284681,0.223091797496472
"ZNF416",0.00715520682003845,0.65513309502027,0.980462197665411,0.999912727393228,0.586842035449389,0.889411177089566,0.969761187505631,0.548559364249759,0.962962686648694,0.991590148195335
"ZNF586",0.994889963984626,0.998884451819585,0.992283024529941,0.99868114205211,0.999961882421322,0.995252070018229,0.987720068761976,0.965069363850487,0.999963446542198,0.98743415707035
"ZNF446",0.998976568530837,0.996667990970108,0.99156751062998,0.99977226971964,0.998873565583034,0.999996890612152,0.99579318865022,0.989486231256305,0.999999671073516,0.999999569172182
"ZNF8",0.401032171166977,0.909785434371184,0.461554226878123,0.995737750476615,0.843757029073878,0.999637507362933,0.985997061790353,0.974898585121133,0.84811511766746,0.976053968396885
"ZNF264",0.92714755058103,0.999999600938227,0.991998820845995,0.815616550177058,0.95204081588104,0.890781409283346,0.999770518865675,0.970138660175369,0.999986492818635,0.837014631456996
"ZNF213",0.686952490371232,0.0657966693326262,0.398355719442731,0.96488094179208,0.798023460653315,0.220085095275449,0.680357122494302,0.326566375903192,0.0316525401759549,0.999970058373523
"ZNF343",0.757893462680793,0.791806220798674,0.495065396951958,0.0234827063436295,0.107243054419487,0.0169665136850061,0.999991143278203,0.939678829043229,0.91706202715974,0.0572551977112404
"ZNF302",0.999795815399114,0.874088573720032,0.877550941869988,0.939466884094348,0.932923129283233,0.999994719233743,0.997754236988175,0.995708160134721,0.981747465713047,0.986410222801205
"ZNF268",0.720345606538647,0.914788249670448,0.999934715321654,0.999801677939239,0.997866173692866,0.996400237344498,0.187398790246919,0.76269061245262,0.935843700291911,0.856706982809286
"ZNF184",0.997464703699533,0.894720989430262,0.966403419126563,0.973038770796007,0.95574522074768,0.838261549180861,0.961041493594343,0.994942750065711,0.998733665123764,0.902709180377144
"ZNF500",0.746772409460178,0.969515564467366,0.999999256532338,0.822329394241722,0.588470110684083,0.721145674156562,0.994958731840345,0.833396882081023,0.942829374773497,0.947894885432897
"ZNF419",0.172711085028341,0.999723633111905,0.865734281307247,0.999862576884002,0.852635694053111,0.999263719822758,0.823549932661714,0.994018552275748,0.981856232005476,0.958845456561977
"ZNF175",0.287585180452802,0.981735205274635,0.570645212713537,0.946442831932019,0.999998238713355,0.883107541829511,0.999986868714573,0.729785437482573,0.995588183911801,0.957645190295913
"ZNF14",0.971409380967809,0.932875159931077,0.994591352751184,0.982025308369464,0.943485902018529,0.889983713333923,0.999983863526912,0.991891135703605,0.959371070443503,0.992644205687866
"ZNF85",0.975091084948004,0.994902122918607,0.999998376280219,0.96804029949714,0.920429347402939,0.941573143015604,0.972678747014375,0.999768987823638,0.999985091825122,0.905230471189279
"ZKSCAN1",0.999255444593439,0.680603569893646,0.822637052738887,0.999976050947749,0.999726427663001,0.910040503277399,0.999875535076828,0.999999998535201,0.878522030824186,0.999822141277466
"ZNF862",0.998030695614937,0.998233077083516,0.999961213901647,0.999999925906204,0.999982154250775,0.999862879162899,0.581532286932971,0.596564171772673,0.752334564015027,0.934813045305349
"ZNF684",0.999996316473508,0.987478644223776,0.989084044628731,0.999902558748409,0.999964050455305,0.993900014676656,0.963349606923809,0.983279523961477,0.922052572513594,0.999494536298299
"ZNF430",0.628987683061272,0.997214328337419,0.994115595753711,0.965750539276828,0.999987965559328,0.997045110042879,0.991670876364558,0.992122040020513,0.99999990282274,0.997026229816044
"ZFP30",0.838779612331908,0.977883074741442,0.835141641829077,0.891862312243883,0.721573273627949,0.993865020674276,0.845054150040698,0.998729290177521,0.794607736211784,0.678811062924884
"ZNF549",0.660547773472119,0.999447622679845,0.902532752788773,0.889642651519068,0.996536978448247,0.900861863017466,0.999646524114557,0.870373559519968,0.999998937223216,0.894422852299178
"ZNF211",0.655568514246819,0.999994378354359,0.970772587959161,0.995583792615013,0.906359995039668,0.996603645049404,0.0193912635000686,0.305072767121124,0.270358131595404,0.293875589842991
"ZNF205",0.291256168876166,0.920010244253463,0.999122264329109,0.953846988889914,0.619702572144568,0.819305308565849,0.99083511115634,0.534131200266682,0.874245648110949,0.995241387010862
"ZNF45",0.294882786637845,0.89981842502144,0.387706572571683,0.999988835986332,0.962794999449318,0.975682530956278,0.999172991879095,0.879146829849467,0.909180925330337,0.999998038520743
"ZNF133",0.999197748163681,0.918709482432601,0.969877713386159,0.997691064351269,0.994782440358882,0.942241535039674,0.999988881215537,0.999515073064194,0.952463736160528,0.999288519045856
"ZNF436",0.848868508437011,0.991168932724085,0.999972709619423,0.794765965637154,0.960684573547084,0.96428426580656,0.425736467914509,0.896910634000784,0.938369722975793,0.999984321344973
"ZNF484",0.808398766250105,0.510080863683771,0.903637420773941,0.921772549988683,0.99608628155323,0.99902230332132,0.99990065444137,0.985207953687849,0.772063973134235,0.966356016010961
"ZNF780B",0.714265833954994,0.941228982113554,0.679765271309489,0.999999825414348,0.991264181722493,0.989627337741054,0.655385608107846,0.992551701811828,0.575504376318749,0.96098337621818
"ZNF557",0.988840391261756,0.956930306765089,0.907595800078007,0.99997348701053,0.999988202536325,0.987590890576829,0.993752787653525,0.968241797930715,0.998615455867746,0.998111542486203
"ZNF337",0.99069315707011,0.90926634739758,0.850851308942708,0.940905610770061,0.982134514279897,0.787266350153311,0.573490087793562,0.846932519464131,0.470868824446011,0.999973975726911
"ZNF317",0.993167664392208,0.999762355473541,0.99570295780642,0.999982955728662,0.999993540129202,0.999747971639178,0.76431324304033,0.714769362822697,0.970313787129976,0.958390312742433
"ZNF426",0.83427839386204,0.120084011892791,0.06329590215628,0.987051365013442,0.907673142388998,0.842870099645867,0.9646603748416,0.999999032225335,0.142851521664908,0.936524674520632
"ZNF331",0.962102720742725,0.99341227446882,0.952336447756187,0.933508266317698,0.855731905555389,0.994328505612327,0.989086961698616,0.99999996733539,0.967408471865867,0.882309721804718
"ZNF227",0.467464075798624,0.913463433356716,0.502259271690124,0.99999288590803,0.956126622491495,0.99202279824531,0.993805809792813,0.971725359267679,0.879764951803207,0.998667977281981
"ZNF141",0.65311078249645,0.992080132013558,0.998344637572602,0.999823012020118,0.996349394311878,0.999949272768934,0.999992279857378,0.947590967890471,0.998238150952816,0.999970043175261
"ZNF304",0.044264300201351,0.999960411130818,0.665074106990149,0.999656919606138,0.709807352102726,0.999367438292216,0.89346991999258,0.114131201459937,0.959811478643593,0.998299521060197
"ZNF132",0.999402059033826,0.999734395450417,0.999998325700192,0.99756049595412,0.994900522337099,0.995654191207856,0.928994117293815,0.922106326231058,0.962380769796834,0.999933242353719
"ZNF20",0.787332456962817,0.972242152146164,0.999999963567816,0.302408001632696,0.620135669863203,0.722902059457095,0.802554231594249,0.998439144530388,0.999297151592587,0.785463365314488
"ZNF670",0.998569712644926,0.676779523383154,0.67061109475281,0.999839862499373,0.99999890803891,0.890053079345218,0.999980439955321,0.999139820345035,0.860753343932685,0.999692121017623
"ZFP37",0.920572046049195,0.640913653454776,0.921267324017808,0.708167902001209,0.899371683524819,0.999294166225914,0.995994395495665,0.999811633808977,0.912305920811507,0.886007719827666
"ZNF189",0.824341410030797,0.736452724715969,0.979316568758205,0.955514003461494,0.8237203399163,0.692107359879503,0.566307849014567,0.320140633386845,0.30500799149066,0.999846356007246
"ZNF434",0.223506217466377,0.999999999972623,0.818007399731867,0.999825412978598,0.96628854705429,0.999914106166015,0.586772495822695,0.102149761892476,0.873894455762326,0.894971613381928
"ZNF287",0.98419750309161,0.999998887791666,0.999423734934853,0.908604885670637,0.971708288515315,0.9587875771287,0.791853834076618,0.704001942560297,0.937785366451152,0.669580297213401
