"gene","Stage IB-Stage IA","Stage II-Stage IA","Stage II-Stage IB","Stage IIA-Stage IA","Stage IIA-Stage IB","Stage IIA-Stage II","Stage IIB-Stage IA","Stage IIB-Stage IB","Stage IIB-Stage II","Stage IIB-Stage IIA","Stage III-Stage IA","Stage III-Stage IB","Stage III-Stage II","Stage III-Stage IIA","Stage III-Stage IIB","Stage IIIA-Stage IA","Stage IIIA-Stage IB","Stage IIIA-Stage II","Stage IIIA-Stage IIA","Stage IIIA-Stage IIB","Stage IIIA-Stage III","Stage IIIB-Stage IA","Stage IIIB-Stage IB","Stage IIIB-Stage II","Stage IIIB-Stage IIA","Stage IIIB-Stage IIB","Stage IIIB-Stage III","Stage IIIB-Stage IIIA","Stage IIIC-Stage IA","Stage IIIC-Stage IB","Stage IIIC-Stage II","Stage IIIC-Stage IIA","Stage IIIC-Stage IIB","Stage IIIC-Stage III","Stage IIIC-Stage IIIA","Stage IIIC-Stage IIIB","Stage IV-Stage IA","Stage IV-Stage IB","Stage IV-Stage II","Stage IV-Stage IIA","Stage IV-Stage IIB","Stage IV-Stage III","Stage IV-Stage IIIA","Stage IV-Stage IIIB","Stage IV-Stage IIIC","Stage IVA-Stage IA","Stage IVA-Stage IB","Stage IVA-Stage II","Stage IVA-Stage IIA","Stage IVA-Stage IIB","Stage IVA-Stage III","Stage IVA-Stage IIIA","Stage IVA-Stage IIIB","Stage IVA-Stage IIIC","Stage IVA-Stage IV","Stage IVB-Stage IA","Stage IVB-Stage IB","Stage IVB-Stage II","Stage IVB-Stage IIA","Stage IVB-Stage IIB","Stage IVB-Stage III","Stage IVB-Stage IIIA","Stage IVB-Stage IIIB","Stage IVB-Stage IIIC","Stage IVB-Stage IV","Stage IVB-Stage IVA","mean-Stage IA","mean-Stage IB","mean-Stage II","mean-Stage IIA","mean-Stage IIB","mean-Stage III","mean-Stage IIIA","mean-Stage IIIB","mean-Stage IIIC","mean-Stage IV","mean-Stage IVA","mean-Stage IVB","SEM-Stage IA","SEM-Stage IB","SEM-Stage II","SEM-Stage IIA","SEM-Stage IIB","SEM-Stage III","SEM-Stage IIIA","SEM-Stage IIIB","SEM-Stage IIIC","SEM-Stage IV","SEM-Stage IVA","SEM-Stage IVB","Q1-Stage IA","Q1-Stage IB","Q1-Stage II","Q1-Stage IIA","Q1-Stage IIB","Q1-Stage III","Q1-Stage IIIA","Q1-Stage IIIB","Q1-Stage IIIC","Q1-Stage IV","Q1-Stage IVA","Q1-Stage IVB","Q3-Stage IA","Q3-Stage IB","Q3-Stage II","Q3-Stage IIA","Q3-Stage IIB","Q3-Stage III","Q3-Stage IIIA","Q3-Stage IIIB","Q3-Stage IIIC","Q3-Stage IV","Q3-Stage IVA","Q3-Stage IVB"
"ZNF195",0.720476974409442,0.281579601477944,0.999975368817887,0.0358907144537441,0.999999998608948,0.999979177428341,0.11535535689396,1,0.999926964477286,0.999999997264352,0.01544515340548,0.999978827926937,0.999999999563304,0.998108277979761,0.998135638455325,0.0923107422902086,1,0.999801878986057,0.999998861707091,1,0.985954479631214,0.243594884231929,0.999928585099188,1,0.999910118928781,0.999755636657433,0.999999980084384,0.999405784347212,0.292735706475223,0.999982115930265,1,0.999986773564149,0.999949530455894,0.999999999887735,0.999858293335976,1,0.0693257497385529,0.999999998736873,0.999988238131663,1,0.999999999173131,0.999814356166159,0.999999853508147,0.999947473360873,0.999992606262005,0.08224311402116,0.999913619455832,1,0.999612248511597,0.999134484555603,0.999999994739473,0.997299493998133,1,1,0.999839644528373,0.94360889236726,0.999999330528174,0.996201824659055,0.999467406350459,0.99992488866999,0.989360088202009,0.999953740804972,0.99350025150431,0.996758338712979,0.999607870080732,0.988589546338754,1201.4221,489.958,236.4584,417.1079,452.3306,303.819833333333,468.62684,207.956,244.354,414.6274,240.98095,668.8162,989.4493,NA,NA,68.3775463943661,71.6129521014553,35.348575875105,49.8788385827724,NA,NA,54.2549849670846,52.65005,NA,706.69745,489.958,236.4584,228.823725,366.67235,228.0031,367.4596,207.956,244.354,327.10735,214.655925,668.8162,1696.14675,489.958,236.4584,499.43065,558.779775,381.0382,542.5789,207.956,244.354,472.1449,267.305975,668.8162
"ZNF263",0.993195965757173,0.999998918987969,0.999986317768304,1,0.961652526701401,0.999977783126308,1,0.982514530699255,0.999996640147514,0.999999999980015,1,0.972556878612576,0.999989315182833,1,1,0.99999999999095,0.988531762345782,0.999999562934376,0.999997981695719,0.999999999688348,0.999999935237298,0.999998125302411,0.999990651264555,1,0.999964330633634,0.999994159031196,0.999982385137455,0.999999119160651,0.99999999984908,0.999668592704044,0.999999999522228,0.999999985144939,0.999999999613097,0.999999995842252,1,0.999999998705245,0.997420611055117,0.999993969449532,0.99999999919331,0.725321666163859,0.957926056782447,0.883739265996463,0.965236795449311,0.999999999802094,0.999995161332506,0.999999999938194,0.981681150184111,0.999979552383556,0.999999999989432,0.999999999031504,0.999999999942233,0.999999781249382,0.999969445081056,0.999999934778101,0.985870168726613,0.999999996678959,0.999836058937569,0.999999999981171,0.999999827071507,0.999999990598681,0.999999939831459,0.999999999877857,0.999999999928808,1,0.999999030382911,0.999999592971546,525.2644,716.5904,602.5497,515.87593,526.566616666667,519.583866666667,541.81851,606.7238,559.1084,637.009042857143,499.80125,570.2441,204.0189,NA,NA,25.8224040958062,92.0056906429177,47.8454638833453,41.7333956746298,NA,NA,39.4059563225134,59.39505,NA,423.25495,716.5904,602.5497,420.29065,370.51805,467.3274,461.808975,606.7238,559.1084,619.1133,470.103725,570.2441,627.27385,716.5904,602.5497,582.62815,584.872575,665.8299,574.540475,606.7238,559.1084,695.1592,529.498775,570.2441
"ZNF200",0.91684985183348,0.956335897839515,0.999999999998799,0.963507912553312,0.999188722451844,0.999905650528836,0.996473011772788,0.997221534041562,0.999468231290247,0.999999667709085,0.995729486968119,0.99605978213385,0.999202039826158,0.999995978907976,1,0.940359865988408,0.999845878307428,0.999989401078942,0.999999964568056,0.999976186649758,0.99986943341108,1,0.949391755128112,0.9734590084618,0.992145771721788,0.998913886242508,0.998851060982618,0.985160362097442,0.999997747174673,0.998388347989715,0.999578484692939,0.99999937984275,0.999999999127122,0.999999999484842,0.99999314707791,0.999995835975612,0.927139440241593,0.999955651770952,0.999998011430114,0.999998442758411,0.999895759631217,0.999587935043938,0.99999999998572,0.979876949011607,0.999978747832414,0.999962498536905,0.995783810031341,0.998887580684066,0.999994046224974,0.99999999779445,0.999999998657275,0.999935721163142,0.999966946437147,1,0.999818792905123,0.999993422259348,0.998970193103697,0.999756172987168,0.999999885659422,0.999999999966094,0.999999999985129,0.999998052241148,0.999989988643519,1,0.999992774412738,1,152.7036,335.8244,318.6123,250.603515,232.777433333333,231.103855555556,262.62803,140.0388,208.9746,270.079242857143,213.17965,215.1082,52.8792,NA,NA,22.8630584519476,45.7405730513561,33.9666677237083,26.2909500160503,NA,NA,29.8425750983139,43.68185,NA,126.264,335.8244,318.6123,184.70085,196.91615,181.9066,206.045,140.0388,208.9746,241.3299,191.338725,215.1082,179.1432,335.8244,318.6123,272.21755,227.957775,248.4915,294.29155,140.0388,208.9746,315.2742,235.020575,215.1082
"ZNF582",0.999999906251784,0.999999999999011,0.999999495887273,0.999999998930281,0.999999997377874,0.999999969783666,1,0.999999346889425,1,0.999999308770278,0.999979256360545,1,0.99998200277621,0.999850571534993,0.99846149970916,0.999999999876199,0.9999895450417,1,0.999445040744132,0.999999998690963,0.970594667048659,0.999999994095956,0.999991547110991,0.999999999998536,0.999996694067973,0.999999990258243,0.999767308453723,0.999999999945105,0.999999797199276,0.999958417325022,0.999999999406723,0.999965684775636,0.99999957723043,0.999034215118231,0.999999982435447,1,0.999573846085275,0.99999999979863,0.999792881286043,0.994300283320549,0.985757970792427,0.999999871022066,0.895713281880413,0.998595942822066,0.995800962901882,0.999999999941793,0.999996423043452,1,0.999997903339419,0.999999999900951,0.999496338934161,1,0.999999999998687,0.999999998894604,0.996158374881289,0.999999976425969,0.999984708725483,0.999999999981271,0.99999192889646,0.999999956865698,0.999603775357179,0.999999999396004,1,1,0.997889892201569,0.999999999975889,7.344,13.078,5.3208,9.636895,7.00611666666667,13.4818333333333,5.37958,2.9107,1.1793,15.9128571428571,4.97735,2.3031,6.2124,NA,NA,3.07289663105192,1.88630285963781,2.80029040483106,1.3854741418494,NA,NA,9.86236252928169,1.30035,NA,4.2378,13.078,5.3208,2.8151,4.3411,10.7004,2.396975,2.9107,1.1793,2.7731,4.327175,2.3031,10.4502,13.078,5.3208,10.541675,10.817,18.4863,6.6461,2.9107,1.1793,10.98285,5.627525,2.3031
"ZNF285",0.999999999944819,1,0.999999999994181,0.999981494819714,0.99995741611863,0.999999118106863,1,0.999999999998107,1,0.993457665977353,1,0.999999999942784,1,0.989910074351394,1,0.999983350537805,0.999957878485189,0.999999031656631,1,0.996542452268183,0.995729630468176,0.999999991888193,1,0.999999998865288,0.999756918367324,0.999999997860744,0.99999998452848,0.999767567711393,0.999999989863146,1,0.999999998567957,0.99973456592572,0.999999997151942,0.999999980271889,0.999746574872648,1,0.99999999184385,0.999999485875691,0.999999999343754,0.999997839269292,0.999991622406079,0.999995815672071,0.999998686048251,0.999992902415278,0.99999192755383,0.999999999864158,0.999999946381298,0.999999999970115,0.999999960876189,0.999999955753934,0.999999990698535,0.999999953917211,0.999999065444397,0.999998925526164,1,0.999999994335672,1,0.999999999220368,0.999788665996811,0.999999998655895,0.999999989553739,0.99979743315726,1,1,0.999994220510564,0.999999252085937,9.0376,3.7366,8.7262,19.61897,7.18896666666667,8.31413333333333,19.97497,0.6468,0.4717,14.5334428571429,13.7382,0.9212,9.0376,NA,NA,7.13156911379219,2.23901648954277,1.70443029541969,9.17966818915041,NA,NA,6.18517159425736,0.444299999999999,NA,4.5188,3.7366,8.7262,3.70345,2.989325,6.466,2.6965,0.6468,0.4717,2.6476,13.51605,0.9212,13.5564,3.7366,8.7262,23.94845,11.17125,10.4224,32.768775,0.6468,0.4717,22.1246,13.96035,0.9212
"ZNF275",0.978134598001825,0.936617203273279,0.999999999927644,0.995918582001047,0.999699308708854,0.996172544624332,0.987044994742678,0.999990815279046,0.999668033951196,0.999998991672975,0.999874998211029,0.997930249204156,0.986217250856075,0.999992964256357,0.999622031919068,0.999981221573571,0.995101477941083,0.974516036119291,0.999548488348887,0.996813661847183,0.999999999476996,0.999974276032951,0.99998249567811,0.99974247603163,1,0.999999999538875,0.999999999947577,0.999999994020689,1,0.996875547664395,0.987592417711569,0.99997243974134,0.999729907234101,0.999999735294531,0.999999986082427,0.999999379536908,0.999711669216317,0.999003784171207,0.991939342839794,0.999999942561732,0.999957523805601,0.99999999999824,0.999999943446348,1,0.999998907072341,0.999931864199666,0.797339354176158,0.668986741743996,0.730921306776821,0.683671045551569,0.913613091798409,0.947090092691311,0.990349714382313,0.999936416805772,0.898296374053511,0.99832599630079,0.999999985835006,0.999997696763651,0.999999853070509,0.999999999983604,0.999988059686466,0.999939134396837,0.999999990150966,0.999876991434585,0.999996928240461,0.938701346593686,488.04455,1017.2816,1104.395,747.96111,817.5382,675.637077777778,641.7016,738.6805,536.8241,697.8515,262.44445,875.6333,323.72455,NA,NA,87.3336939955804,103.052366050913,85.0167152292006,65.935594346308,NA,NA,173.117391713278,14.51275,NA,326.182275,1017.2816,1104.395,454.026925,763.69775,535.2529,529.571775,738.6805,536.8241,418.97735,255.188075,875.6333,649.906825,1017.2816,1104.395,855.851425,975.50355,799.6303,732.70455,738.6805,536.8241,735.67135,269.700825,875.6333
"ZNF37A",0.942674168092776,0.99983289567129,0.999957655672617,0.997463846877532,0.995737212120047,0.999999999977091,0.999841281103084,0.99264902005853,0.999999992489056,0.999999989897211,0.637727215717098,0.999999999982323,0.999900746848101,0.530422637748252,0.716858702999136,0.999827553034671,0.988946224255692,0.999999975175158,0.999999529567398,1,0.487860654008911,0.999999999758201,0.947702002282932,0.99955854861318,0.998030740246674,0.999687167309258,0.820612192472141,0.99969146348557,1,0.979353428500456,0.999960154969373,0.999877063279031,0.999990553226949,0.920821855077645,0.99999188410715,0.999999999946229,0.999998771461581,0.968865861819045,0.999996366480665,0.999415223043406,0.999999437285632,0.357429141796705,0.999999409457326,0.999985742541738,0.999999944389589,0.999999165876279,0.798775045332369,0.993969998505499,0.912528603531869,0.9804473117221,0.288331114360374,0.976004654765378,0.999999999990757,0.999999899101403,0.997204286320144,0.99088516658418,0.999999992164263,0.999999899347366,0.999943403824593,0.999799975114855,0.99999999953643,0.999642377250434,0.989287090254309,0.997304462037787,0.997695069796201,0.934375773388483,386.2811,741.2424,563.3713,530.140095,503.715833333333,707.856677777778,498.64741,336.9987,386.5794,457.703042857143,300.4275,662.8282,141.4443,NA,NA,43.9623443653953,37.736166845549,78.889410950192,67.2448049802981,NA,NA,75.4236781182517,40.4144,NA,315.55895,741.2424,563.3713,389.778275,462.0903,517.1556,343.103075,336.9987,386.5794,293.1334,280.2203,662.8282,457.00325,741.2424,563.3713,706.906025,577.573475,882.4802,683.15915,336.9987,386.5794,578.17035,320.6347,662.8282
"ZNF510",0.995826321692497,0.999998935922633,0.977249768190619,0.99996631312423,0.999639966741993,0.997462285364371,0.999999997977351,0.997219215890529,0.999903947160241,0.999989027260942,0.999999970213696,0.997658160022802,0.999781869073467,0.999993290396095,1,0.999999999828668,0.994745312802285,0.999934561663501,0.999622753565137,1,0.999999999698205,0.999997892452371,0.973634930539679,1,0.996534928065867,0.999846426522025,0.999663614202527,0.999891468204774,0.999999999881063,0.999824598140321,0.999990282709674,0.999999999374896,1,1,1,0.999984439068385,0.999999999994572,0.994110395400625,0.999968763177027,0.999661547801896,0.999999999987102,0.999999996020175,1,0.999946299559111,1,0.999776992322081,0.879123429794103,0.999999999964205,0.88602076319204,0.988913951292588,0.977723692056657,0.988939336640144,0.999999999995762,0.999576946490314,0.994065836872623,0.999999999761824,0.994405252878137,0.999999999679377,0.999901244885121,0.999999448583368,0.999998020082885,0.999999779000769,0.999999998852778,0.999999935566289,0.999999936255264,0.999999520474284,300.8677,567.4918,186.8681,397.447185,343.183866666667,352.846722222222,332.85856,179.1721,349.7848,325.044342857143,143.044,248.7333,106.1485,NA,NA,67.9336515270874,36.23976568054,46.9880619493717,36.3520189260153,NA,NA,36.072591578331,9.09779999999999,NA,247.79345,567.4918,186.8681,235.797275,308.382125,251.297,257.38475,179.1721,349.7848,263.5055,138.4951,248.7333,353.94195,567.4918,186.8681,430.73115,362.575725,400.2771,399.3312,179.1721,349.7848,401.04675,147.5929,248.7333
"ZNF506",0.999999996469529,1,0.999999999636456,0.999996821407507,0.999930603872873,0.99999981324108,1,0.999999998527895,1,0.998647211131991,1,0.99999998690155,1,0.998353912542136,1,0.999992594463195,0.999891209199873,0.999999483798515,0.999999999998823,0.998585410112347,0.99852955025643,0.99949075913236,0.999997274157891,0.999894560040882,0.969161946508251,0.999072112817179,0.998151839634794,0.966466274470752,0.999999996732437,1,0.999999999665459,0.999932848501773,0.999999998661887,0.99999998790009,0.999894464157679,0.999997179037311,0.999995134966889,1,0.99999986056676,0.824310063676683,0.999958957498967,0.999604346095467,0.868899997859827,0.999989135030549,1,1,0.999999999968166,1,0.999951692803493,1,0.999999999998021,0.999917604080018,0.999834639809114,0.99999999997179,0.999999825727728,0.999347205772235,0.997968340708211,0.999799081530261,0.999946029798928,0.996671434983475,0.997270104828362,0.999980076234084,0.948367992574428,0.997998355680515,0.966934770620566,0.998332616952602,365.3255,276.5063,359.6893,467.217645,348.763283333333,362.815622222222,480.82977,85.0582,277.139,250.545142857143,334.13625,653.1552,22.0588,NA,NA,81.7970115732172,39.1921531892752,39.1583645415275,100.04750332792,NA,NA,68.0691957286213,0.0587500000000034,NA,354.2961,276.5063,359.6893,222.178675,301.81095,267.6264,204.63505,85.0582,277.139,102.53975,334.106875,653.1552,376.3549,276.5063,359.6893,691.06785,412.799875,408.665,670.45275,85.0582,277.139,368.01975,334.165625,653.1552
"ZNF324",1,0.999999999988256,0.999999999959078,0.999999999997751,0.999999999991011,1,0.999999998928553,0.999999999174844,1,0.999999999830049,1,1,0.999999999628355,0.999999953066924,0.99999931361562,0.999999999998761,1,0.99999999391954,0.999995635845582,0.999988479767038,0.999999999996163,1,1,0.999999999810613,0.999999999906108,0.999999996252152,1,1,0.999999999944109,1,0.999999989641557,0.999999977613951,0.999999806592527,0.999999999955178,1,1,0.986784333186261,0.998100271604663,0.999855053055616,0.716364672082527,0.961541797530197,0.708908330536469,0.593405734867952,0.997399017799629,0.993218302031365,0.9999911580955,0.999997029901506,0.999999988493584,0.999975835288291,0.999999168855028,0.999810816423338,0.999440035531283,0.999994497878096,0.999965684409528,0.999994857873751,0.999999999803528,0.999999999997677,0.99999997950797,0.999999946794957,0.999999622217931,0.999999999803914,0.99999999999619,1,1,0.991855886263506,0.999951652754144,192.50565,182.1579,227.7323,210.920725,228.01065,186.149155555556,174.19839,175.2911,151.8957,371.291042857143,294.052,146.9369,59.72555,NA,NA,43.6597178684388,15.2800091950616,13.6497551924029,15.5748512659383,NA,NA,148.443200749838,23.7418,NA,162.642875,182.1579,227.7323,158.2128,208.056125,175.4231,127.765825,175.2911,151.8957,174.14575,282.1811,146.9369,222.368425,182.1579,227.7323,215.28995,244.60625,206.2534,213.5489,175.2911,151.8957,302.62765,305.9229,146.9369
