"gene","p-adj-M1-M0","p-adj-M1a-M0","p-adj-M1a-M1","p-adj-MX-M0","p-adj-MX-M1","p-adj-MX-M1a","mean-M0","mean-M1","mean-M1a","mean-MX","SEM-M0","SEM-M1","SEM-M1a","SEM-MX","Q1-M0","Q1-M1","Q1-M1a","Q1-MX","Q3-M0","Q3-M1","Q3-M1a","Q3-MX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.99982037227577,0.258540590045842,0.650921042952881,0.874589622301904,0.980504530700375,0.180747013727763,461.456300787402,475.014966666667,735.054275,404.420076470588,26.7044256912183,243.559984897946,154.278275878791,44.5552978487049,263.7973,232.2075,675.542025,265.6345,566.35905,612.98675,876.6335,534.2555,346.562018181818,458.327794021739,402.7027,393.4047,230.0119,456.59735,265.57645,562.900325,44.4471130456694,20.1932601206465,1.32249862932552,0.97691100655645,0.403266227090677,-0.033700951575462,"ESCA"
"ZNF263",0.711871373517209,0.0374954544729268,0.0479659055595977,0.876505074306065,0.56319536650141,0.149485127514984,553.699879527559,452.9894,776.5758,585.086935294118,13.6984087087163,43.6184403974206,90.1754181654291,52.4210195438562,445.94565,410.13445,687.64685,497.2517,634.5221,481.45365,867.26495,663.4412,611.928563636364,561.544527717391,597.6276,546.8631,533.4648,695.45545,457.2241,648.1739,37.5965670158116,11.5323268011609,0.917663533109867,0.915056633930561,-0.12396281716753,-0.12806705863572,"ESCA"
"ZNF200",0.989025883205796,0.99839228529069,0.985041041038046,0.988663250098982,0.973836315630448,0.999999995425115,238.063216535433,221.6277,245.526375,245.411041176471,8.04323253015403,22.2564947092603,20.3026381986995,21.1536966793059,174.1409,201.79105,238.977825,191.873,271.5036,240.2864,269.9035,301.9563,163.809936363636,236.488877717391,151.8781,218.502,141.59485,180.9971,176.734675,273.917825,10.2970902117785,6.25294304570726,1.44367846644185,1.43866693091367,0.529749463469757,0.524732629091668,"ESCA"
"ZNF582",0.798291894111647,0.90343984708955,0.994893587611109,0.36836708963548,0.427724910113841,0.514617916279762,10.5266992125984,2.70346666666667,5.4355,16.6834470588235,1.03878877640578,0.702323774654144,3.57277852798071,7.23888388935325,3.31205,2.3054,1.4168,2.2682,12.9143,3.4036,6.7465,10.6621,40.7932909090909,10.8377315217391,33.6081,6.3796,24.40525,56.66655,3.103225,12.675,7.31507103919342,1.07469719123867,0.265674361646658,0.189823286648159,-1.91226908463481,-2.39727110847638,"ESCA"
"ZNF285",0.722713322630417,0.778296013813602,0.998281460190159,0.773434534843222,0.937786967253072,0.974612314278441,15.2534440944882,2.68103333333333,5.334525,10.1623823529412,1.93449191173225,1.24361129287964,2.98794108999687,2.87396919863856,3.49225,1.57795,2.347875,1.8462,19.14235,3.7299,6.0309,19.3581,47.5942818181818,14.3908494565217,53.2275,6.5676,40.63625,58.28345,2.828425,18.65065,5.01255549647479,1.51747223942938,0.302365093174369,0.123387346766239,-1.72563649901569,-3.01873363956995,"ESCA"
"ZNF275",0.993455770065275,0.468280775678788,0.64723728854581,0.998715033560698,0.989593797040149,0.591675590452346,767.277536220472,711.299533333333,1034.151475,781.5772,31.0577052119073,135.354377752739,359.972109193919,88.2110255645196,493.1636,619.2969,707.121825,505.4096,959.6356,843.279,1278.24275,1017.2816,910.223281818182,782.321395108696,1038.0469,729.8039,753.1412,1088.01435,503.861625,991.9197,106.198723900125,27.4485625787105,0.859482954057162,0.703054842705084,-0.218459067564553,-0.508290861901652,"ESCA"
"ZNF37A",0.478197525487149,0.437243222529488,0.157979226203036,0.986088622116823,0.450863507785645,0.617872137294959,520.384113385827,335.329333333333,688.807,539.899276470588,18.5221025633631,147.228670062665,162.083045775466,66.5838764185216,350.91045,188.4708,577.7326,362.1105,684.80575,417.79405,837.59825,682.2709,749.920454545455,527.392183695652,840.2654,510.93345,699.43045,886.98805,350.03665,688.249975,75.4831816578036,16.5900986754348,0.70326416688463,0.608061988509821,-0.507861384726217,-0.717709689052242,"ESCA"
"ZNF510",0.978691978549678,0.815637281760373,0.992245823282108,0.962999976996432,0.998190898437904,0.938113824519847,341.154111023622,303.991966666667,269.645125,321.220482352941,14.6488183505111,25.5804243720554,60.4496675309078,32.616676803321,237.73325,290.6336,207.705775,226.4,414.03865,329.56385,322.50525,388.6952,396.509354545455,330.447995108696,442.5694,304.4528,324.8413,468.67725,233.983825,402.934075,38.0106187710567,11.0398100472202,0.833392683730023,0.6879210356613,-0.262931660064976,-0.53968512298026,"ESCA"
"ZNF506",0.996178241211855,0.712313038830878,0.817285603689458,0.999904806084765,0.997933139672134,0.748753494740404,413.308659055118,373.065166666667,581.6867,408.141882352941,27.8425039967348,236.162131809091,177.849811246105,65.6985611990281,240.6794,137.02555,314.264525,195.8585,490.9155,497.672,792.755825,593.9892,583.9135,423.868583695652,647.4381,345.04335,481.54185,693.27295,237.583575,530.83755,50.0977064995867,24.346893294315,0.725909888529127,0.532936430525173,-0.462137625785985,-0.907964638517552,"ESCA"
"ZNF324",0.854634575331861,0.805488611809736,0.622213649806455,0.960159589827693,0.948673721472644,0.719600371878264,207.607718897638,159.147833333333,254.977375,194.347164705882,9.63109682138433,23.334380969886,36.307077170284,17.1669379696545,154.64275,144.45495,199.60125,142.4103,243.64205,182.1933,316.794125,227.6867,238.520554545455,212.251344021739,212.2093,186.8305,198.8786,260.3844,155.802725,246.263675,22.1471064109035,9.12578021452273,0.889866051276896,0.880406749374321,-0.168339906788403,-0.183757889626614,"ESCA"
