"gene","G2-G1","G3-G1","G3-G2","GX-G1","GX-G2","GX-G3"
"ZNF195",0.445108380029597,0.00157851981702162,0.00524340688766534,0.0236608567114281,0.145139762045693,0.735759651688629
"ZNF263",0.920530994781432,0.761731155915706,0.944229591922511,0.83585322924782,0.983923760802474,0.998394673978208
"ZNF200",0.968003854174188,0.951222358954449,0.998788717914907,0.995451169892365,0.99301758967759,0.98218333528921
"ZNF582",0.901249926695524,0.967791496596912,0.380955604367729,0.99762257479831,0.638489944786466,0.986415092297963
"ZNF285",0.99862812983421,0.950604158559857,0.756687305078457,0.915907674179976,0.888177125741944,0.435047451733819
"ZNF275",0.0396379663564623,0.186686809057182,0.889258322862337,0.0225203259265006,0.937104503431285,0.659526029512745
"ZNF37A",0.0268380135215797,0.000889181360474112,0.287128267346951,0.000388693422939568,0.153077106924288,0.986852892627748
"ZNF510",0.682018247261712,0.355513006878965,0.816034663822157,0.583039048137848,0.985783404543603,0.967961912789264
"ZNF506",0.184488558682104,0.219973570689036,0.999936812944871,0.133490803866767,0.970726516629978,0.985486240493405
"ZNF324",0.750515260120812,0.713030778015105,0.997710664525656,0.989666687549964,0.815517390970286,0.77859127666375
"ZNF671",0.275257235565532,0.0860156270260464,0.751156691448581,0.343791986781119,0.999999999993285,0.820079131364783
"ZNF416",0.390266252706829,0.683173278291056,0.949565318762651,0.062790298854528,0.445845776373135,0.276000414567837
"ZNF586",0.712133098877321,0.113451224620662,0.26492976938731,0.166790027422893,0.404935607842673,0.997148606988631
"ZNF446",0.869634946653786,0.995712445426641,0.894475454142554,0.78564171190214,0.98800549692341,0.800554823241491
"ZNF8",0.725647016618921,0.14429425219827,0.32968896943806,0.0553584679333827,0.1062819355594,0.943437874095656
"ZNF264",0.515846744113016,0.595010066161061,0.999948559511466,0.14358620191709,0.597001192825268,0.651712943106205
"ZNF213",0.0915669562365384,0.0020234777099275,0.15772132593246,0.0011721326478491,0.0959680943762063,0.994606934275089
"ZNF343",0.949495461317792,0.767121473770406,0.906273471174464,0.877310338261377,0.984151506183732,0.993161272227077
"ZNF302",0.129694998634771,0.0232494784940959,0.627488518319944,0.131582962296503,0.995884352560815,0.832618958515342
"ZNF268",0.669529917731887,0.348309868638788,0.820224724752359,0.98958790072703,0.212589992717082,0.0634562487804724
"ZNF184",0.377646257848204,0.0401072668477149,0.323238892955023,0.661100906331166,0.962130150487391,0.221551274490139
"ZNF500",0.878597077481295,0.999983199950349,0.772731460049802,0.999027993511607,0.859922106128044,0.999153898701045
"ZNF419",0.518939136903116,0.491610806543968,0.997484307919284,0.245717768970827,0.825547280686914,0.931606501270109
"ZNF175",0.63665375907457,0.174428511805455,0.523906539383323,0.454182907066823,0.948062326364227,0.89525992132103
"ZNF14",0.00606136988141315,0.0241365772209441,0.985507495035095,0.122021667475413,0.617218378721398,0.861601135728047
"ZNF85",0.514075197317456,0.646800621974099,0.998091456823363,0.772336741050426,0.969078780992964,0.994378900868055
"ZKSCAN1",0.628802593139661,0.455475748116116,0.95603163278074,0.0252552869545878,0.0644851653226673,0.285355687795541
"ZNF862",0.997156407290093,0.978282367895045,0.829517000095396,0.999983226894293,0.98897265376226,0.967473341032341
"ZNF684",0.688302630439254,0.0574638384515752,0.130458037726987,0.658729529550777,0.997659122769632,0.304398285917948
"ZNF430",0.547871217918952,0.857479031174142,0.915933367802316,0.387411939048843,0.953992261492367,0.730986099694521
"ZFP30",0.272977583909532,0.780470449149874,0.700371407016623,0.999844395659564,0.0627191758326727,0.567794931570622
"ZNF549",0.790835367823466,0.274498770368378,0.524839885627261,0.25886577025019,0.49620563206415,0.999879624905425
"ZNF211",0.102201588766408,0.113573427982829,0.998857850829733,0.109240196740746,0.996921324118813,0.999939621084989
"ZNF205",0.261859337565345,0.337454733833695,0.999956783251762,0.0166604441889722,0.249300853268812,0.323695212149543
"ZNF45",0.999723271226902,0.684956648110512,0.449636279774125,0.301128519887305,0.083461205936962,0.835782098291506
"ZNF133",0.996647885408444,0.998627791606774,0.999923106223184,0.798452154007617,0.733919816932585,0.76650116691612
"ZNF436",0.998287451782336,0.223381654943208,0.0550069465945555,0.272253822457823,0.0868136867642639,0.999471974171425
"ZNF484",0.977896683739608,0.594813069136546,0.583094937778827,0.857049912950576,0.93043736248682,0.941327753164942
"ZNF780B",0.105963083326919,0.0100923960689783,0.450376581569232,0.00374813832380949,0.216549483469461,0.971866946125684
"ZNF557",0.522483236171038,0.238267722898612,0.814385694631184,0.246473039030677,0.823025598910796,0.99999998669471
"ZNF337",0.928462273607408,0.999981568683338,0.86546292687607,0.997448745543659,0.950796496951782,0.997153070866829
"ZNF317",0.566818060687216,0.618376918655763,0.999999982170575,0.0944090261486328,0.365704034848946,0.468672997657661
"ZNF426",0.998801239660446,0.985504956923877,0.990447119267533,0.733931526523297,0.342777291936421,0.29814449439479
"ZNF331",0.378198479052784,0.224180369664875,0.930532417778127,0.434654707608176,0.999986019889968,0.959532755324574
"ZNF227",0.999881204830942,0.848477431257308,0.699064363419211,0.924351174361217,0.853254926147396,0.995689019931701
"ZNF141",0.20970662970328,0.0290209784416461,0.495936679690796,0.980613417611614,0.177872157040215,0.013915399754541
"ZNF304",0.0107393890086918,0.0492497311620803,0.962343011418098,0.00380607215545969,0.854977541075604,0.666913410091097
"ZNF132",0.991822570642702,0.975119803816266,0.996215466809479,0.990777149690204,0.99996022894497,0.998806398121351
"ZNF20",0.189132119108579,0.115423273614472,0.951042789584669,0.0606706726090545,0.778799781773982,0.980844689796199
"ZNF670",0.180754814905518,0.0587524041356446,0.796112595304076,0.257725268897723,0.99994641961342,0.831601849603083
"ZFP37",0.9986497908006,0.953279466151912,0.946856433818032,0.173944235932176,0.0105010631584529,0.00662688950086865
"ZNF189",0.252444224287719,0.171669605946424,0.965644743940767,0.0105163365404239,0.173853123235852,0.486457118977841
"ZNF434",0.999254510156614,0.994279981448611,0.948914760358169,0.999997937467865,0.997371490266499,0.990774311215633
"ZNF287",0.616325382531643,0.999998728727987,0.364070272364209,0.999355389817384,0.282442629594488,0.998086913305256
"ZIM3",0.76188652588098,0.662672689250213,0.987311468797191,0.437760182601518,0.826523350984549,0.964113197746946
"ZFP14",0.0315688885603068,0.0126686158528091,0.88999869625538,0.201366850062327,0.836502695655532,0.516557821328422
"ZNF473",0.891636173915374,0.222990678361261,0.267761700290632,0.235234362712282,0.293180627411843,0.999999704889384
"ZNF614",0.3444859129335,0.0530525544898003,0.458330536001081,0.153492221042697,0.846092895040112,0.945916116373059
"POGK",0.664663199489695,0.97638685767616,0.77710014589223,0.990953225890797,0.697198662353572,0.99896744575595
"ZNF514",0.357360077779681,0.210849201260747,0.931559378196284,0.0664897722415574,0.514373007938348,0.893864814718179
"ZNF300",0.806204335341074,0.455253705458314,0.793484711040694,0.999951020068467,0.680364974387449,0.276041122348258
"RBAK",0.990208462616674,0.999793990413924,0.991286612437615,0.904046980695488,0.939841347694296,0.868777535137464
"ZNF92",0.41579122401557,0.346382868272753,0.988337536853245,0.764635223955711,0.916717591822407,0.825554844001486
"ZNF157",0.777423020053602,0.96504262271338,0.930373360764149,0.977388945604507,0.257741111816493,0.678880838607487
"ZNF182",0.266352250414432,0.0548599525681946,0.603089112524079,0.0280464523120534,0.374149295332017,0.983922054541695
"ZNF673",0.990882807571137,0.375918610462578,0.218292131888957,0.999849567701727,0.991804290785305,0.213995941902398
"ZNF41",0.266975434900662,0.456361638139373,0.9869680415202,0.0140604284719898,0.208854049985583,0.17690778341622
"ZNF7",0.995822533224769,0.972210691160591,0.988289239154543,0.908637382797277,0.589244763985512,0.495296922642771
"ZNF214",0.81086874798781,0.133680594370985,0.209798729741188,0.726347487700158,0.989380773539704,0.484553611823906
"ZNF215",0.681027673613514,0.930075769439873,0.082532946680447,0.984419642505964,0.196495338976916,0.989561073480912
"ZNF547",0.181060332915657,0.0227781424114281,0.48238513547347,0.00729443799582952,0.198678148869685,0.953213880185939
"ZNF773",0.691685846653137,0.610674698989175,0.991401301327401,0.566954059160886,0.977857135413363,0.999572226910638
"ZNF776",0.0326744649511042,0.0102846392562941,0.838603326088154,0.000540768346689591,0.162451043263977,0.667764854453536
"ZNF256",0.426165622864399,0.676349356046641,0.971706225183295,0.994710486296854,0.345556974987848,0.686553050271386
"ZNF599",0.404902890417235,0.954415081885206,0.524429570020897,0.999647728634408,0.1250564830636,0.861233566040068
"ZNF18",0.940637735337691,0.990026197246093,0.615865110469113,0.891128115712154,0.286112661763114,0.952127365233706
"ZKSCAN2",0.0974135113572464,0.200554103207556,0.992290601203351,0.714762183238769,0.405504439718041,0.660180318265221
"ZNF689",0.0597160977378777,0.362695179344652,0.716084470777416,0.0534333539286505,0.986970925925662,0.613375253517809
"ZNF19",0.134939292808459,0.148867530412708,0.999098457559955,0.350868928709531,0.956945320058344,0.939865963869784
"ZNF230",0.975984039539271,0.703082360729725,0.747950235193534,0.238696931252017,0.141291746525036,0.721322910815184
"ZNF222",0.950908767430476,0.557595844768827,0.641625152967601,0.378710158838304,0.385109337672669,0.978849101508565
"ZNF221",0.651782338990854,0.340555918049567,0.829132679645101,0.708044024593228,0.999999931587143,0.876780155618739
"ZNF233",0.561245620599713,0.0236227617927405,0.0816831639208971,0.0555664605599859,0.219209844232154,0.98316564547675
"ZNF235",0.84401509515939,0.199662034543205,0.297686280825746,0.324343976072846,0.529947482361894,0.988236602240459
"ZNF208",0.885860582854217,0.794797452119298,0.0973654176730683,0.95683511039741,0.995416260972898,0.26924333949523
"ZNF714",0.288553246713567,0.00741745389636728,0.0990460904986675,0.00512647984591397,0.0675061918946734,0.997429698449593
"ZNF394",0.501346864570243,0.79040844355554,0.945195819741592,0.271605155308781,0.880383991190634,0.661174974007437
"ZNF333",0.634205206049553,0.644775054257515,0.999762174666864,0.487957405839147,0.967595125369689,0.986983624247209
"ZNF382",0.257721517118008,0.888179783484696,0.469182607761496,0.999207616663989,0.113239832657097,0.877474874136859
"ZNF577",0.999990150395584,0.419958342580815,0.131941615297113,0.999755065888545,0.999769796652067,0.263050475319068
"ZNF75A",0.99605531868161,0.999622705068194,0.998651131252621,0.436600530529036,0.0712344488443896,0.171447808009841
"ZNF496",0.6767878444445,0.0804936910393674,0.205936090984464,0.351912789467592,0.813772628506619,0.791303981209453
"ZNF2",0.567481689968236,0.27640494119147,0.827371927122056,0.844820255938558,0.948932657036828,0.608193270872191
"ZNF589",0.736873658762824,0.798425071460553,0.999907635401972,0.110295005649923,0.234986389058992,0.302387171635539
"PRDM9",0.533636965654887,0.897925998577435,0.84595586795217,0.412569741491711,0.973505797805966,0.691678539015369
"ZNF12",0.888319861528485,0.424749873305177,0.606502639085529,0.497887070115361,0.715888056218583,0.999182094366492
"ZNF202",0.948716017597766,0.980813193819638,0.570093348335459,0.999960425190435,0.915758715508548,0.947329390814639
"ZNF3",0.473363756782389,0.110555733466311,0.548236247224192,0.101147149336289,0.508898734316046,0.999790162731947
"ZNF606",0.302961928041514,0.137368354564208,0.867647445427809,0.986474250168201,0.263634449518632,0.100386599954452
"ZNF91",0.145004510267085,0.0480852840824125,0.813346098375565,0.00195915955626735,0.0813675904496348,0.518349200855081
"ZNF226",0.583192013209947,0.0781710688345731,0.286598030681123,0.0704806281612105,0.258788573826476,0.999736360389743
"ZNF229",0.959129866272285,0.694807342260924,0.801107109892864,0.999792077116374,0.948473395351107,0.578899922446037
"ZNF180",0.930853847231703,0.337885356507851,0.371600376946147,0.675743586316019,0.849692628413758,0.901530718341203
"ZNF641",0.52874773579027,0.798510757050069,0.954869322014236,0.182351954713964,0.68551762243648,0.475276532939193
"ZNF610",0.988877545653853,0.92988945000088,0.557181044628169,0.999215645886993,0.929737990339079,0.93129944198974
"ZNF528",0.999970937692725,0.984591464311038,0.968239128253501,0.98493817095308,0.969970132151971,0.999999998490781
"ZNF701",0.314119238283569,0.00973257601724731,0.11223086417367,0.318068348830694,0.998093596232914,0.26981511804924
